SA4_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
201,627,667,301,528,484,178,82,165,35,3068,809,852,585,1570,957,342,143,280,62,5605,2203,758,6513,2879,2015,1151,1392,1835,270,19017,122,50,108,162,208,184,70,176,6,1079,136,89,88,241,193,120,86,126,14,1098,53,90,42,38,38,16,8,21,6,309,183,144,135,161,132,110,95,170,148,1288,7522,15392,8596,7559,5938,2714,2139,3280,734,53867
202,576,667,301,514,406,150,78,118,46,2852,789,938,495,1545,836,339,158,307,68,5477,2146,812,6058,2793,1794,1057,1364,1823,256,18111,90,35,116,148,197,146,58,204,18,1016,159,85,124,207,211,98,74,128,14,1097,51,95,31,39,37,14,5,47,6,328,153,179,125,187,128,114,104,154,139,1283,7386,16045,7967,7249,5375,2501,2045,3356,753,52674
203,1204,1682,786,1162,1070,371,211,320,110,6917,1726,1776,1472,3131,1934,789,438,629,132,12032,3554,1476,12844,5470,3368,2023,2351,3220,576,34891,150,102,179,270,309,245,145,268,14,1682,308,179,195,464,420,242,154,226,30,2220,91,180,77,101,87,44,43,62,23,703,225,286,251,375,234,188,145,285,331,2324,15320,34282,17964,15423,11880,5692,4385,6410,1737,113090
204,891,711,352,624,495,179,90,175,44,3574,1103,1021,621,1859,1015,387,181,363,95,6645,3095,952,7810,3228,2302,1263,1993,2495,377,23511,134,46,133,214,220,184,86,244,13,1271,220,97,124,272,212,133,108,179,21,1365,62,81,27,43,47,12,26,44,10,350,264,148,178,218,169,156,153,267,197,1751,9290,13456,9894,8212,5831,2730,2833,4325,926,57500
205,944,1068,476,861,726,222,103,259,84,4734,1442,1514,837,2660,1487,560,227,499,150,9377,4440,1377,12483,4933,3494,2050,3005,3823,627,36231,228,102,196,304,361,248,116,318,22,1880,280,131,172,452,330,201,159,236,35,1992,88,123,61,75,70,34,26,68,13,559,368,273,279,372,260,256,198,427,276,2704,11955,19954,15383,12045,8735,4201,4042,6344,1451,84108
206,2502,3567,1520,1509,1789,996,274,530,182,12875,3670,4112,2813,3819,3151,1824,491,1100,306,21287,3701,2407,9039,3840,3243,1854,1012,1930,452,27480,289,213,194,341,368,233,82,197,11,1929,637,633,365,549,762,432,142,250,89,3860,373,869,211,206,244,153,67,145,56,2318,511,883,335,427,431,276,146,343,823,4178,53501,142104,22486,23873,31631,14930,4428,9433,4806,307189
207,1539,1825,764,854,1220,644,186,371,120,7512,1835,1673,1189,1759,1760,1013,314,571,154,10271,1887,928,4633,1862,1488,1091,514,970,225,13604,122,93,110,159,222,138,46,107,8,1004,375,254,201,316,478,288,83,145,39,2179,182,420,89,122,142,115,32,63,39,1206,296,473,173,187,276,181,65,118,414,2183,27728,63363,10848,10577,17064,8503,2370,4219,2516,147204
208,2193,2648,965,1185,1720,767,183,339,125,10123,2678,2619,1523,2454,2578,1256,315,514,196,14142,3406,1513,8682,2800,2585,1569,892,1442,375,23267,171,128,146,220,340,213,66,116,15,1410,561,471,259,483,728,410,87,186,52,3235,272,481,124,126,174,111,32,68,41,1420,441,620,241,299,369,223,93,143,526,2956,35430,69290,15528,13574,19923,9363,2767,4546,2844,173248
209,1970,2507,1459,1763,2010,750,516,589,153,11710,2905,2882,2674,4700,3475,1475,989,1137,242,20482,4644,2065,17139,6083,4689,2455,3047,3701,770,44600,212,155,263,371,604,305,194,278,30,2408,514,360,400,799,946,506,269,402,73,4271,201,408,219,191,204,116,106,125,45,1613,345,564,464,509,576,327,274,411,615,4082,26761,62090,27306,22668,23444,9997,7896,9597,3242,192999
210,1223,1463,1076,1204,1425,533,585,453,112,8079,2055,1969,2096,3668,2680,1056,1034,975,235,15776,3241,1436,12724,4451,3647,1812,2922,3006,646,33877,152,91,182,312,402,255,195,217,28,1826,378,257,317,627,705,326,305,320,65,3293,152,232,148,150,189,71,112,93,39,1182,294,432,335,398,404,274,293,309,552,3288,16861,37170,20172,16484,16737,6988,7734,7728,2588,132458
211,2130,2737,1407,1830,2128,779,335,542,149,12041,3199,3211,2468,4551,3564,1521,612,1016,285,20431,5919,2422,20713,6274,5354,2697,2974,4003,826,51178,271,156,306,358,520,333,171,356,35,2506,586,409,435,715,884,442,243,366,54,4131,201,359,141,140,194,89,48,80,49,1302,395,493,394,475,519,279,207,311,503,3571,28736,59912,29871,21040,23583,9970,5814,8619,2959,190512
212,2501,2750,2533,2279,2818,1081,1279,1289,253,16788,4082,3841,4663,7808,5317,2452,2441,2671,540,33822,6177,2627,24790,9482,6944,3886,6172,6712,1295,68083,307,195,479,548,848,520,440,613,66,4016,664,414,760,1264,1169,606,620,803,110,6406,309,566,377,291,332,197,280,291,73,2717,638,779,728,781,757,472,625,813,1239,6838,33704,77109,42141,34352,35090,16177,17124,19590,5674,280963
213,2248,2540,2163,2146,2543,1006,1362,945,233,15181,3979,3776,4029,7258,5077,2156,2948,2024,532,31778,5173,2702,20837,8787,6977,3485,6740,6051,1251,61997,302,186,362,550,723,455,472,561,50,3661,622,446,649,1154,1230,595,760,648,136,6248,328,595,303,302,334,190,284,245,78,2661,517,804,642,800,751,478,699,710,1309,6708,35049,80821,36690,33682,36418,15447,19849,16529,5934,280420
214,1351,1540,793,1121,1132,502,178,289,93,7003,1946,1872,1334,2915,1962,951,318,599,170,12072,4025,1435,13998,4406,3345,2025,1952,3056,569,34806,195,100,198,267,342,266,89,226,21,1706,374,220,282,490,492,274,159,237,37,2559,106,166,82,76,98,51,34,49,19,679,294,321,288,351,328,237,136,278,280,2512,15130,26186,18363,12709,11039,5735,3256,5496,1609,99523
215,693,542,166,459,327,115,61,151,28,2537,820,752,352,1348,633,199,129,333,76,4650,3179,773,5100,2582,1679,1009,1402,1932,311,17957,143,51,78,165,195,149,76,211,14,1083,199,58,72,218,176,119,65,174,18,1098,49,48,19,29,38,12,11,62,8,272,302,163,122,186,126,117,140,351,207,1723,7462,9608,6304,6020,3983,1948,1999,3737,784,41846
216,511,418,162,345,269,73,55,134,25,2000,761,660,382,1308,649,235,125,336,51,4517,2322,580,5085,2175,1421,880,1198,1869,253,15788,110,36,70,111,137,140,69,177,5,866,141,65,86,177,174,96,74,144,18,971,39,57,27,36,21,11,19,44,10,262,187,141,114,165,94,122,110,279,151,1371,5867,8816,6306,5259,3525,1831,1769,3507,630,37506
217,698,471,159,372,287,115,64,158,28,2359,756,537,318,1103,541,219,90,286,50,3897,2659,563,4891,2273,1285,850,1285,1965,284,16056,132,37,64,123,153,131,72,206,5,930,170,49,90,168,143,91,59,130,17,913,43,43,24,33,20,19,10,31,3,226,266,139,109,163,98,106,102,211,132,1327,6950,9002,6051,5275,3414,1792,1770,3486,615,38348
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
299,7,6,8,8,6,3,3,3,0,46,13,16,15,20,6,0,13,19,3,110,20,27,132,53,19,21,37,74,5,393,0,0,6,0,0,0,0,4,0,22,3,0,3,6,0,0,0,7,0,22,0,5,0,0,3,0,0,0,0,10,5,0,9,0,4,3,0,13,13,44,133,313,192,156,89,64,81,181,28,1239
