SA4_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
201,67317,70736,138048,2131,2300,4430,172,183,357,8091,8670,16756,177,174,345,63,55,118,54,78,132,46,47,93,36,38,77,17,25,45,0,0,0,8649,9273,17919,249,292,538,207,157,361,11232,12019,23245,5581,5247,10830,84127,87997,172127
202,65247,68635,133876,2102,2302,4404,227,257,488,6937,7662,14600,115,132,243,63,70,134,56,65,119,41,40,82,37,35,71,28,27,50,0,0,0,7499,8285,15786,218,258,477,142,142,287,9966,10995,20953,5729,5459,11190,80944,85081,166028
203,125720,132436,258154,5264,5675,10942,366,410,773,15962,17361,33328,280,315,595,114,119,231,100,84,185,118,130,251,57,72,129,49,51,103,0,0,0,17054,18539,35595,607,689,1292,358,311,671,23279,25215,48498,9120,8273,17394,158120,165921,324046
204,72238,74618,146851,3359,3623,6988,1060,1114,2173,5463,5791,11253,532,466,1000,120,93,209,149,90,243,58,46,106,87,79,169,81,71,153,0,0,0,7551,7750,15303,257,260,521,191,199,389,11363,11830,23198,6658,6428,13089,90258,92881,183136
205,116299,120614,236917,6126,6844,12968,401,419,819,10171,10874,21048,338,369,707,64,72,139,118,104,221,65,73,135,63,53,114,87,60,146,0,0,0,11305,12020,23323,376,406,782,323,290,615,18135,19557,37693,11866,11323,23188,146298,151502,297797
206,203214,214765,417981,11845,12790,24636,2424,2841,5262,53147,56867,110014,1582,1837,3420,614,717,1329,743,847,1588,370,432,801,188,246,430,443,486,928,0,0,4,59505,64272,123782,4770,5036,9811,919,818,1732,77041,82924,159960,16889,16616,33507,297144,314306,611452
207,145989,158433,304423,3872,4056,7930,471,512,985,19262,20092,39354,259,306,568,158,149,309,127,129,254,131,114,242,49,41,87,90,80,171,0,0,0,20547,21424,41971,1920,1982,3900,292,257,545,26630,27720,54351,5730,6127,11855,178355,192273,370626
208,165155,178419,343574,4916,5175,10091,468,564,1028,21311,22737,44048,314,360,675,85,105,190,122,116,233,74,68,141,33,35,74,70,85,152,0,0,0,22477,24063,46542,1691,1790,3484,350,320,669,29434,31340,60778,6670,7435,14106,201260,217200,418462
209,220215,226913,447131,4867,4971,9834,525,529,1050,24397,24852,49251,429,356,784,123,138,263,126,129,259,77,84,160,64,77,146,88,77,166,0,0,5,25838,26243,52084,1356,1459,2817,438,340,779,32505,33010,65514,10754,10641,21392,263472,270568,534042
210,170784,173934,344710,4719,4649,9366,475,464,941,19438,19428,38863,255,269,522,87,89,175,59,66,133,88,93,176,46,56,108,32,31,66,0,0,0,20481,20498,40977,1207,1226,2437,371,315,685,26778,26690,53470,10368,9897,20260,207925,210521,418439
211,217170,227062,444234,3247,3427,6670,291,303,596,19467,20490,39955,210,212,419,76,80,161,81,84,165,63,70,138,43,44,87,32,31,65,0,0,0,20271,21315,41585,1069,1135,2205,371,301,678,24963,26181,51137,8561,8830,17396,250696,262072,512769
212,345954,349788,695737,8596,8385,16979,781,782,1562,43503,41774,85272,515,549,1068,297,258,557,188,208,406,176,195,376,109,108,212,89,104,193,0,0,0,45662,43980,89637,3251,3589,6835,910,629,1534,58419,56578,114992,19761,18723,38489,424132,425083,849220
213,334777,338703,673480,10058,10241,20299,1217,1115,2329,43608,42976,86586,660,697,1354,374,386,762,213,230,445,230,235,461,124,139,264,102,108,210,0,0,3,46530,45884,92411,3119,3358,6478,924,743,1663,60631,60224,120852,25389,21490,46877,420790,420419,841210
214,122330,129628,251957,3654,4024,7683,348,302,646,11967,13017,24976,327,282,606,42,39,81,136,100,233,48,40,87,51,48,98,33,29,63,0,0,3,12950,13861,26805,540,549,1091,287,250,535,17425,18681,36110,8337,8643,16978,148091,156951,305045
215,61191,62117,123300,3190,3475,6667,419,485,902,3831,4029,7861,148,155,303,216,198,413,51,51,95,25,32,54,44,50,96,13,22,35,0,0,0,4745,5010,9761,342,225,566,174,153,325,8447,8869,17316,7224,6121,13343,76859,77101,153957
216,54174,54923,109100,2535,2764,5303,517,577,1096,4157,4413,8566,130,143,276,32,45,76,44,41,83,40,46,85,39,35,72,18,17,27,0,0,0,4975,5316,10289,223,254,474,161,132,294,7893,8464,16356,5527,5205,10729,67593,68592,136192
