SOS_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SOS20,13,31,169,1986,9500,7158,14386,10239,2581,2584,3110,4196,1342,311,906,58496,785,953,1168,1190,4990,1638,951,551,125,117,97,99,32,16,295,13003,30,94,291,957,1937,1917,5701,2796,679,715,654,617,360,130,182,17058,26,135,513,2251,4358,4294,8120,3113,772,886,797,945,416,170,272,27068,63,320,1632,2862,7712,8801,18822,10907,2340,2648,3140,3582,1352,253,859,65301,0,4,13,99,1159,1708,2041,1890,454,497,627,554,191,50,158,9434,5,6,61,329,1569,1693,5207,3724,1247,1053,1140,1266,425,91,452,18263,3549,13250,32429,21279,18085,11879,27135,15620,2635,2807,2710,2876,1194,517,3820,159787,62,171,606,1510,1728,2490,4724,3617,807,986,999,1189,694,316,453,20364,5,18,144,9586,25794,15825,14083,10337,2431,2387,2282,2779,1377,331,3093,90468,3334,11583,22097,30712,37361,42556,57180,36099,10888,10315,10909,12427,4426,1243,6588,297717,14412,70833,131017,117013,181987,185134,395449,268310,67659,71897,78282,89254,32731,9577,36610,1750172
SOS21,0,5,28,137,836,671,1891,1903,534,423,471,643,227,86,198,8042,75,53,79,75,303,65,94,30,0,12,6,4,0,4,30,837,3,10,29,79,62,60,202,100,23,19,13,14,19,4,13,657,0,32,66,250,276,373,942,385,73,75,93,118,38,29,41,2799,8,39,101,81,142,163,635,596,130,132,111,107,43,29,44,2347,0,0,0,11,15,42,95,193,75,73,165,246,58,3,32,1001,0,6,3,26,90,173,586,466,114,88,149,124,50,8,73,1944,1279,4755,10016,5099,3388,1680,3786,1770,248,228,252,223,117,54,1345,34242,20,22,137,300,208,232,535,389,65,78,76,69,68,26,46,2260,0,0,3,106,272,283,501,432,85,171,203,237,75,21,190,2586,501,1808,2475,2230,2106,2184,5237,3164,690,628,817,1058,393,227,779,24278,3331,13670,18032,12146,11990,10343,28423,19506,4659,4609,5171,5962,2142,805,4788,145571
SOS22,0,0,0,8,56,36,85,98,11,22,22,37,11,3,24,420,5,0,8,5,18,11,5,4,0,0,0,0,0,0,0,60,0,0,0,12,3,3,4,3,0,3,5,0,0,0,0,32,0,6,18,32,42,25,67,29,0,5,0,3,3,0,4,237,0,11,13,10,9,11,7,3,3,10,0,5,5,0,0,84,0,0,0,0,0,4,8,7,0,0,5,18,4,0,0,47,0,0,0,5,10,19,47,40,12,5,8,11,7,0,4,157,139,548,1205,622,432,212,364,157,26,27,20,24,13,0,186,3977,0,0,13,33,39,42,42,51,4,5,10,9,0,0,7,266,0,0,0,4,13,4,9,10,0,0,4,0,3,0,0,60,36,131,211,199,155,116,177,96,28,26,34,54,12,18,50,1339,306,1244,1955,1336,1238,797,1294,780,163,173,195,258,98,38,409,10284
SOS23,0,4,11,38,154,98,178,339,113,79,98,164,56,53,75,1454,17,27,34,26,94,30,25,8,5,0,4,0,0,0,13,283,0,5,16,33,19,12,49,22,18,0,3,3,0,6,16,200,0,12,36,136,124,181,352,99,38,29,16,41,25,13,37,1144,0,13,44,48,37,30,45,34,3,6,8,11,5,4,18,304,0,0,0,5,7,22,30,43,9,20,35,38,7,0,6,222,0,0,4,4,22,39,143,203,46,37,32,52,34,12,68,692,406,1813,4046,2315,1709,928,1611,619,104,61,66,105,41,21,696,14529,12,11,76,182,135,139,214,102,22,25,31,26,16,7,41,1038,0,0,0,36,68,54,60,24,11,8,9,20,9,7,141,453,187,686,1156,934,721,528,707,375,93,93,99,193,64,74,482,6375,1138,5530,7795,5648,5121,3655,5849,3103,749,652,725,1060,420,252,2721,44415
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS29,0,0,0,0,4,4,5,8,5,4,4,0,0,3,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,12,0,0,0,0,0,9,6,8,4,0,0,0,0,5,0,28,0,0,0,0,3,4,5,3,0,3,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,15,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,13,3,11,40,24,23,21,25,10,0,8,7,15,6,17,3,206,0,0,0,0,0,0,12,3,0,0,0,0,0,11,0,36,0,0,0,0,0,5,3,4,0,5,3,0,0,0,5,38,0,8,14,24,25,20,65,43,0,6,20,30,17,30,16,322,6,34,98,79,101,125,230,164,31,55,80,106,62,133,74,1390
