SOS_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOS20,6319,6143,5010,904,1886,337,20595,1404,1012,1194,190,463,37,4303,2433,1761,2097,412,1025,80,7817,1958,1745,1741,440,873,81,6841,3305,3060,2862,775,1668,138,11816,4238,5009,3908,1314,2117,218,16809,6010,8655,5260,1849,2738,256,24768,7754,12395,5849,2444,2990,333,31762,8742,15775,5950,2540,2745,386,36142,10148,20208,6245,2681,2763,433,42479,9251,19343,4471,1903,1724,328,37026,15532,32499,9778,2917,2910,488,64121,8247,17270,3535,1187,1036,194,31470,7252,15448,3383,1058,918,190,28244,10520,22622,5663,1593,1411,265,42081,15288,35748,9493,2255,2039,346,65165,6312,15741,4576,982,868,138,28615,5881,17572,5138,1241,856,142,30836,8541,15261,7345,1832,2688,394,36057,139140,267266,93498,28522,33733,4786,566938
SOS21,1258,740,535,159,231,32,2956,536,201,226,62,131,9,1163,995,465,443,195,326,27,2452,896,544,431,214,295,33,2409,1694,1491,803,546,662,55,5253,2335,2699,1164,806,767,78,7851,2797,3741,1471,944,855,102,9913,3286,5221,1626,1048,886,94,12157,2865,5395,1389,844,653,81,11225,3134,6062,1502,766,565,73,12095,2069,4507,914,379,262,46,8182,3034,5555,1451,498,348,64,10943,1102,2330,430,152,93,18,4128,716,1485,337,86,64,10,2699,1380,2867,757,194,133,15,5342,1425,2865,863,223,137,28,5543,517,927,338,60,46,4,1891,384,690,216,39,43,3,1383,1956,2428,1040,443,481,83,6424,32366,50202,15925,7667,6981,868,114012
SOS22,144,69,39,20,18,0,293,82,29,28,8,31,0,170,183,89,51,31,54,4,415,175,105,72,32,54,7,442,276,220,105,85,81,6,770,333,368,149,84,86,5,1027,356,434,164,74,75,4,1104,356,512,182,109,60,14,1231,305,484,123,53,28,6,989,280,542,129,66,31,4,1054,171,323,61,34,16,6,600,239,411,133,38,34,5,854,78,154,38,10,4,0,285,62,97,30,7,8,0,203,116,243,71,14,12,0,455,149,255,73,19,14,0,508,41,85,18,9,6,0,163,59,53,23,7,7,0,143,226,211,94,38,40,9,613,3620,4670,1589,726,652,70,11317
SOS23,999,664,427,73,119,15,2300,259,104,90,23,40,5,520,529,222,239,70,92,3,1157,502,258,239,54,88,11,1147,823,591,382,140,173,7,2112,1022,919,543,183,182,17,2870,1184,1219,649,221,200,16,3494,1236,1551,759,253,189,28,4012,1145,1618,609,187,146,20,3726,1158,1819,642,181,127,7,3945,707,1345,401,86,58,4,2605,1315,2141,815,167,142,9,4594,485,895,259,51,45,8,1740,353,702,242,41,24,0,1368,812,1450,538,85,86,6,2980,1142,2033,636,123,78,4,4020,528,882,350,49,54,0,1862,528,855,337,51,46,9,1824,1163,1142,657,143,210,24,3337,15884,20416,8821,2177,2103,206,49609
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
