SOSR_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
SOSR201,0,0,0,514,683,101850,2777,1985,423,325,275,847,405,58,3909,112862,13029,156,64,17,15,19,30,6,0,1061,14396,13795,122,63,16,18,8,33,12,0,855,14918,14570,426,273,59,56,34,77,30,6,1107,16642,169,0,3,0,0,0,0,0,0,148,326,28538,545,345,75,72,45,114,47,3,2110,31883,139,0,0,0,0,0,0,0,0,657,800,41705,705,408,89,91,65,137,50,8,3823,47084,305826,62080,53977,11038,11674,11990,13047,5325,2310,10277,487545,372797,191864,173774,45459,48369,53090,57057,19482,4875,13768,980534,100567,25538,31106,8744,9302,10262,15612,6498,1991,6855,216480,1137,302,265,87,90,130,274,131,109,591,3114,474499,217707,205150,54287,57768,63480,72941,26112,6970,21209,1200121,713,181,285,64,104,90,123,36,23,3639,5257,781038,279965,259409,65396,69540,75557,86110,31474,9311,35121,1692930
SOSR203,0,0,0,27,44,4732,54,44,15,9,3,18,7,0,214,5099,1023,8,3,0,0,0,0,0,0,113,1151,539,0,0,0,0,0,3,0,0,30,570,311,8,3,3,0,0,0,0,0,32,359,8,0,0,0,0,0,0,0,0,3,6,853,8,4,3,0,0,4,0,0,67,931,7,0,0,0,0,0,0,0,0,39,57,1891,12,7,3,0,0,8,0,0,214,2142,17930,2747,2359,435,419,469,543,269,86,757,26015,6745,5188,5653,1588,1648,1964,2221,837,138,401,26382,1490,672,869,228,277,283,358,138,42,165,4525,30,4,15,0,7,5,11,8,3,24,111,8270,5865,6530,1826,1933,2252,2588,983,188,590,31018,43,9,10,0,0,3,4,5,0,142,216,26239,8613,8903,2258,2353,2724,3145,1252,266,1484,57244
SOSR211,0,0,0,4,4,1313,47,38,0,5,3,13,6,0,64,1490,211,4,6,0,0,0,0,0,0,12,231,87,0,0,0,0,0,0,0,0,5,100,51,0,0,0,0,0,0,0,0,7,66,3,0,0,0,0,0,0,0,0,0,4,139,3,0,0,0,0,3,0,0,16,167,0,0,0,0,0,0,0,0,0,4,3,353,8,3,0,0,0,3,0,0,32,405,5696,1162,1020,193,184,149,128,67,33,245,8878,4194,5150,4169,997,850,835,845,224,110,247,17625,667,489,568,121,142,195,279,89,31,78,2655,23,7,15,0,0,0,5,3,5,5,66,4882,5645,4752,1117,990,1033,1130,316,149,336,20346,16,18,3,0,5,0,0,0,0,32,75,10590,6827,5776,1313,1174,1182,1255,382,178,616,29301
SOSR212,0,0,0,7,13,2990,44,43,0,6,4,11,8,0,163,3264,676,4,0,0,0,0,0,0,0,84,767,299,0,0,0,0,0,0,0,0,33,338,175,0,5,0,0,0,0,0,0,10,203,0,0,0,0,0,0,0,0,0,0,6,482,0,5,0,0,0,0,0,0,49,542,4,0,0,0,0,0,0,0,0,3,10,1154,7,5,0,0,0,4,0,0,141,1315,12907,2036,1802,306,276,283,321,155,77,601,18759,4356,3333,3374,997,925,1127,1377,435,134,315,16364,1054,455,645,221,316,370,527,172,37,174,3973,28,18,11,0,3,13,16,13,3,29,126,5433,3795,4033,1220,1248,1509,1918,620,177,515,20458,31,5,9,6,0,0,4,4,0,61,114,18370,5837,5843,1525,1522,1791,2236,778,257,1176,39333
SOSR213,0,0,0,26,50,3819,43,29,4,0,4,15,4,0,183,4104,843,5,3,0,0,0,0,0,0,63,917,301,0,0,0,0,0,0,0,0,31,332,134,0,0,0,0,0,0,0,0,10,153,5,0,0,0,0,0,0,0,0,0,3,444,0,0,0,0,0,0,0,0,42,490,13,0,0,0,0,0,0,0,0,63,77,1298,3,3,0,0,0,0,0,0,168,1479,14344,1730,1229,227,191,207,192,112,36,566,18840,3663,2357,2200,549,614,703,701,285,117,231,11417,536,214,308,84,126,203,206,91,22,67,1854,21,8,3,6,0,0,0,0,0,5,53,4213,2581,2509,640,740,902,916,379,135,307,13320,60,0,3,0,0,0,6,0,0,335,409,18619,4309,3743,865,930,1109,1111,492,176,1204,32568
SOSR214,0,0,0,14,19,2571,25,15,4,4,0,9,4,0,137,2770,652,8,4,0,0,0,0,0,0,68,730,171,0,0,0,0,0,0,0,0,10,184,66,5,3,0,0,0,0,0,0,5,85,4,0,0,0,0,0,0,0,0,0,7,245,7,6,0,0,0,0,0,0,21,273,6,0,0,0,0,0,0,0,0,20,29,903,14,9,0,0,0,0,0,0,108,1029,9312,920,649,119,98,112,103,52,22,467,11859,1969,996,1105,265,283,310,388,138,61,147,5657,279,74,107,35,47,89,168,34,10,45,899,23,0,0,0,0,0,6,0,0,3,37,2265,1073,1213,300,338,402,557,169,73,196,6595,22,5,0,6,0,0,0,0,0,56,89,11608,2000,1866,424,437,515,659,221,99,721,18540
SOSR215,0,0,0,16,34,3237,37,27,7,0,0,6,7,0,185,3515,727,6,0,4,0,0,6,0,0,82,824,203,0,0,0,0,0,0,0,0,24,229,70,0,0,0,0,0,0,0,0,9,84,3,0,0,0,0,0,0,0,0,3,7,278,0,0,0,0,0,0,0,0,35,319,6,0,0,0,0,0,0,0,0,7,14,1015,9,3,4,0,0,4,0,0,127,1162,14014,1461,1061,188,160,167,151,82,26,701,18013,2502,1173,1070,279,296,341,361,121,42,213,6395,391,176,149,60,85,68,178,60,19,96,1277,16,4,0,0,3,0,0,0,0,15,48,2909,1347,1215,341,384,415,543,182,62,327,7725,41,0,4,3,0,0,0,0,0,47,98,16963,2811,2277,530,548,576,698,272,87,1070,25833
SOSR221,0,0,0,0,6,829,0,6,0,0,0,0,0,0,43,881,176,0,4,0,0,0,0,0,0,21,197,30,0,0,0,0,0,0,0,0,3,30,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,7,48,3,0,0,0,0,0,0,0,0,4,3,218,0,4,0,0,0,0,0,0,26,250,4209,370,318,32,34,48,52,25,7,204,5306,592,232,158,47,61,56,75,18,9,50,1304,56,15,35,6,13,15,22,6,0,9,181,0,0,0,0,0,0,0,0,0,0,8,655,247,187,56,77,78,93,28,12,56,1493,6,0,0,0,0,0,0,0,0,3,12,4877,619,505,94,115,121,144,47,23,265,6809
SOSR222,0,0,0,3,3,382,3,0,0,0,0,0,0,0,22,414,71,0,0,0,0,0,0,0,0,9,83,17,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,9,107,2041,169,135,32,19,32,35,11,8,104,2590,302,114,123,35,34,38,63,26,10,18,768,25,14,10,4,4,7,17,7,0,6,96,4,0,5,0,0,0,0,0,0,0,6,338,124,138,39,38,48,81,34,10,25,877,4,0,0,0,0,0,0,0,0,8,13,2378,292,275,68,56,73,121,44,17,140,3475
SOSR231,0,0,0,30,48,4776,42,30,3,6,9,8,0,4,276,5149,682,4,4,0,0,0,0,0,0,43,737,315,0,0,0,0,3,0,0,0,14,331,147,0,0,0,0,0,0,0,0,7,158,0,0,0,0,0,0,0,0,0,0,0,459,0,6,0,0,3,0,0,0,27,494,0,0,0,0,0,0,0,0,0,26,30,1144,9,5,0,0,3,3,0,0,92,1257,24516,2535,1632,287,231,254,305,149,91,1388,31379,5459,1275,1214,342,315,334,577,208,114,319,10166,716,155,249,115,102,129,163,55,34,115,1829,33,0,6,0,6,6,12,4,5,21,87,6207,1433,1471,456,423,471,751,266,153,450,12078,50,3,7,3,0,0,5,3,0,884,954,30768,3973,3103,749,652,725,1060,420,252,2721,44415
