SOSR_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
SOSR201,1056,1037,954,1054,354,297,282,20740,0,3,57,168,348,4682,6446,4617,2456,1923,922,2093,570,65,347,24704,72,473,1188,1184,1882,895,2802,2635,411,448,591,791,292,69,243,13975,1708,20030,20648,3585,1241,889,1525,2519,475,421,418,395,129,30,2229,56229,20,70,75,240,610,1351,2587,1255,329,327,417,494,262,105,191,8319,0,0,15,185,776,1461,6213,3012,593,608,602,586,252,55,219,14582,30,223,1783,4399,3165,2243,2782,1361,284,304,286,285,140,90,598,17972,39,211,1316,3700,9526,5261,13537,8872,3129,3291,3173,2566,1018,179,873,56679,0,0,4,11,42,392,4303,3114,1159,2057,2993,3073,800,48,301,18290,388,4719,1174,629,693,467,883,454,127,136,139,139,55,27,278,10290,201,467,2029,5590,9478,11360,19425,14452,2416,2419,2585,2701,1071,1066,1942,77217,56,409,4169,5081,2850,1972,1407,641,122,119,125,99,33,26,452,17551,8,18,61,190,658,1467,6024,9072,1905,2283,2345,2196,1004,430,430,28076
SOSR203,28,30,39,35,13,6,5,593,0,0,0,0,0,28,54,76,86,28,17,18,8,0,0,325,3,41,81,70,100,61,153,134,11,15,11,9,3,0,21,718,76,567,464,93,27,20,46,47,15,7,10,10,3,0,71,1453,0,5,5,3,10,41,100,48,5,6,11,11,5,0,8,246,0,0,0,0,28,30,92,82,17,21,12,10,0,0,7,305,0,0,16,20,17,8,18,6,8,3,0,4,0,0,0,124,4,11,38,80,143,87,240,163,70,66,75,71,24,0,21,1097,0,0,0,0,0,5,104,143,81,120,94,86,33,0,3,665,43,1053,116,54,41,23,40,26,8,7,11,8,0,0,39,1478,16,37,169,479,621,557,725,426,66,73,74,73,43,24,104,3475,0,27,276,182,67,29,25,12,3,0,3,0,0,0,10,644,0,0,0,4,9,14,163,401,59,85,91,139,41,6,24,1034
SOSR211,0,12,5,0,0,0,0,93,0,0,0,0,0,14,32,76,39,6,8,6,0,0,10,186,0,8,34,21,22,7,22,17,0,0,0,4,0,0,5,137,3,107,119,35,7,11,15,23,0,0,0,0,4,0,6,328,0,0,0,0,0,6,14,10,0,0,0,0,0,0,0,42,0,0,0,0,16,12,47,15,0,0,0,0,0,0,0,98,3,4,10,17,18,29,28,12,0,0,0,4,4,0,0,128,0,0,7,19,34,29,76,102,20,17,11,14,6,6,14,343,0,0,0,0,0,10,94,86,9,25,9,11,0,0,5,249,4,155,28,22,6,3,9,8,3,0,0,0,0,0,8,247,0,12,50,124,262,345,579,629,131,107,93,89,27,30,90,2561,0,0,53,57,37,37,25,8,3,4,4,0,3,0,3,225,0,0,0,3,19,35,216,247,57,78,29,41,10,18,10,760
SOSR212,19,7,0,9,3,0,0,198,0,0,0,3,0,163,180,100,23,34,15,21,6,3,12,565,3,38,67,52,113,59,110,90,7,11,10,9,0,0,14,604,82,623,455,98,20,20,31,42,8,4,0,10,9,0,77,1476,0,0,3,3,5,18,49,23,3,5,0,19,5,3,11,155,0,0,0,0,11,16,68,20,16,6,5,19,9,0,8,172,0,0,9,10,9,5,19,7,0,0,5,0,0,0,0,69,0,7,20,57,65,21,150,274,261,307,263,250,54,3,85,1806,0,0,0,0,0,0,65,52,42,37,52,28,16,0,0,291,38,501,77,49,71,30,52,19,6,3,6,8,0,0,30,901,9,21,112,362,450,530,728,442,50,62,70,59,27,29,97,3034,6,15,44,21,11,10,3,3,4,4,0,0,0,0,4,121,0,0,0,0,7,21,91,169,29,31,46,25,24,11,7,452
SOSR213,5,0,11,3,0,0,4,94,0,0,0,0,0,28,33,25,0,9,7,6,0,0,8,118,9,35,81,54,56,22,72,47,3,4,8,14,9,0,15,421,63,527,428,67,14,21,24,24,7,0,0,0,7,0,91,1287,0,3,6,0,3,14,32,14,4,8,3,4,5,0,9,112,0,0,0,0,13,11,25,10,10,4,4,11,5,0,0,88,0,0,4,15,6,9,9,3,3,0,0,0,0,0,13,64,0,7,26,43,53,31,87,123,34,63,81,51,13,0,32,634,0,0,0,0,0,3,50,62,43,41,32,10,13,0,7,258,38,854,131,53,68,16,23,20,0,3,6,5,0,0,32,1253,21,30,140,382,470,406,536,294,49,31,42,34,15,16,101,2565,0,0,20,23,14,12,12,0,0,0,0,0,0,0,8,86,0,5,0,4,4,9,54,111,15,30,20,19,6,3,7,294
SOSR214,0,0,0,0,0,0,3,41,0,0,0,0,0,16,16,11,0,7,0,0,0,0,0,52,6,13,47,47,51,11,53,34,0,4,3,8,4,0,7,288,57,375,223,54,25,6,24,26,9,4,7,0,0,0,54,861,0,0,0,0,9,5,22,5,0,3,0,3,0,0,5,70,0,0,0,0,5,3,24,13,0,3,0,3,0,0,0,46,0,0,8,14,7,0,3,0,0,0,0,0,0,0,0,35,0,0,15,13,16,5,48,65,45,54,29,20,7,0,13,352,0,0,0,0,0,0,31,37,14,20,19,15,0,0,0,152,31,460,79,37,36,18,30,13,0,0,0,6,0,0,21,727,10,28,128,257,337,273,327,153,23,12,34,17,9,7,57,1669,0,3,15,8,12,0,10,4,0,0,0,0,0,0,0,54,0,3,0,0,0,0,17,35,0,8,13,6,4,0,6,92
SOSR215,0,0,0,0,0,0,0,29,0,0,0,0,0,13,6,14,0,5,7,0,0,0,0,42,7,25,63,61,71,25,75,70,3,0,0,0,4,3,10,409,62,370,236,46,14,9,8,24,4,5,5,7,3,0,68,856,0,0,0,5,5,24,40,21,0,3,3,0,0,0,0,110,0,0,0,0,3,3,10,14,0,0,0,6,0,0,0,42,0,5,6,3,6,0,12,0,9,0,0,0,0,0,0,47,6,4,23,25,30,23,61,71,71,78,68,79,14,0,34,589,0,0,0,0,0,0,21,42,29,31,26,21,9,0,4,170,42,632,139,73,66,31,46,22,7,0,4,7,3,4,40,1115,18,30,182,417,520,457,525,234,30,29,33,19,9,6,118,2624,0,5,14,19,9,6,4,0,0,0,0,0,0,0,3,53,0,3,4,0,0,8,22,30,7,4,7,0,4,0,0,89
SOSR221,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,25,20,20,11,21,14,0,0,0,0,0,0,3,133,7,70,49,8,0,0,5,6,0,0,0,0,0,0,9,169,0,4,0,4,0,4,10,0,0,0,0,0,0,0,0,25,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,7,13,7,17,13,3,11,8,4,0,0,0,103,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,17,19,158,37,11,23,9,8,5,0,0,0,0,0,0,9,277,3,10,49,143,152,123,118,57,15,0,3,11,0,3,20,705,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,12,4,0,0,0,3,0,0,0,19
SOSR222,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,13,0,12,4,0,0,0,0,0,0,0,61,9,22,26,12,0,0,3,0,0,0,0,0,0,0,4,77,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,5,0,3,0,8,0,0,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,4,12,5,0,8,0,4,12,0,0,0,0,58,0,0,0,0,0,0,0,6,7,5,0,3,0,0,0,23,7,84,20,9,10,0,3,9,0,0,0,5,0,0,9,155,0,5,41,72,89,48,52,21,3,7,0,3,0,0,19,365,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
SOSR231,4,0,0,4,0,0,15,87,0,0,4,5,0,34,7,6,0,0,0,0,0,0,20,77,6,55,117,95,115,51,124,68,4,4,11,11,4,3,25,687,119,923,622,96,30,19,22,30,0,3,5,7,3,0,155,2039,0,4,8,12,13,29,50,17,3,4,0,10,0,0,8,154,0,0,0,0,12,11,26,11,3,0,0,8,0,0,7,73,0,4,32,62,33,21,36,12,0,5,0,0,0,0,28,224,4,18,56,65,78,29,75,129,91,90,105,84,26,13,73,939,0,0,0,0,0,0,13,3,0,0,3,4,0,0,0,34,63,999,245,144,210,83,123,46,10,4,10,14,0,5,61,2014,22,54,282,782,979,819,1026,412,54,38,46,47,26,24,370,4974,0,17,83,68,22,19,10,3,0,5,0,4,0,0,20,254,0,0,4,9,0,3,38,21,0,5,3,4,0,4,10,97
