SOSR_CODE_2021,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
SOSR201,1452,269,253,17,1981,41,3,49,2023,145,5,2176,254,38,13,343,654,17,0,17,668,53,54,774,61975,9162,1407,674,73220,1196,245,1443,74661,4007,134,78810,636,140,25,21,816,135,13,147,967,89,5,1056,1058,249,22,24,1353,117,67,181,1537,144,4,1680,1698,388,45,39,2174,255,74,324,2500,237,7,2743,63675,9550,1446,720,75388,1448,320,1766,77160,4245,145,81550,12015,2918,376,357,15662,521,176,699,16365,4550,65,20979,90,33,0,72,205,3,0,3,207,21,147,368,75779,12496,1829,1145,91260,1971,496,2468,93728,8813,349,102892,18415,2316,364,67,21160,440,103,542,21707,1374,25,23099,16155,3099,319,92,19664,308,103,408,20074,1297,19,21391,887,162,173,6,1230,24,0,30,1256,115,0,1369,140,22,14,209,383,5,0,9,389,44,37,469,35594,5599,864,376,42433,784,208,988,43426,2832,79,46334,355,92,15,11,468,102,17,115,582,68,4,652,558,126,6,3,698,65,45,112
SOSR203,107,21,13,5,153,4,0,4,156,16,0,167,12,0,0,26,43,0,0,0,43,0,0,48,4935,666,98,49,5755,64,15,84,5832,259,9,6102,20,5,0,0,24,11,0,12,33,3,0,38,56,9,0,0,68,0,0,0,72,4,0,75,78,10,5,0,90,8,0,14,105,7,0,114,5014,679,103,50,5847,76,13,91,5935,269,9,6215,657,148,20,11,839,34,5,38,874,244,0,1123,4,0,0,0,9,0,0,0,9,0,9,15,5677,828,124,65,6692,109,20,129,6818,513,16,7351,885,97,16,0,999,18,3,20,1017,75,4,1094,946,141,19,7,1114,8,0,9,1125,56,0,1174,52,3,8,0,67,0,0,0,69,11,0,78,4,0,0,4,3,0,0,0,3,3,0,6,1887,249,48,11,2184,23,6,29,2211,140,4,2353,11,0,0,0,9,3,0,4,14,0,0,17,17,7,0,0,24,5,4,4
SOSR211,36,0,0,0,40,0,0,0,39,3,0,47,6,0,0,6,13,0,0,0,15,0,0,12,1234,165,28,20,1445,30,14,41,1486,104,0,1586,18,12,0,0,28,4,0,4,37,4,0,42,20,14,0,0,36,4,0,11,43,4,0,50,39,22,0,3,64,15,0,19,80,7,0,88,1269,187,28,24,1512,46,10,59,1570,108,0,1675,284,71,11,12,373,14,5,21,392,143,0,532,4,0,0,0,4,0,0,0,4,0,4,7,1560,256,33,34,1888,58,19,78,1963,249,4,2222,220,29,0,0,246,0,0,4,253,15,0,267,162,35,4,0,204,6,5,11,213,14,0,228,6,0,0,0,8,0,0,0,8,0,0,8,0,0,0,7,7,0,0,0,7,0,0,7,393,65,6,8,469,11,3,15,483,30,0,512,0,7,0,0,16,5,0,5,18,6,0,18,8,0,3,0,12,0,0,0
SOSR212,87,12,21,0,122,3,0,3,126,4,5,131,19,6,0,24,47,0,0,0,47,5,0,53,3693,490,97,43,4323,40,8,46,4374,183,7,4559,24,4,0,0,31,13,0,13,40,6,0,50,38,5,0,0,44,6,0,6,51,8,0,53,61,11,0,0,75,17,0,17,86,14,0,105,3754,494,98,50,4396,54,8,66,4460,196,7,4665,448,91,15,23,575,18,8,22,602,215,0,819,7,0,0,9,11,0,0,0,11,0,12,26,4207,590,111,72,4986,76,16,91,5071,414,17,5506,663,82,14,0,754,11,4,6,764,36,0,801,610,87,18,0,707,9,4,12,720,37,0,764,31,3,6,0,37,0,0,0,42,8,0,46,7,0,0,7,16,0,0,0,16,0,0,20,1306,166,35,9,1516,15,9,20,1538,81,0,1624,5,0,0,0,9,0,0,0,12,0,0,11,8,0,0,0,10,0,0,0
SOSR213,57,13,14,3,82,0,0,0,85,4,0,85,14,6,0,19,34,0,0,0,34,6,0,38,3269,398,95,55,3818,36,10,47,3862,179,3,4044,12,0,0,0,18,0,0,0,18,4,0,17,33,9,4,0,36,3,0,3,41,0,0,41,46,11,4,0,55,3,0,3,62,4,0,59,3312,410,99,55,3871,41,10,49,3923,178,3,4103,385,56,10,16,468,14,0,13,483,132,0,620,5,0,0,0,3,0,0,0,3,0,8,15,3703,464,111,68,4346,51,11,66,4411,314,9,4734,470,67,19,0,558,3,3,5,561,23,0,583,509,83,14,7,611,3,3,10,622,25,0,644,15,9,3,0,31,0,0,0,31,4,0,36,3,0,0,9,9,0,0,0,12,3,0,15,1002,155,30,15,1207,14,4,15,1222,54,0,1274,6,0,0,0,6,0,0,0,3,0,0,4,11,3,0,0,15,0,0,0
SOSR214,36,10,11,0,59,0,0,0,59,3,0,66,3,0,0,7,13,0,0,0,13,3,0,18,1618,254,61,25,1955,23,3,28,1986,101,5,2085,8,6,0,0,13,0,0,0,15,3,0,14,16,6,0,0,19,3,0,3,27,0,0,23,28,3,0,0,29,0,0,0,36,3,0,39,1646,260,61,25,1995,25,3,30,2022,103,5,2131,195,50,12,12,274,0,0,0,269,70,0,341,0,0,0,0,3,0,0,0,3,0,3,7,1844,313,75,35,2265,30,3,29,2299,174,7,2480,222,29,0,0,252,5,0,6,258,17,0,274,209,35,8,4,252,3,0,9,255,13,0,274,6,4,9,0,19,0,0,0,19,0,0,19,0,0,0,6,8,0,0,0,8,0,0,8,435,62,20,7,526,6,4,12,537,32,0,572,5,0,0,0,5,0,0,0,5,0,0,5,4,0,0,0,3,0,0,0
SOSR215,95,19,28,0,136,0,0,0,136,8,0,146,26,0,0,30,60,0,0,0,60,7,0,66,2810,389,74,69,3339,20,6,22,3364,204,3,3570,25,7,0,0,30,5,0,5,35,5,0,38,23,8,0,0,39,0,0,0,40,0,0,41,49,16,4,0,69,4,0,4,72,8,0,78,2858,403,79,68,3414,22,6,24,3435,210,3,3652,378,70,9,15,471,8,0,9,486,109,0,596,0,0,0,0,0,0,0,0,0,0,10,10,3241,468,89,80,3881,27,6,37,3921,324,11,4257,338,46,7,3,391,4,0,4,396,21,0,418,361,62,10,6,445,3,0,6,449,28,0,477,22,4,10,0,42,0,0,0,42,3,0,46,4,0,0,8,13,0,0,0,13,0,0,18,727,115,28,20,893,4,0,8,898,53,4,954,9,5,0,0,11,0,0,0,14,0,0,14,7,4,0,0,12,0,0,0
SOSR221,27,4,4,0,33,0,0,0,33,0,0,40,10,0,0,14,16,0,0,0,16,0,4,18,794,118,32,18,959,9,6,10,969,68,4,1043,3,0,0,0,3,0,0,0,3,3,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,3,0,15,799,119,32,18,966,10,6,12,983,71,4,1057,90,15,6,9,116,8,0,8,121,31,0,148,0,3,0,0,3,0,0,0,3,0,0,6,889,137,34,28,1085,16,6,18,1102,101,6,1208,94,17,0,0,114,0,0,3,113,4,0,116,120,14,10,0,140,0,0,0,140,6,0,147,6,0,0,0,9,0,0,0,9,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,224,30,11,4,261,0,0,3,265,7,0,274,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0
SOSR222,11,3,4,0,22,0,0,0,22,0,0,22,5,0,0,5,13,0,0,0,13,0,0,14,392,62,16,10,481,4,6,9,486,19,3,511,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,5,0,0,0,3,0,0,0,9,3,0,7,396,62,13,10,484,4,3,10,493,19,3,518,43,16,3,0,61,0,0,0,61,20,0,84,0,0,0,0,0,0,0,0,0,0,0,0,438,79,17,6,546,4,3,10,558,35,10,603,62,3,0,0,73,5,0,7,70,5,0,81,61,3,0,0,69,0,0,0,71,0,0,71,3,0,3,0,5,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,125,17,7,0,145,4,3,3,147,5,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR231,179,26,50,7,263,4,0,4,270,19,0,291,59,10,3,111,188,0,0,0,186,13,3,207,7676,1054,225,203,9150,55,18,72,9221,398,14,9635,25,4,0,0,34,8,0,8,40,13,0,48,60,10,0,4,71,3,0,7,73,6,0,78,82,14,0,7,101,10,0,12,120,16,0,132,7757,1067,225,210,9251,67,15,84,9338,409,14,9762,947,165,39,38,1189,20,0,22,1205,227,0,1433,11,3,3,3,14,0,0,0,14,4,35,54,8712,1230,265,246,10455,85,22,105,10560,639,57,11254,1138,97,26,9,1272,7,0,9,1275,60,0,1345,1157,176,33,15,1387,12,5,17,1395,71,0,1466,66,10,22,4,102,3,0,3,102,3,0,108,20,3,0,30,48,0,0,0,51,0,0,52,2376,288,80,58,2800,24,6,24,2828,135,8,2977,9,0,0,0,11,0,0,0,11,0,0,11,15,3,0,0,22,0,0,0
