SOSR_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOSR201,954,6225,85288,505103,403787,76464,12239,12791,1102854,326,10773,78114,53220,10442,1046,239,2447,156608,193,3525,35533,63723,19686,2275,350,1341,126620,515,14297,113646,116943,30128,3315,583,3784,283230,953,18881,45962,15837,1859,201,117,1351,85159,855,15926,30278,4689,277,48,34,670,52785,1015,20286,35314,4941,251,24,26,695,62551,1306,24154,40356,7254,254,23,38,933,74315,19,270,255,164,112,47,22,27,914,4138,79516,152163,32881,2748,348,250,3674,275722,182,1694,2079,862,200,49,20,129,5212,60,339,475,418,204,34,31,125,1691,5857,102069,353656,656206,437079,80214,13132,20507,1668713
SOSR203,114,1091,14887,67087,38904,4616,736,1482,128909,50,2777,7767,3167,541,46,16,346,14717,12,235,935,1152,251,25,0,30,2647,66,3012,8705,4323,792,69,21,381,17364,28,859,1627,530,28,3,5,70,3156,5,68,149,29,7,3,0,6,269,5,81,185,26,0,0,0,4,306,0,20,68,44,6,0,4,0,134,0,16,7,4,6,0,0,0,39,39,1051,2036,640,44,8,4,84,3902,26,115,182,99,48,9,0,7,484,10,47,42,60,48,10,7,11,240,252,5314,25849,72211,39841,4702,777,1962,150904
SOSR211,29,125,1542,16184,15051,1626,251,664,35469,5,356,1670,770,131,3,3,114,3056,0,6,77,252,22,6,0,8,362,5,363,1746,1021,153,9,3,124,3418,0,47,244,46,5,0,0,4,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,3,0,0,0,0,21,4,51,249,56,7,0,0,4,370,3,5,5,11,5,0,0,30,63,0,0,0,8,9,0,0,8,35,41,541,3545,17279,15227,1642,258,824,39352
SOSR212,64,491,6966,43667,29405,3698,567,1146,86012,62,929,4420,1585,138,8,10,199,7347,0,59,418,756,137,8,0,16,1404,56,991,4841,2343,277,22,8,219,8748,31,681,2270,638,27,0,6,116,3769,0,55,46,10,0,0,0,0,117,0,19,5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,5,7,4,4,0,0,0,30,33,767,2326,652,33,4,6,119,3936,34,144,315,50,17,3,0,14,577,3,22,38,37,23,3,6,15,148,191,2407,14487,46748,29764,3723,584,1515,99425
SOSR213,90,636,8184,44199,28282,3072,528,1271,86269,39,1304,4630,1485,139,8,9,332,7950,8,116,214,171,29,5,4,14,560,44,1424,4841,1659,171,14,12,349,8512,11,552,1540,303,14,3,5,76,2497,0,0,26,17,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,11,4,0,0,0,0,34,12,570,1573,325,10,3,5,79,2577,43,185,268,54,22,6,0,22,595,0,6,13,38,16,3,4,14,103,193,2823,14884,46275,28508,3096,546,1733,98057
SOSR214,73,510,6356,27921,14748,1793,349,877,52627,35,801,2969,880,97,11,5,152,4946,0,6,121,279,48,3,0,9,468,35,805,3085,1165,138,18,8,160,5412,8,212,259,73,11,0,4,22,588,5,8,24,6,0,0,0,0,39,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,12,3,0,0,0,0,30,10,231,298,89,12,4,8,22,664,36,145,183,77,19,4,0,59,517,5,15,26,37,15,3,4,13,126,150,1716,9947,29287,14939,1820,371,1131,59350
SOSR215,119,1128,10007,42597,22658,3046,608,1385,81547,22,716,2047,770,58,10,10,140,3775,0,15,128,249,66,11,3,8,481,25,730,2171,1021,123,23,7,149,4250,4,353,634,168,24,3,3,43,1240,0,0,6,5,0,0,0,0,9,0,3,5,7,0,0,0,0,16,0,0,4,0,0,0,0,0,7,0,6,10,7,5,0,0,0,36,11,366,659,186,36,7,3,42,1302,80,343,184,89,50,11,16,39,818,4,26,34,51,26,11,12,13,172,237,2594,13057,43939,22885,3104,644,1632,88095
SOSR221,51,422,3396,11705,6012,931,181,371,23075,11,169,170,97,22,0,0,11,481,0,3,14,44,3,0,0,0,69,11,170,186,142,28,0,4,14,556,0,51,49,24,0,0,0,9,131,0,0,0,0,0,0,0,0,0,0,40,108,15,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,13,3,91,170,35,0,0,0,8,315,43,129,48,56,22,8,5,30,338,4,8,10,12,0,0,0,0,38,111,817,3815,11957,6067,941,186,431,24321
SOSR222,33,278,1896,6452,2852,457,110,250,12323,0,49,41,26,15,0,0,0,132,4,0,0,16,4,0,4,5,28,4,49,46,39,18,3,4,5,162,3,30,36,18,0,0,0,0,92,0,3,7,4,0,0,0,0,15,0,11,3,0,0,0,0,0,15,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,13,48,46,27,4,0,0,4,142,13,40,35,30,14,0,7,9,151,0,3,8,7,0,0,0,0,31,59,423,2036,6552,2884,463,112,274,12809
SOSR231,535,3090,14579,61646,49986,11118,3041,2340,146332,4,58,91,168,97,17,8,0,443,0,0,48,55,27,7,3,3,143,4,62,133,219,126,29,9,3,587,5,28,48,19,13,3,4,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,11,31,11,8,3,0,0,64,5,43,82,27,21,5,4,0,189,150,643,479,222,85,11,9,111,1712,20,65,81,96,74,18,19,24,393,708,3895,15350,62205,50294,11183,3085,2486,149218
