SUA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
2000,0,0,0,31,28,23,21,12,0,121,3,23,43,293,127,110,55,22,4,685,0,0,0,9,23,33,88,57,8,218,0,4,4,9,5,11,34,9,3,84,23,147,225,1018,1271,2808,3116,2001,692,11306,0,8,8,50,49,29,29,10,0,183,0,7,7,104,26,40,39,15,5,247,3,15,26,234,133,248,553,311,129,1652,0,3,0,11,19,58,84,85,30,290,0,15,11,56,15,28,15,0,3,132,8,75,98,688,79,97,92,48,9,1198,0,15,19,132,52,23,41,10,12,309,0,0,0,28,7,6,3,4,0,42,0,9,8,21,6,8,0,0,0,41,0,19,16,152,62,98,109,79,24,556,0,4,10,44,46,163,378,304,183,1128,0,9,15,99,49,30,26,6,0,234,0,6,3,53,8,5,3,0,0,81,0,0,4,15,14,11,12,3,0,58,0,32,68,392,142,121,41,12,4,809
2001,0,0,4,3,3,0,0,0,0,12,0,0,0,13,4,9,0,0,0,29,0,0,0,5,3,9,4,0,0,21,0,0,0,0,0,0,5,0,0,3,0,5,9,51,55,100,97,65,23,409,0,0,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,3,0,4,4,6,30,6,8,56,0,0,0,0,0,6,3,6,0,16,0,0,0,6,0,0,0,0,0,6,7,27,29,247,6,23,10,0,0,344,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,5,0,0,29,0,0,0,0,3,7,6,9,3,29,0,0,0,3,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,3,0,0,18
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,0,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,3,20,22,50,68,54,17,231,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,10,22,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,7,27,3,0,5,0,0,46,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,3,6,15,3,32,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,3,0,0,0,22
2003,0,6,0,0,5,0,0,0,0,13,0,19,29,197,54,40,37,5,0,384,0,0,0,0,7,12,15,17,8,61,0,0,4,4,0,4,4,3,0,16,5,63,48,156,146,221,300,198,92,1231,0,4,4,14,8,8,3,4,0,43,0,4,4,12,7,3,5,3,0,29,0,0,9,23,12,19,53,32,17,171,0,0,0,0,0,0,7,11,3,28,0,3,5,7,3,3,0,0,0,35,3,52,140,527,48,30,19,11,0,831,0,3,8,22,10,0,7,0,3,53,0,0,7,16,3,0,5,0,0,35,0,0,4,11,8,0,0,0,0,21,0,4,6,21,18,9,17,3,10,87,0,0,0,4,4,11,21,6,20,70,0,0,3,27,17,4,3,0,7,66,0,0,3,20,5,5,0,0,0,37,0,0,0,0,0,3,0,0,0,4,0,8,12,50,23,25,9,0,0,137
2004,0,0,0,4,0,0,0,0,0,7,0,6,22,110,35,29,11,3,0,210,0,0,0,5,3,11,0,8,0,29,0,5,3,20,0,3,0,0,0,34,0,30,30,85,110,192,184,149,67,840,0,0,4,10,3,5,0,0,0,33,0,0,0,19,5,0,4,0,0,24,0,0,3,6,14,11,25,21,7,100,0,0,0,6,3,3,4,0,7,27,0,3,3,7,4,4,5,0,0,25,6,36,55,369,31,19,19,4,0,548,0,0,7,24,18,12,0,0,0,57,0,7,10,10,3,3,0,0,0,24,0,0,0,6,0,0,0,0,0,12,0,5,0,15,7,3,8,3,6,47,0,0,0,5,3,12,20,7,5,60,0,0,0,13,3,6,0,0,0,20,5,0,0,26,3,6,0,0,0,42,0,0,0,0,0,4,0,0,0,3,0,6,12,63,21,17,13,5,4,139
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,4,6,4,18,30,38,49,35,13,203,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,10,0,0,0,0,3,10,11,3,0,35,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,17,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,6,0,0,10,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,4,0,0,13
2006,0,0,0,0,0,0,0,0,0,0,0,12,9,39,4,7,0,0,0,79,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,16,18,22,7,82,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,3,0,19,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,19,0,3,0,5,5,0,0,0,0,3,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,8
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,4,4,19,15,45,73,56,21,237,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,3,0,0,0,7,0,0,0,3,0,5,10,3,8,29,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,7,4,42,7,3,4,0,4,62,0,0,0,0,5,0,0,0,0,8,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,6,4,0,17,0,0,0,0,0,0,5,8,5,16,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,0,0,18
2008,0,0,0,19,18,3,11,3,0,46,5,51,87,448,148,104,66,28,3,951,0,0,4,54,61,122,181,184,66,679,5,13,11,33,0,12,8,8,0,92,20,172,210,678,565,990,1053,749,323,4754,0,3,5,47,19,19,10,0,0,101,4,7,9,53,17,18,6,4,5,114,3,10,7,110,45,69,270,149,106,769,0,4,0,11,7,31,54,68,29,213,0,20,12,66,15,20,14,0,0,151,20,99,229,1436,99,64,61,24,12,2042,3,7,16,103,45,9,20,4,3,212,0,21,42,123,20,23,4,6,0,245,0,14,11,54,23,15,9,4,0,123,0,24,13,114,55,47,52,29,19,359,0,0,8,36,35,92,233,212,147,777,0,19,7,66,33,12,6,0,0,149,0,11,11,74,17,5,3,0,0,120,0,6,3,14,4,19,6,3,0,58,0,24,33,159,63,73,30,10,3,390
2009,0,0,0,4,0,0,0,0,0,8,0,6,3,12,8,3,0,4,0,29,0,0,0,0,3,4,7,0,0,13,0,0,0,0,0,0,0,6,0,4,0,11,20,53,92,128,86,75,12,476,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,3,0,4,0,9,0,0,0,8,0,8,25,12,7,62,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,5,22,6,9,0,9,0,48,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,9,3,9,0,3,41,0,0,0,5,0,14,16,0,6,40,0,0,0,5,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,16
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,21,18,14,10,84,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,7,4,12,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,6,12,0,57,11,3,0,0,0,90,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,3,3,8,6,24,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3
2011,18,54,79,1200,820,756,721,378,70,4097,292,3529,10299,42427,13836,12130,7010,2612,1294,93423,3,10,26,725,653,1455,1763,1500,553,6677,20,346,516,1462,629,1005,1372,921,434,6719,275,2556,3646,12706,9359,11764,10593,8123,3672,62691,10,107,323,2363,1326,1130,624,260,84,6224,19,136,210,1564,480,336,303,145,108,3311,28,127,351,2063,1043,998,2343,1924,968,9847,15,217,463,1025,1202,3048,6096,8568,3385,24012,110,732,1127,5085,1745,2103,1557,296,110,12858,1037,6816,9935,70492,9030,6528,4494,1901,705,110939,52,293,1652,5697,1617,725,746,230,71,11085,43,688,1048,5516,1176,722,401,172,51,9812,28,1057,1453,5055,2089,1412,797,392,103,12391,19,280,277,3121,798,817,786,542,283,6935,15,177,315,1833,1049,3855,8175,8647,5469,29535,55,273,432,2890,1397,442,286,96,52,5925,47,321,810,4805,1415,555,228,83,18,8289,47,186,361,2251,2007,2055,1336,505,165,8909,143,1351,3199,12595,4123,4011,3523,1163,297,30408
2012,0,0,0,10,0,0,0,0,0,9,0,4,11,80,19,11,6,4,0,125,0,0,0,0,0,9,10,8,14,46,0,0,0,10,0,0,6,5,0,10,0,5,11,42,54,76,77,52,27,347,0,0,0,8,11,5,0,0,0,26,0,0,0,3,0,6,0,0,0,13,0,0,0,13,3,8,24,12,0,58,0,0,0,0,0,8,18,24,14,60,0,0,4,22,0,3,0,0,0,34,0,20,13,168,31,12,10,4,0,252,0,0,0,15,6,0,0,0,0,24,0,3,0,4,0,0,0,0,0,12,0,8,0,10,7,0,0,0,0,24,0,5,0,5,0,4,0,3,0,17,0,0,0,8,6,27,68,87,58,258,0,0,0,19,0,0,0,0,0,17,0,0,4,21,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,16,51,264,65,17,0,3,0,416
2013,0,0,0,0,0,0,0,0,0,4,0,3,0,15,8,4,3,4,0,34,0,0,0,0,0,0,7,3,4,18,0,0,0,0,0,0,0,0,0,5,0,3,3,12,24,62,101,96,37,341,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,35,17,12,65,0,0,0,0,0,0,4,0,5,16,0,0,0,0,0,0,0,0,0,3,0,0,3,9,4,0,4,0,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,19,0,0,0,0,0,0,10,10,13,36,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,8,9,0,0,0,15
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,6,0,4,0,4,0,0,0,0,0,0,0,3,3,13,9,33,57,21,8,143,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,5,0,0,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
