SED_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED20106,6759,4373,1995,501,56842
SED20207,5656,3209,1141,319,54978
SED20302,7089,5933,2864,926,56661
SED20401,4563,3278,1813,925,34223
SED20508,6950,7019,3434,1101,38814
SED20604,6104,4790,2074,588,35346
SED20704,5656,4298,2012,733,35635
SED20804,5354,4691,2455,969,32406
SED20906,5659,3319,1620,730,37132
SED21001,6289,4412,2599,1396,43841
SED21106,6813,4608,2484,1124,38118
SED21203,3201,1631,858,332,29418
SED21303,4720,2626,955,335,48582
SED21401,5701,4088,2861,1117,37213
SED21503,4196,2802,1491,536,31929
SED21608,5165,4078,1693,524,33494
SED21706,6177,4008,2020,995,40696
SED21805,5064,3444,1564,582,35345
SED21906,5486,4775,2002,928,42733
SED22005,4159,2797,1457,857,39026
SED22105,5201,2858,1244,412,57272
SED22201,4640,3367,1925,730,32104
SED22305,3824,2697,1377,477,33233
SED22404,6464,5125,2190,618,32792
SED22501,5810,4553,1878,471,33020
SED22607,5674,3564,1333,489,41379
SED22704,6261,5106,2478,795,33235
SED22802,4564,3133,1606,373,30278
SED22901,4777,3717,1768,724,31914
SED23007,4176,2419,1025,501,44968
SED23101,4908,3813,2514,1042,34054
SED23205,4847,3558,1956,838,32523
SED23308,5288,3914,1818,675,36980
SED23402,5751,3648,1748,549,42123
SED23502,6079,5976,2882,788,31480
SED23602,5461,4839,2097,643,29339
SED23702,5682,3853,1820,512,34966
SED23806,6043,4544,2522,897,41961
SED23901,5847,4101,2035,807,39131
SED24006,6844,4604,2531,1106,37962
SED24105,3688,2737,1369,462,31973
SED24207,4234,2500,919,238,43464
SED24308,4277,3100,1454,545,31551
SED24408,4972,3904,1881,794,27162
SED24504,6693,5244,2232,569,35175
SED24606,5663,4462,2569,1027,38278
SED24703,5828,3880,1696,490,89540
SED24808,4697,3328,1328,316,42093
SED24904,4642,3268,1508,585,28884
SED25003,4458,2395,984,507,33484
SED25102,5525,4042,1537,453,31656
SED25205,5493,3390,1672,725,35311
SED25302,5994,5363,3515,1347,34860
SED25402,5485,4022,1936,740,32335
SED25501,5780,3710,2420,1086,37778
SED25605,4171,3342,2219,1004,32543
SED25704,5016,3864,1940,815,28552
SED25802,6324,5052,2441,684,37415
SED25905,5017,2864,1110,451,31896
SED26005,5088,2398,886,172,38148
SED26102,6931,7117,3979,1332,36559
SED26207,4458,3010,1706,629,30482
SED26303,5261,2759,971,421,41771
SED26406,4970,2882,1402,638,43874
SED26504,5093,4340,2252,787,28870
SED26603,4515,2312,1164,779,43292
SED26708,5894,4788,2053,689,32038
SED26806,5029,3774,2165,865,54123
SED26903,3871,2171,1032,607,37097
SED27003,5100,3341,1411,376,53319
SED27101,4715,3151,1782,633,36436
SED27208,5780,5013,2385,756,31428
SED27305,5075,2609,1222,320,28393
SED27406,6565,4697,2562,986,37430
SED27504,5100,3664,1932,764,33087
SED27608,6573,5176,2610,932,50449
SED27708,5465,4320,1912,720,31808
SED27807,3616,2586,1253,591,32226
SED27907,4581,3132,1402,407,32092
SED28007,4865,2243,802,208,36157
SED28107,5047,2715,863,178,66449
SED28203,3004,1943,907,244,34957
SED28301,6008,4025,2265,746,34531
SED28408,4749,3761,1928,763,31507
SED28507,4501,2769,1152,420,43050
SED28607,5720,2894,1188,537,40978
SED28704,5930,3567,1343,306,49425
SED28803,5582,2510,761,201,56387
SED29494,779,411,85,18,5907
SED29797,15,4,0,0,40
