LGA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA20110,18,118,656,2570,1215,172,40,87,4870,0,31,148,33,8,3,0,10,238,0,0,4,9,3,0,0,0,15,0,31,156,45,4,3,0,13,252,0,8,24,7,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,22,5,0,0,0,0,45,0,8,7,9,4,5,0,0,31,0,0,9,4,0,0,0,3,20,24,166,839,2641,1236,183,38,107,5222
LGA20260,8,55,548,2278,1028,161,29,78,4179,3,50,180,32,10,0,0,12,294,0,3,0,7,0,0,0,0,8,3,57,181,39,10,0,0,12,300,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,12,3,10,6,3,0,0,0,4,28,0,3,0,5,0,0,6,0,12,12,123,747,2324,1038,166,34,97,4541
LGA20570,29,283,3981,19238,12404,1419,206,413,37980,6,755,2236,1398,266,18,6,108,4802,8,39,182,224,67,5,0,9,544,18,799,2418,1622,340,27,10,124,5344,5,283,506,192,8,0,0,19,1021,0,16,48,18,8,0,0,0,88,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,14,12,300,555,211,12,3,0,28,1121,6,42,48,23,13,0,0,0,126,3,17,10,17,20,4,0,3,75,63,1443,7003,21115,12786,1457,227,564,44654
LGA20660,33,212,3683,18483,10919,2225,351,288,36197,15,477,2431,1161,103,8,4,52,4252,3,86,1127,1862,345,20,6,42,3493,19,563,3556,3021,449,27,8,98,7746,12,329,1139,366,29,0,3,25,1895,0,83,333,54,5,0,0,9,476,8,284,561,62,4,0,0,15,932,0,181,99,15,0,0,0,0,299,0,11,12,0,0,6,0,0,29,21,878,2146,498,34,4,7,47,3636,0,0,19,16,0,0,0,0,40,0,5,23,10,9,0,0,0,49,68,1675,9433,22025,11407,2258,367,439,47666
LGA20740,29,205,2055,7556,4360,624,131,268,15225,3,137,362,134,3,0,0,27,671,0,3,54,164,53,10,0,8,293,4,142,409,299,60,10,0,36,961,0,51,102,45,9,0,0,9,214,5,8,13,0,0,0,0,0,27,0,4,0,3,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,67,111,54,15,0,0,9,257,6,62,82,11,0,0,0,14,183,0,3,11,12,4,3,0,3,36,47,479,2674,7930,4436,644,133,320,16662
LGA20830,23,155,1677,8789,7556,975,177,259,19615,0,59,550,203,10,3,0,20,848,0,21,9,13,0,0,0,0,45,0,88,562,213,14,5,0,20,891,0,73,384,117,3,5,0,13,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,6,0,74,385,117,3,0,0,13,595,11,77,201,6,5,0,0,8,311,0,0,3,7,9,0,4,4,34,39,391,2828,9146,7587,982,178,308,21441
LGA20910,9,112,2138,9353,9058,2549,320,193,23722,6,260,2565,1435,159,16,3,46,4494,0,62,738,2308,898,64,6,34,4115,8,317,3309,3750,1056,82,9,77,8612,32,291,1295,441,37,7,0,32,2140,14,185,832,294,14,0,0,20,1362,23,487,900,127,5,0,0,17,1559,0,50,165,26,0,0,0,3,240,0,5,3,3,0,0,0,0,18,65,1020,3193,892,64,7,0,77,5317,0,34,160,45,4,0,0,6,253,0,5,8,14,4,0,0,0,36,80,1484,8811,14050,10187,2646,330,349,37936
LGA21010,14,89,665,2802,1477,172,43,130,5391,0,89,401,65,7,0,0,24,581,0,0,0,0,0,0,0,0,3,0,89,401,68,4,0,0,24,583,0,4,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,6,0,7,6,7,0,0,0,25,43,0,0,4,0,0,0,0,0,15,11,186,1080,2878,1489,174,45,178,6033
LGA21110,14,144,2595,11741,14065,5182,781,245,34771,15,277,3825,2969,514,75,7,56,7738,8,68,783,2728,1051,90,4,27,4763,23,340,4611,5696,1563,167,12,85,12501,67,978,3406,731,87,11,14,58,5346,87,1209,3078,419,36,5,0,53,4894,55,1281,2400,456,20,4,0,40,4271,10,268,309,35,4,0,0,12,636,0,3,3,0,0,4,0,0,18,221,3744,9199,1645,151,20,15,166,15162,5,43,87,66,10,3,5,9,218,0,17,13,21,5,3,5,9,74,265,4292,16503,19176,15797,5378,815,502,62715
LGA21180,67,329,2713,29729,15423,2568,412,883,52121,15,189,1752,2551,396,32,0,108,5046,0,59,874,2115,683,83,11,81,3908,15,246,2625,4664,1073,115,13,196,8955,13,550,1080,557,28,0,0,58,2295,0,34,94,4,0,0,0,4,141,0,50,90,0,0,0,0,6,145,0,35,59,0,0,0,0,0,91,0,21,15,9,0,0,0,8,54,9,697,1337,574,33,4,6,72,2731,7,31,15,23,13,0,0,3,87,0,12,16,23,11,0,3,4,61,100,1309,6700,35016,16550,2687,433,1155,63949
LGA21270,6,42,351,1294,559,68,10,62,2399,0,15,7,28,18,0,0,3,76,0,0,0,0,0,0,0,0,0,0,15,10,28,18,0,0,5,80,0,28,13,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,0,0,0,0,0,44,0,13,3,4,0,0,0,3,27,0,0,0,0,0,0,0,0,5,12,98,387,1332,582,70,10,67,2555
