LGA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
LGA20110,0,0,..,27,0,24,0,26,..,151,21,173,0,179,..,4,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,25,4,26,0,24,..,7,0,7,0,7,..,9,0,9,0,9,..,0,3,5,0,5,..,37,5,47,0,51,..,10,0,16,0,16,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,5,0,0,0,0,..,63,14,75,0,79,..,421,65,488,11,499,..,17,6,23,423,447,5725,440,66,512,436,6671,11428,..,..,..,..,11428,..,15,0,15,0,15,..,8,3,7,0,12,..,15,3,18,0,18,..,11,3,14,0,14,..,26,7,34,0,32
LGA20260,0,3,..,59,6,65,0,65,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,4,0,4,0,4,..,19,0,19,0,19,..,0,0,0,0,0,..,16,0,20,0,20,..,3,0,3,0,3,..,14,0,17,0,17,..,0,3,6,0,6,..,42,4,41,0,41,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,3,0,3,..,11,0,9,0,9,..,32,3,39,0,39,..,250,44,299,0,299,..,12,0,8,323,333,4971,263,46,311,323,5606,9836,..,..,..,..,9836,..,9,0,9,0,9,..,16,0,16,0,16,..,3,0,3,0,3,..,10,4,9,0,9,..,33,39,75,0,75
LGA20570,0,24,..,871,77,953,13,959,..,69,4,75,0,83,..,80,4,85,0,85,..,11,0,15,0,15,..,31,4,35,0,35,..,16,0,17,0,17,..,231,18,247,3,252,..,29,6,32,0,33,..,30,0,30,0,30,..,30,0,35,0,36,..,38,8,46,0,45,..,10,0,16,0,16,..,23,4,24,0,24,..,113,3,112,6,115,..,41,0,38,0,38,..,124,6,128,0,128,..,44,0,47,0,47,..,324,6,333,6,334,..,99,3,110,6,106,..,66,0,68,0,67,..,82,13,91,0,92,..,5,3,13,0,13,..,95,14,107,0,107,..,558,54,614,17,633,..,3600,404,4007,56,4062,..,178,17,199,2647,2847,52116,3780,428,4203,2702,59025,100172,..,..,..,..,100172,..,66,0,67,0,67,..,174,5,181,4,187,..,30,0,30,0,30,..,134,33,165,0,165,..,739,215,954,16,968
LGA20660,0,78,..,1075,57,1136,8,1142,..,1440,201,1644,4,1648,..,193,21,213,0,214,..,16,3,18,0,18,..,128,37,169,3,169,..,369,56,427,4,423,..,226,8,232,0,235,..,358,30,391,9,399,..,140,11,147,0,147,..,81,9,91,0,91,..,140,16,163,0,160,..,27,0,32,0,32,..,111,20,135,4,137,..,148,0,146,0,151,..,113,19,129,3,135,..,147,3,153,0,159,..,73,0,72,0,75,..,482,22,508,6,507,..,369,26,395,3,398,..,260,19,276,0,279,..,172,23,194,0,194,..,83,8,91,0,91,..,436,93,529,4,529,..,1301,203,1507,51,1554,..,12460,1994,14459,150,14605,..,215,28,245,1749,1995,48237,12679,2029,14706,1897,64835,94634,..,..,..,..,94634,..,104,0,104,0,105,..,1041,155,1202,8,1209,..,20,0,26,0,27,..,1206,256,1460,17,1478,..,3700,1265,4967,48,5016
LGA20740,0,0,..,89,6,91,3,96,..,117,20,136,5,141,..,20,5,24,0,24,..,11,3,11,0,11,..,4,0,4,0,4,..,5,0,6,0,6,..,24,6,32,4,33,..,0,0,0,0,0,..,16,0,16,0,18,..,8,0,8,0,8,..,17,0,17,0,17,..,0,0,3,0,3,..,13,0,13,0,13,..,30,0,32,0,32,..,9,0,4,0,4,..,17,0,17,0,17,..,19,0,19,0,19,..,71,3,73,0,71,..,56,6,64,0,64,..,8,0,8,0,8,..,38,7,48,0,48,..,7,0,8,0,8,..,20,6,28,0,28,..,165,24,188,0,184,..,962,129,1087,19,1102,..,63,6,70,1356,1426,18430,1026,130,1155,1369,20955,35984,..,..,..,..,35984,..,11,0,11,0,11,..,26,3,28,0,29,..,3,0,3,0,3,..,35,16,50,0,52,..,74,32,110,0,106
LGA20830,0,3,..,207,11,218,0,218,..,88,14,92,3,100,..,12,3,16,0,16,..,7,0,12,0,12,..,5,6,12,0,12,..,4,0,5,0,5,..,26,0,28,0,26,..,4,0,3,0,3,..,26,8,35,0,35,..,5,0,8,0,8,..,24,9,33,0,33,..,5,0,7,0,7,..,15,0,17,0,17,..,55,0,55,0,55,..,19,0,20,0,20,..,23,0,23,0,23,..,19,0,17,0,17,..,115,5,120,0,120,..,43,8,48,0,48,..,17,0,18,0,18,..,52,11,60,0,63,..,6,0,6,0,6,..,36,16,57,0,53,..,297,26,322,4,333,..,1321,174,1494,18,1506,..,58,0,59,1545,1602,26484,1377,170,1553,1557,29590,51600,..,..,..,..,51600,..,70,4,73,0,76,..,35,7,44,5,47,..,11,0,11,0,11,..,28,11,38,0,38,..,196,74,267,0,267
LGA20910,0,17,..,346,11,361,4,361,..,530,55,585,4,592,..,161,31,187,0,188,..,7,7,16,0,16,..,48,5,51,0,54,..,43,3,45,0,46,..,13,0,13,0,13,..,89,12,98,5,100,..,236,21,256,0,256,..,122,10,133,5,137,..,639,103,747,0,749,..,5,0,5,0,5,..,106,7,113,0,119,..,36,0,35,0,35,..,73,8,74,4,80,..,54,0,55,0,55,..,34,0,34,0,35,..,194,8,201,3,209,..,356,16,374,5,380,..,39,0,39,0,38,..,86,8,94,0,96,..,117,11,127,4,128,..,132,23,156,0,156,..,901,75,974,17,998,..,7461,1069,8527,73,8604,..,166,13,183,1691,1872,42455,7623,1083,8708,1769,52930,82132,..,..,..,..,82132,..,181,0,182,0,183,..,321,18,338,7,346,..,12,0,14,0,14,..,396,71,469,7,475,..,2150,685,2835,20,2853
LGA21010,0,0,..,54,5,54,4,60,..,8,0,10,0,10,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,0,14,..,4,0,4,0,4,..,7,4,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,3,0,3,0,3,..,12,0,12,0,16,..,0,0,0,0,0,..,27,0,27,0,24,..,7,0,7,0,7,..,5,0,5,0,5,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,5,0,3,..,38,4,43,0,43,..,241,25,271,11,278,..,20,0,20,590,616,6578,266,25,295,600,7472,12802,..,..,..,..,12802,..,3,0,3,0,3,..,21,10,27,0,27,..,6,0,5,0,5,..,4,3,7,0,7,..,27,9,33,0,33
LGA21110,0,177,..,1856,67,1929,10,1940,..,1154,113,1272,9,1276,..,288,25,312,0,312,..,30,5,42,0,42,..,335,67,398,5,403,..,107,9,116,0,116,..,113,0,117,0,117,..,402,35,443,0,440,..,141,8,148,5,154,..,105,3,111,0,110,..,179,14,192,0,192,..,4,0,4,0,4,..,78,8,87,0,87,..,77,0,77,0,77,..,340,17,354,0,357,..,117,0,119,0,119,..,109,6,107,0,107,..,637,22,665,0,667,..,519,37,558,3,562,..,321,7,330,3,337,..,219,25,249,0,249,..,102,9,113,0,113,..,989,162,1153,7,1156,..,1121,109,1228,31,1255,..,22027,4077,26110,154,26261,..,289,28,309,2349,2661,58468,22314,4100,26417,2501,87386,114556,..,..,..,..,114556,..,107,0,107,0,107,..,640,50,694,5,696,..,11,0,11,0,14,..,4311,780,5091,19,5112,..,13332,3966,17301,116,17412
LGA21180,0,100,..,4286,434,4715,39,4755,..,1747,334,2082,12,2089,..,91,10,107,0,105,..,49,8,59,0,59,..,65,13,74,0,79,..,1497,592,2097,19,2110,..,196,15,214,0,215,..,102,46,145,0,144,..,494,106,604,3,608,..,116,33,152,0,152,..,100,20,122,0,122,..,641,56,698,7,704,..,599,180,782,3,787,..,1085,42,1124,10,1130,..,133,29,164,0,166,..,1549,64,1613,6,1620,..,200,28,223,0,223,..,2969,156,3128,17,3141,..,1069,252,1327,14,1343,..,332,72,409,0,409,..,246,67,308,0,314,..,837,277,1113,0,1118,..,11262,7755,19013,152,19169,..,6940,1940,8881,100,8985,..,41472,15038,56509,425,56941,..,632,243,873,5149,6024,34160,42105,15289,57386,5572,97124,70661,..,..,..,..,70661,..,41,0,42,0,48,..,3586,683,4275,19,4285,..,23,0,23,0,23,..,2722,1289,4006,15,4025,..,1789,905,2699,20,2724
LGA21270,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,18,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,11,0,9,0,9,..,7,0,7,0,7,..,20,0,26,0,26,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,3,0,3,..,3,0,3,0,3,..,11,4,11,0,11,..,93,9,105,0,105,..,5,0,5,238,243,2647,93,9,108,238,2991,5444,..,..,..,..,5444,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,18,4,20,0,20
LGA21370,0,0,..,93,13,105,0,105,..,88,15,105,0,107,..,6,0,3,0,3,..,0,0,6,0,6,..,8,3,12,0,12,..,3,0,7,0,7,..,27,3,23,0,23,..,8,0,8,0,8,..,3,0,3,0,9,..,5,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,12,0,12,..,74,3,73,0,78,..,0,0,4,0,4,..,64,4,67,0,71,..,15,0,15,0,15,..,151,13,167,3,164,..,16,0,15,0,15,..,0,0,0,0,0,..,19,12,31,0,31,..,8,0,8,0,8,..,10,10,18,0,18,..,105,12,118,4,125,..,675,113,785,15,799,..,62,3,66,1236,1302,17528,739,118,855,1250,19627,34548,..,..,..,..,34548,..,22,0,21,0,27,..,38,5,40,0,46,..,18,0,22,0,22,..,20,0,23,0,23,..,43,41,81,0,86
LGA21450,0,101,..,3603,374,3977,41,4016,..,211,28,240,3,240,..,55,8,64,0,64,..,78,28,104,0,104,..,45,14,65,0,65,..,22,4,26,0,26,..,167,5,174,0,177,..,63,11,74,0,74,..,73,13,80,0,82,..,43,3,53,0,53,..,65,16,86,0,86,..,92,7,100,5,105,..,78,12,91,0,91,..,202,3,210,0,209,..,78,10,94,0,97,..,261,6,266,0,270,..,74,5,82,0,82,..,621,33,651,7,653,..,347,31,369,4,377,..,288,39,331,0,328,..,121,19,139,0,141,..,39,6,52,0,52,..,108,36,147,0,144,..,1752,330,2083,49,2127,..,9264,1281,10538,120,10661,..,248,45,294,2760,3050,46211,9505,1327,10838,2879,59925,91108,..,..,..,..,91108,..,130,3,137,0,137,..,700,65,764,6,771,..,11,0,9,0,9,..,168,43,209,0,209,..,641,293,939,11,951
LGA21610,0,680,..,20063,1918,21985,242,22225,..,1023,135,1165,5,1169,..,147,14,156,0,159,..,1003,575,1577,10,1587,..,357,126,478,0,483,..,175,29,206,0,206,..,2527,187,2717,30,2744,..,854,261,1112,8,1115,..,624,137,755,4,759,..,215,17,230,0,230,..,370,69,437,0,437,..,1454,122,1577,14,1590,..,1137,282,1418,14,1434,..,1416,58,1472,12,1482,..,507,63,564,3,571,..,1650,58,1704,8,1714,..,549,38,587,6,594,..,4121,210,4332,31,4361,..,1483,270,1753,9,1761,..,2626,275,2902,46,2944,..,382,94,471,5,478,..,693,178,871,8,879,..,1118,484,1606,4,1612,..,14046,4272,18324,248,18567,..,63970,12082,76047,769,76820,..,1507,455,1963,7540,9496,96884,65475,12534,78012,8312,183195,193800,..,..,..,..,193800,..,482,8,484,0,489,..,4600,547,5151,33,5186,..,33,0,32,0,32,..,1608,493,2103,17,2112,..,5417,2447,7862,80,7947
LGA21670,0,0,..,27,0,28,0,28,..,7,0,7,0,7,..,4,0,4,0,4,..,4,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,18,..,0,0,0,0,0,..,20,0,20,0,19,..,9,0,9,0,9,..,47,0,52,3,55,..,8,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,4,0,6,..,49,4,52,0,52,..,199,17,219,4,220,..,18,0,18,441,463,6155,217,17,234,446,6836,12098,..,..,..,..,12098,..,5,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,3,0,3,..,18,0,24,0,24
LGA21750,0,0,..,41,3,46,0,46,..,31,0,31,0,30,..,20,0,20,0,20,..,0,0,0,0,0,..,6,3,11,0,11,..,0,0,0,0,0,..,17,0,17,0,17,..,3,0,5,0,5,..,7,0,7,0,8,..,3,0,3,0,3,..,6,0,6,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,26,0,26,0,26,..,9,0,9,0,9,..,16,3,19,0,19,..,15,9,22,0,22,..,72,5,75,0,75,..,8,0,8,0,8,..,0,0,0,0,0,..,14,0,15,0,16,..,0,0,0,0,0,..,8,6,8,0,8,..,95,17,107,3,110,..,482,133,611,8,620,..,16,3,19,686,711,9872,496,133,632,699,11200,19672,..,..,..,..,19672,..,3,0,3,0,3,..,33,8,36,0,40,..,3,0,3,0,3,..,18,7,24,0,24,..,148,167,315,0,313
LGA21830,0,0,..,19,0,17,0,25,..,7,0,7,0,7,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,3,0,3,0,3,..,14,0,19,0,19,..,9,0,6,0,6,..,44,3,46,0,46,..,19,0,21,0,21,..,0,0,0,0,0,..,7,4,9,0,9,..,4,0,4,0,4,..,4,0,4,0,4,..,40,0,43,0,43,..,193,18,211,0,216,..,16,0,16,532,548,7239,210,18,234,535,8003,14555,..,..,..,..,14555,..,3,0,3,0,3,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,4,0,4,..,19,7,23,0,23
LGA21890,0,92,..,1938,141,2082,20,2099,..,3402,930,4334,28,4366,..,253,20,272,3,277,..,27,13,44,0,46,..,85,15,99,0,102,..,794,229,1019,8,1030,..,114,10,124,6,126,..,143,26,169,0,168,..,99,11,108,0,108,..,165,17,183,0,185,..,56,3,64,0,69,..,36,5,38,0,38,..,149,32,181,0,187,..,179,4,184,0,184,..,144,16,161,0,161,..,238,11,247,0,245,..,107,7,115,0,115,..,667,36,707,4,710,..,679,65,741,4,750,..,196,16,214,3,220,..,191,30,213,0,213,..,181,43,224,0,226,..,1172,477,1654,6,1658,..,1669,272,1939,44,1984,..,19815,5035,24855,196,25053,..,276,56,332,2861,3193,48163,20091,5095,25188,3064,76410,94119,..,..,..,..,94119,..,52,0,51,3,59,..,3078,535,3615,18,3634,..,69,0,71,5,71,..,1101,526,1626,10,1636,..,2821,1748,4574,36,4603
LGA22110,0,9,..,91,3,93,0,95,..,88,4,90,0,97,..,3,0,8,0,8,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,11,0,11,0,11,..,3,0,3,0,3,..,12,6,20,0,20,..,5,0,4,0,4,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,61,7,65,0,65,..,8,0,9,0,9,..,63,5,67,0,67,..,26,8,36,0,29,..,156,11,171,0,171,..,22,3,29,0,29,..,17,0,17,0,16,..,28,18,41,0,41,..,3,0,3,0,3,..,44,20,63,0,63,..,159,20,184,3,187,..,924,131,1057,17,1074,..,62,13,67,1746,1816,21878,982,146,1131,1765,24769,43084,..,..,..,..,43084,..,51,0,56,0,56,..,32,0,32,0,31,..,18,4,22,0,26,..,28,9,29,0,29,..,101,50,153,0,153
LGA22170,0,41,..,604,57,664,13,671,..,333,26,361,0,365,..,74,5,80,0,80,..,61,23,86,0,86,..,58,20,76,0,76,..,24,3,30,0,34,..,280,7,291,4,293,..,55,9,62,0,58,..,167,26,191,4,195,..,68,11,84,0,84,..,312,79,386,0,388,..,94,3,98,0,98,..,139,14,151,0,148,..,254,9,260,4,265,..,96,0,99,0,99,..,313,12,328,0,329,..,81,3,91,0,91,..,747,30,775,3,783,..,334,35,368,3,371,..,148,15,165,3,171,..,208,42,252,0,250,..,75,14,88,0,87,..,164,36,200,0,200,..,1204,191,1396,20,1420,..,7325,1098,8423,84,8505,..,233,23,255,3263,3523,59216,7556,1126,8680,3348,71240,116411,..,..,..,..,116411,..,255,5,254,5,255,..,491,54,545,4,552,..,12,0,8,0,8,..,319,78,399,3,394,..,942,419,1365,11,1371
LGA22250,0,0,..,17,6,17,0,17,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,20,0,17,..,0,0,0,0,0,..,12,0,12,0,12,..,5,0,5,0,5,..,36,0,34,0,37,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,19,4,17,..,122,15,137,3,144,..,11,0,14,394,410,4812,135,16,153,400,5368,9574,..,..,..,..,9574,..,10,0,10,0,10,..,3,0,8,0,8,..,3,0,3,0,3,..,4,5,10,0,10,..,8,3,15,0,15
LGA22310,0,205,..,2165,99,2266,22,2282,..,708,79,793,6,796,..,490,81,567,9,575,..,34,5,36,0,36,..,323,80,405,0,400,..,45,4,52,0,52,..,132,3,136,0,136,..,113,16,120,0,120,..,339,36,375,4,385,..,181,12,185,0,186,..,2080,414,2490,21,2513,..,11,0,11,0,11,..,206,20,219,4,223,..,170,3,172,0,175,..,258,20,281,0,281,..,212,3,218,0,222,..,84,7,85,0,89,..,724,30,757,3,761,..,588,39,624,4,629,..,376,15,391,3,394,..,191,34,227,3,229,..,91,10,102,5,109,..,566,74,639,4,647,..,3422,240,3663,61,3724,..,20922,3126,24051,207,24261,..,288,53,341,2358,2702,49722,21220,3180,24397,2568,76690,97714,..,..,..,..,97714,..,149,0,149,0,152,..,465,37,501,0,507,..,11,0,10,0,10,..,1531,304,1828,4,1839,..,6527,1779,8308,76,8384
LGA22410,0,0,..,45,0,45,0,45,..,10,0,10,0,10,..,9,0,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,26,0,24,0,24,..,9,0,9,0,9,..,17,0,18,0,18,..,7,0,7,0,7,..,56,4,61,0,61,..,11,0,11,0,11,..,0,0,0,0,0,..,26,0,27,0,27,..,0,0,0,0,0,..,11,0,14,0,16,..,60,5,65,0,70,..,304,20,316,4,325,..,22,3,20,644,663,9117,323,23,340,644,10104,18185,..,..,..,..,18185,..,20,0,20,0,20,..,11,3,13,3,18,..,3,0,3,0,3,..,4,0,4,0,4,..,20,0,26,0,26
LGA22490,0,0,..,11,0,11,0,11,..,21,0,20,0,20,..,7,0,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,4,4,5,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,14,0,12,0,12,..,9,0,9,0,9,..,9,0,11,0,11,..,9,0,9,0,9,..,0,0,0,0,0,..,23,0,22,0,22,..,18,9,21,0,21,..,0,0,0,0,0,..,13,0,18,0,18,..,0,0,0,0,0,..,4,0,7,0,7,..,108,14,122,0,123,..,348,31,378,3,381,..,23,0,19,529,550,11269,367,30,403,532,12210,23053,..,..,..,..,23053,..,11,0,11,0,11,..,14,0,14,0,16,..,0,0,0,0,0,..,11,4,10,0,10,..,21,0,25,0,25
LGA22620,0,22,..,583,39,626,8,633,..,105,11,111,0,111,..,29,0,27,0,27,..,15,0,15,0,15,..,30,7,41,0,41,..,4,0,4,0,4,..,228,21,245,3,252,..,21,0,17,0,20,..,12,0,12,0,12,..,19,4,24,4,23,..,25,3,27,0,27,..,0,0,0,0,0,..,12,0,10,0,10,..,128,0,128,0,130,..,50,6,58,0,58,..,139,3,140,4,149,..,65,9,70,0,70,..,379,18,398,3,408,..,65,3,64,0,64,..,37,0,34,0,34,..,64,10,79,0,79,..,18,4,17,0,17,..,79,23,101,5,105,..,919,454,1369,28,1395,..,3295,739,4031,54,4093,..,173,35,211,3258,3460,55033,3469,772,4240,3310,62586,106692,..,..,..,..,106692,..,93,3,98,0,98,..,199,11,203,4,211,..,54,0,54,0,54,..,126,28,154,3,158,..,416,156,571,3,570
