SA2_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201011001,1019,688,332,65,8095
201011002,1229,1008,576,202,7025
201011005,713,602,203,40,3853
201011006,559,406,204,80,4949
201011007,386,250,73,14,2010
201011008,877,754,456,222,6785
201011481,702,612,327,188,4988
201011482,1305,959,372,127,7680
201011483,809,721,333,147,6356
201011484,796,712,353,129,5946
201021009,599,415,176,54,3330
201021010,821,727,307,104,4139
201021011,1371,1230,460,138,5992
201021012,657,406,159,17,3230
201031013,325,386,144,39,1686
201031014,405,363,147,40,2177
201031015,418,390,120,8,2420
201031016,572,619,381,117,3421
201031017,596,507,235,40,2582
202011018,1172,921,472,275,7729
202011019,825,668,311,108,5707
202011020,1182,1010,579,257,7363
202011021,797,584,273,104,5030
202011022,1400,1249,830,419,9988
202011023,400,283,77,12,2589
202011024,825,635,312,55,5357
202011025,867,627,228,49,6577
202021026,848,548,172,27,4233
202021027,1158,1184,698,309,6468
202021028,1234,1108,424,77,5353
202021029,557,464,245,67,2588
202021030,1009,893,409,123,5677
202021031,786,686,327,76,4409
202031032,529,355,149,21,2418
202031033,744,588,248,120,3386
203011034,473,340,166,66,3706
203011035,763,480,138,26,4119
203011036,674,479,187,61,3533
203021037,1008,853,448,229,8407
203021039,1256,947,358,94,8019
203021040,1585,992,421,159,11724
203021042,2068,1556,830,220,13437
203021043,1317,921,371,93,9580
203021044,1009,773,501,158,6662
203021045,1041,914,571,245,7350
203021046,1040,739,364,107,5990
203021047,996,904,455,221,7658
203021485,419,296,233,120,5532
203021486,990,633,308,74,7038
203021487,1496,1197,674,312,12939
203021488,494,349,176,74,3861
203031048,1475,1424,695,186,8563
203031049,899,944,399,116,4083
203031051,1167,1308,582,174,5320
203031052,711,961,541,169,3552
203031053,2113,1770,735,250,13924
203031489,828,759,296,68,6289
203031490,1889,1753,713,281,10788
204011054,736,703,310,114,3550
204011055,731,770,335,119,3602
204011056,1108,800,394,140,7226
204011057,1151,1006,392,114,5624
204011058,450,407,184,64,2267
204011059,530,387,197,80,2935
204011060,407,301,119,28,2359
204011061,17,13,0,0,110
204011062,519,446,220,40,2295
204021063,967,885,556,210,5333
204021064,489,392,128,18,2015
204021065,387,332,136,39,1977
204021066,1470,1244,755,339,9549
204021067,1137,852,294,60,5230
204031068,577,558,212,61,2852
204031069,970,808,383,91,5172
204031070,358,240,115,12,1639
204031071,455,382,168,74,2325
204031072,740,541,251,97,3203
204031073,1141,856,329,101,7133
204031075,598,425,174,36,2864
204031491,811,550,221,73,6291
204031492,1094,938,496,116,7314
205011076,1426,1207,577,146,9265
205011077,751,558,239,43,3421
205011078,671,646,253,92,4034
205011079,1870,1470,771,224,11653
205021080,0,0,0,0,0
205021081,1158,1081,683,276,7269
205021082,880,682,277,58,4118
205021083,0,0,0,0,0
205021084,1108,1360,631,135,5700
205021085,790,695,333,84,3402
205021086,827,1037,523,125,3802
205031087,1086,1064,445,117,4996
205031088,13,13,5,0,68
205031089,930,716,297,78,4744
205031090,985,897,437,121,5474
205031091,1595,1512,653,222,7579
205031092,0,0,0,0,12
205031093,2630,2607,1234,360,13611
205041094,1210,854,327,63,5929
205041095,1323,1132,572,206,7846
205041096,1023,782,433,240,6223
205041098,455,293,85,13,2290
205041493,916,628,370,165,5742
205041494,1244,950,484,159,8262
205051099,3,9,0,0,14
205051100,552,489,158,25,2529
205051101,1291,1095,429,110,7020
205051102,350,279,85,17,2152
205051103,1107,927,482,215,7379
205051104,583,570,208,67,2722
206011106,689,373,130,36,9134
206011107,920,561,198,81,9117
206011109,821,353,135,78,5467
206011495,766,414,137,48,8486
206011496,796,460,167,49,9201
206011497,827,449,155,38,7477
206011498,895,491,129,57,7612
206021110,846,459,125,23,5509
206021112,1312,663,263,190,11526
206021499,1274,678,249,92,9411
206021500,782,430,157,56,6763
206031113,1212,693,257,68,8969
206031115,532,354,110,36,5636
206031116,1377,860,301,127,9889
206031501,1463,861,345,194,8947
206031502,1063,670,249,78,7444
206041117,600,502,312,139,11569
206041118,895,487,147,16,11842
206041119,541,511,246,85,3832
206041120,3,0,0,0,68
206041121,672,416,132,58,7014
206041124,341,276,187,71,4305
206041125,557,551,418,186,4817
206041127,0,0,0,0,0
206041503,513,299,131,21,7516
206041504,309,163,56,8,12414
206041505,443,202,56,8,12232
206041506,855,529,208,60,10651
206041507,0,0,0,0,0
206041508,415,261,124,20,4961
206041509,607,390,138,18,12637
206041510,328,158,57,6,5486
206051128,1598,1174,637,144,10457
206051129,1404,756,255,69,10238
206051130,1577,1080,505,86,10178
206051134,1039,660,271,90,10873
206051511,98,24,3,0,1415
206051512,1026,689,368,178,7978
206051513,891,513,180,41,8811
206051514,1348,819,387,207,10319
206061135,737,679,440,118,6359
206061136,1203,806,405,178,13735
206061138,1432,1360,869,310,8757
206061515,582,418,206,57,8834
206061516,699,525,290,104,7152
206071139,510,333,142,30,6776
206071140,680,608,280,72,5846
206071141,458,244,87,17,6517
206071142,824,473,201,58,7301
206071143,1013,776,422,125,8866
206071145,921,714,226,44,6633
206071517,1236,708,304,58,12761
206071518,779,517,208,69,9171
207011146,826,503,254,122,4567
207011147,1585,1251,754,346,9614
207011148,2278,1353,716,278,11829
207011149,2327,1705,947,502,13128
207011150,1885,1186,607,167,10124
207011152,1304,943,552,189,10485
207011154,696,437,221,80,3790
207011155,1855,1441,708,338,9734
207011519,852,647,336,86,6527
207011520,921,704,423,156,8296
207011521,1257,953,562,253,7266
207011522,1346,951,497,235,8128
207021156,988,584,418,139,5972
207021157,1877,1391,973,397,14268
207021159,1740,1329,760,281,9378
207021160,1120,795,719,300,7677
207021424,1475,1101,600,187,8648
207021425,1020,698,579,187,8241
207031161,2003,1231,748,368,12799
207031162,869,624,384,204,5983
207031163,1554,1042,613,389,13893
207031164,1540,998,509,171,10329
207031165,825,512,350,225,7392
207031166,810,553,453,131,6014
207031167,1085,856,378,158,6354
208011168,1661,1185,654,216,7933
208011169,2673,2121,1288,570,13871
208011170,1733,1165,661,413,9361
208011171,971,587,307,132,6910
208011172,2088,1233,617,165,10571
208011173,2069,1584,849,378,10388
208021174,2230,1293,675,344,14310
208021176,1365,932,498,242,12125
208021177,1751,1720,674,346,13782
208021178,1653,1492,654,366,10969
208021179,1071,803,350,135,7411
208021180,593,264,123,59,4374
208021181,811,491,176,54,5650
208021182,1031,700,299,69,8349
208021426,1278,749,283,124,8841
208021427,1138,719,324,159,7583
208031183,775,410,213,75,4445
208031184,6,0,0,3,25
208031185,1084,805,315,100,6303
208031186,1185,863,417,211,8475
208031187,372,262,126,41,2639
208031188,1780,1184,648,397,13361
208031189,1196,653,353,101,7306
208031190,1087,800,476,197,7602
