CED_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED201,4,12,4664,4673,39,339,4403,4777,2621,2018,4836,9480,6919,1150,2316,10379,6657,962,2271,9889,6766,652,1996,9421,5438,294,1334,7058,2746,76,817,3639,584,12,417,1017,31770,5518,23052,60339,3,24,4261,4279,80,473,3785,4340,3607,2219,3860,9682,7495,1146,2348,10997,6943,919,2978,10838,6624,566,3072,10263,4844,213,2943,8000,2038,63,2242,4342,281,10,1146,1437,31919,5628,26631,64172,4,31,8921,8954,116,816,8182,9118,6229,4238,8695,19167,14416,2296,4666,21371,13593,1881,5250,20726,13386,1218,5075,19682,10279,503,4277,15063,4792,136,3055,7980,867,22,1560,2451,63681,11146,49683,124508
CED202,0,26,4157,4190,68,635,3185,3891,2184,2475,3861,8520,4610,1426,2075,8104,4972,1271,2414,8661,5118,939,2437,8491,4858,494,2054,7407,2505,159,1033,3701,539,10,391,943,24846,7435,21613,53898,0,69,3851,3921,140,839,2833,3808,2858,2535,3356,8755,5101,1425,2587,9114,5134,1214,3117,9464,5135,849,3376,9353,4516,379,3279,8173,1906,93,2216,4216,269,4,1224,1502,25065,7402,25839,58299,3,94,8008,8111,207,1470,6017,7694,5041,5012,7216,17271,9709,2848,4660,17214,10107,2483,5534,18124,10250,1787,5815,17845,9370,873,5331,15576,4412,249,3253,7915,811,21,1620,2448,49913,14836,47457,112202
CED203,0,46,3937,3981,75,532,3103,3707,2116,2365,3427,7907,4422,1428,1992,7842,4680,1269,2409,8357,5036,966,2554,8553,5122,561,2210,7893,2866,173,1167,4203,663,21,464,1156,24981,7363,21266,53607,3,61,3740,3804,121,795,2727,3637,2845,2557,3254,8663,4848,1485,2511,8841,4869,1243,3067,9175,5347,833,3538,9715,4739,432,3370,8542,2191,97,2333,4623,334,10,1209,1556,25294,7514,25747,58555,3,104,7680,7788,185,1332,5826,7349,4957,4925,6682,16571,9275,2905,4504,16683,9548,2511,5475,17535,10382,1796,6090,18268,9863,995,5576,16437,5057,274,3498,8828,997,32,1676,2708,50270,14881,47012,112162
CED204,0,12,5411,5423,103,306,5596,6005,3836,1629,7144,12605,7432,956,3293,11685,7150,745,2772,10665,6935,545,2293,9772,5119,213,1525,6863,2444,68,832,3345,585,15,322,912,33607,4485,29186,67275,3,34,5006,5048,342,432,4577,5353,5456,1711,4520,11690,8001,943,2697,11633,7177,736,2984,10894,6544,474,3232,10245,4331,154,2820,7316,1678,49,1995,3720,234,7,1122,1366,33762,4541,28964,67268,5,44,10416,10468,441,738,10179,11361,9289,3343,11665,24300,15430,1901,5988,23320,14329,1474,5752,21557,13483,1018,5525,20021,9451,373,4350,14174,4118,117,2829,7067,818,21,1447,2284,67374,9027,58150,134551
CED205,4,9,5795,5813,198,252,6032,6479,5697,1612,7510,14813,10350,817,2929,14099,7043,572,2212,9824,6085,414,1943,8442,3685,145,995,4823,1621,32,499,2146,285,0,197,485,34952,3858,28106,66920,9,34,5543,5585,583,411,5026,6024,8588,1643,5076,15308,10006,809,2991,13813,6777,581,3051,10410,5259,337,2865,8461,2925,109,2162,5195,903,18,1403,2326,115,0,583,693,35180,3946,28701,67830,17,39,11341,11401,781,666,11053,12501,14279,3253,12587,30121,20358,1633,5919,27908,13817,1157,5265,20240,11347,753,4807,16903,6610,256,3163,10017,2527,46,1900,4469,400,0,777,1182,70133,7806,56807,134747
CED206,0,23,4689,4710,43,352,3775,4174,2752,2578,3567,8901,5800,1630,1960,9395,6202,1425,2284,9911,6128,988,2139,9255,5140,435,1581,7158,2712,142,906,3763,541,9,359,904,29327,7589,21255,58173,0,42,4260,4300,87,522,3271,3878,3538,2797,2834,9168,6314,1617,2151,10082,6411,1397,2763,10571,6089,854,2903,9847,4797,362,2800,7957,1970,77,2031,4080,258,8,915,1187,29469,7675,23939,61078,0,62,8951,9017,133,874,7051,8058,6289,5379,6397,18069,12118,3252,4107,19477,12613,2824,5045,20482,12221,1837,5044,19104,9939,793,4379,15116,4682,216,2938,7833,805,15,1273,2091,58795,15263,45194,119253
CED207,0,18,5242,5263,73,441,6578,7091,3010,1966,7471,12446,7664,846,2570,11080,7713,580,2304,10599,6587,470,1963,9020,5397,219,1344,6956,3978,78,985,5040,1379,15,742,2137,35794,4634,29211,69635,0,28,4861,4887,123,583,5312,6019,4063,1986,5206,11260,8591,805,2523,11918,7868,593,3334,11797,6292,374,3218,9880,5272,173,2905,8350,3208,36,3149,6389,628,5,2218,2855,36047,4583,32731,73361,4,39,10110,10149,193,1027,11889,13104,7072,3950,12683,23704,16256,1652,5094,23004,15579,1176,5635,22396,12880,845,5183,18904,10664,386,4250,15310,7187,113,4132,11429,2003,24,2960,4986,71839,9220,61940,142999
CED208,0,10,3316,3323,45,319,4132,4494,2413,3717,7297,13427,5528,2582,3428,11536,5356,1438,3004,9802,3922,784,2542,7249,2830,283,1645,4763,2027,72,926,3028,767,11,514,1285,22889,9211,26809,58909,3,14,3210,3233,130,441,3790,4363,3322,4190,6700,14209,5776,2526,3815,12122,5355,1393,3646,10400,3840,702,3390,7934,2732,242,2581,5553,1552,48,2304,3902,305,3,1536,1849,23015,9563,30973,63552,3,27,6534,6562,176,758,7917,8852,5737,7910,14001,27644,11310,5109,7242,23657,10709,2837,6657,20197,7764,1483,5935,15185,5560,528,4227,10316,3580,118,3224,6925,1074,14,2049,3134,45903,18778,57780,122465
CED209,0,17,3931,3943,38,412,3301,3754,2386,2471,3323,8179,5724,1598,1518,8842,5540,1111,1623,8277,5261,719,1573,7552,5813,417,1376,7610,3061,145,767,3971,668,15,393,1066,28495,6902,17796,53191,0,31,3714,3741,60,597,2830,3492,3237,2642,2841,8716,6234,1618,2050,9901,5650,1091,2387,9126,5470,722,2720,8913,5500,323,2599,8421,2325,103,2028,4457,347,4,1069,1422,28827,7138,22230,58196,0,48,7639,7689,103,1008,6136,7247,5626,5112,6160,16899,11955,3214,3575,18739,11197,2202,4004,17405,10731,1443,4289,16465,11313,738,3978,16030,5389,246,2791,8422,1017,22,1459,2492,57327,14039,40027,111388
CED210,3,18,4191,4214,70,567,4063,4695,2658,2780,5198,10633,5058,1419,2480,8953,5078,1097,2779,8954,4976,714,2710,8398,4492,343,1865,6707,2519,118,951,3591,637,11,492,1136,25490,7068,24719,57278,0,50,3798,3848,150,788,3667,4606,3487,2899,4474,10850,5437,1382,2974,9790,5272,1062,3437,9772,5016,649,3551,9221,4171,282,3309,7770,1942,70,2519,4533,303,6,1350,1662,25774,7193,29089,62051,9,73,7985,8066,215,1354,7729,9304,6141,5681,9666,21484,10492,2806,5454,18747,10352,2157,6221,18725,9993,1364,6256,17615,8666,630,5180,14467,4463,191,3468,8128,939,15,1842,2795,51263,14258,53807,119331
