CED_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
CED201,10,34,0,0,0,34,17,19,74,2300,1602,255,4156,99,117,216,4372,2389,38,6796
CED202,6,23,6,0,6,25,46,56,125,1830,1894,282,4001,142,145,287,4289,2626,95,7007
CED203,9,23,0,0,0,25,49,42,119,1947,1888,282,4112,98,121,214,4326,2617,73,7021
CED204,15,30,0,0,0,28,37,72,138,2079,1509,264,3850,166,189,352,4206,3418,127,7757
CED205,11,16,0,0,0,16,56,82,149,1807,1364,307,3481,159,169,328,3811,4079,135,8028
CED206,12,31,0,0,0,31,30,25,84,2080,1805,304,4186,73,91,160,4347,2119,57,6525
CED207,6,13,0,0,3,16,32,28,74,2001,1479,206,3685,91,133,222,3903,2900,65,6872
CED208,11,20,0,4,4,21,27,37,88,1672,1294,182,3144,95,91,192,3336,2661,73,6073
CED209,3,15,0,0,0,15,17,29,63,1767,1634,230,3626,73,71,146,3768,1556,48,5376
CED210,11,31,0,0,3,32,51,40,127,2068,1860,295,4221,133,159,286,4512,2899,98,7509
CED211,9,17,0,0,0,17,34,29,80,2359,1614,225,4201,74,94,172,4371,2406,54,6832
CED212,14,34,0,0,0,37,59,51,138,2529,2043,314,4884,135,133,267,5152,2849,86,8088
CED213,15,21,0,0,0,22,55,45,120,1786,1799,326,3908,76,93,167,4082,2266,90,6431
CED214,13,25,0,0,3,23,52,92,164,2048,1526,308,3886,244,265,512,4396,4166,157,8713
CED215,10,32,0,0,0,28,28,46,99,2391,1398,270,4059,192,143,334,4388,2513,76,6981
CED216,11,29,0,0,0,34,67,74,175,1602,1691,286,3581,155,159,317,3895,2688,124,6710
CED217,7,20,0,0,0,22,27,19,68,2034,1274,181,3492,91,65,151,3647,1778,37,5461
CED218,9,34,4,0,5,33,34,59,128,2321,1568,343,4230,202,199,397,4628,2958,112,7692
CED219,13,37,6,0,0,40,54,40,132,2365,1713,351,4428,193,192,385,4814,3239,80,8130
CED220,6,17,0,3,3,18,16,12,52,1524,961,137,2625,68,69,143,2762,1631,34,4429
CED221,16,30,0,0,0,34,52,50,131,2473,1682,333,4488,143,148,291,4781,2793,100,7679
CED222,14,30,0,4,0,34,42,47,117,2283,1711,268,4262,157,168,324,4587,4011,123,8723
CED223,19,31,0,0,0,35,47,35,121,1791,1667,280,3741,93,109,201,3941,2387,74,6404
CED224,13,24,0,0,0,24,22,32,82,2350,1584,234,4162,100,84,175,4344,2258,49,6650
CED225,10,19,0,4,5,19,30,22,72,2142,1436,188,3772,75,97,174,3947,2192,53,6185
CED226,0,11,0,0,0,11,13,21,46,1906,1208,134,3261,86,94,177,3439,2019,44,5501
CED227,17,34,0,0,0,34,22,39,91,2311,1550,287,4151,109,116,223,4375,2065,72,6513
CED228,16,36,4,0,3,38,34,84,163,2447,1628,341,4420,215,211,428,4845,3185,123,8156
CED229,6,18,0,0,0,15,13,18,47,1720,989,156,2867,81,79,162,3025,1541,39,4611
CED230,15,40,3,0,3,40,73,75,188,1748,1583,265,3597,135,125,264,3863,2967,133,6962
CED231,7,18,0,0,0,18,21,36,75,2002,1220,197,3420,117,90,210,3630,2378,68,6077
CED232,7,21,0,0,3,26,27,39,90,2172,1584,250,4006,80,113,191,4200,1967,74,6236
CED233,3,7,0,0,0,10,27,38,80,1362,909,135,2405,107,113,213,2619,2037,65,4718
CED234,6,18,0,0,4,23,24,22,64,1905,1505,204,3609,93,132,222,3829,2656,50,6539
CED235,11,28,0,4,5,32,45,53,130,1491,1659,269,3418,117,118,237,3656,2344,86,6092
CED236,9,39,0,0,6,44,68,79,185,1779,1750,309,3843,112,135,240,4084,2808,132,7026
CED237,15,36,0,3,4,37,45,67,145,2046,1586,245,3880,157,163,321,4202,3478,111,7793
CED238,8,26,0,0,0,22,38,49,112,1599,1721,263,3584,73,107,180,3769,2208,101,6073
CED239,4,14,0,0,0,14,44,30,84,1619,1090,188,2895,88,97,188,3081,2532,57,5674
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
