SAL_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,30,304,5,38,19,8,0,0,0,413,13,112,0,19,10,6,0,0,0,166,163,233,9,41,111,43,0,19,12,634,95,267,10,64,74,19,0,4,6,536,49,184,15,35,44,35,4,4,8,372,9,6,28,14,20,8,0,4,0,92,0,0,0,0,0,0,0,0,0,0,8,23,0,7,6,9,0,0,0,54,0,4,0,4,5,3,0,0,8,27,445,1297,105,225,318,137,13,45,44,2633,51,115,18,15,20,12,0,5,5,246,56,140,27,6,10,4,6,6,6,258,66,199,56,5,23,5,16,16,0,388,43,108,65,3,19,3,5,10,5,254,20,28,16,6,8,3,0,4,0,89,49,457,7,59,28,17,0,5,6,628,24,179,0,27,11,13,0,4,0,258,361,496,21,56,184,97,9,35,22,1277,158,486,17,103,110,35,3,14,12,938,85,334,54,51,70,53,7,17,3,667
SAL20003,10,91,0,16,17,7,0,0,0,146,11,95,0,12,9,0,0,0,0,125,48,56,4,11,68,19,0,5,5,216,13,58,6,9,25,10,0,3,0,132,8,22,3,4,8,0,0,0,0,42,0,0,5,3,17,5,0,4,0,38,0,0,0,0,0,0,0,0,0,0,4,3,6,5,3,0,0,0,0,23,0,3,0,0,3,0,0,0,5,13,115,350,23,67,158,52,3,13,14,791,18,29,9,0,8,0,0,0,0,60,11,19,0,0,5,3,5,0,0,41,56,37,48,0,12,8,4,8,0,178,36,11,45,3,0,7,0,14,0,111,4,3,0,4,0,0,0,3,0,19,14,125,3,22,20,10,0,5,4,193,13,106,0,12,8,0,5,0,0,151,146,150,11,15,89,31,3,15,4,459,27,87,10,16,34,10,0,5,0,188,12,32,4,3,8,5,0,0,0,62
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20005,0,6,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,0,3,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SAL20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20011,7,174,7,65,18,4,5,3,3,288,4,73,3,46,8,7,5,3,0,144,48,75,5,39,126,27,9,12,9,351,18,33,4,99,28,10,6,7,0,207,6,9,3,3,5,5,0,0,3,32,7,0,25,23,17,11,6,8,0,97,0,0,0,0,0,0,0,0,0,0,0,3,0,23,8,9,0,3,0,48,0,0,0,6,4,0,3,0,9,24,116,476,83,318,254,83,37,51,34,1455,8,31,13,10,14,3,12,0,3,91,43,178,38,22,35,6,30,12,8,367,61,110,111,12,29,16,65,36,5,441,16,16,81,4,4,8,15,17,0,154,0,0,8,0,0,0,5,0,0,15,10,232,13,71,23,4,10,6,3,375,6,80,6,50,7,4,9,3,0,169,104,149,22,51,167,49,89,38,17,685,31,43,8,124,38,13,26,16,0,305,8,25,4,6,9,9,5,0,4,61
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,6,27,0,6,0,3,0,0,0,41,6,13,0,3,7,0,0,0,0,27,11,5,0,4,10,3,0,0,0,32,7,13,0,5,7,8,0,0,0,27,0,3,0,6,3,0,0,0,0,9,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,33,68,3,23,28,13,0,3,3,183,3,0,0,0,0,0,0,5,0,4,3,4,0,0,0,0,0,0,0,7,3,9,4,3,3,0,0,0,0,23,10,12,15,0,0,0,0,0,0,42,5,4,8,0,0,0,0,0,0,18,5,37,0,5,0,3,0,0,0,52,10,23,0,3,5,0,0,3,0,45,24,14,0,3,15,9,0,0,0,66,8,20,0,6,7,6,0,5,0,52,0,3,0,3,3,0,0,0,0,19
SAL20014,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,10,10,6,4,5,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,11,0,6,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SAL20015,10,147,8,35,26,9,0,0,0,236,17,156,6,37,16,9,0,0,3,237,94,93,4,35,137,33,12,4,0,408,22,85,3,58,44,12,4,3,0,225,7,24,0,3,17,3,0,5,0,71,16,0,19,24,25,13,0,8,0,107,0,0,0,0,0,0,0,0,0,0,5,10,0,9,9,0,0,0,0,33,0,5,0,4,11,3,0,0,6,33,201,558,57,214,286,83,20,30,23,1469,18,29,8,8,8,5,3,7,0,78,27,43,9,6,13,9,4,7,3,115,66,73,194,12,23,17,31,25,12,447,30,8,145,3,5,3,11,20,0,241,6,3,6,6,0,0,3,0,0,25,17,188,6,52,26,9,6,8,0,311,21,198,5,45,19,9,4,0,6,311,198,193,19,42,184,64,24,11,4,732,34,113,9,82,55,14,6,11,7,333,19,45,10,5,23,8,3,16,0,127
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,5,36,0,22,5,0,0,4,0,73,5,19,0,12,0,0,3,3,0,49,14,22,5,21,57,19,4,14,3,156,3,21,5,46,17,12,0,8,0,114,0,4,0,0,3,0,0,0,0,15,5,0,16,14,12,5,6,8,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,9,0,3,0,4,0,0,0,4,4,17,31,114,29,134,102,40,22,50,9,531,0,14,0,0,5,0,3,0,0,28,5,13,8,9,8,6,8,3,4,60,11,14,61,3,8,6,34,31,7,165,8,0,45,4,0,0,16,7,3,92,0,0,0,0,0,0,0,0,0,5,9,49,6,26,4,4,0,3,0,98,5,30,3,14,0,0,4,3,0,58,27,48,16,27,81,32,19,25,3,276,3,34,7,63,20,13,7,10,0,160,0,8,0,0,3,0,7,3,0,29
SAL20018,24,129,0,14,9,6,0,0,4,192,10,79,0,14,6,9,0,0,0,118,146,120,4,7,71,27,3,3,7,394,50,132,5,13,29,10,0,0,7,244,22,53,3,7,8,8,0,0,0,108,7,0,13,5,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,9,12,4,0,6,4,0,0,0,33,7,0,0,0,0,0,0,0,0,6,317,601,42,69,153,61,6,9,19,1280,21,41,6,11,4,3,0,0,3,85,24,32,5,0,7,0,0,5,0,72,66,78,31,3,11,6,10,3,4,217,53,56,39,5,9,0,4,4,0,170,8,6,5,0,7,0,0,0,0,24,40,204,10,21,8,7,0,0,3,285,21,100,0,13,16,8,0,0,0,158,333,266,14,20,83,63,6,10,19,803,98,246,3,29,42,11,0,0,7,433,32,84,10,11,15,11,0,0,0,161
SAL20019,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,6,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,6,3,4,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,7,3,0,0,0,5,4,0,0,0,15,0,6,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7
SAL20020,0,0,0,5,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20021,8,53,3,24,4,4,3,0,3,106,0,37,3,25,8,5,0,0,0,67,28,30,6,20,39,15,3,13,0,161,13,37,6,36,20,6,0,13,0,135,9,19,4,8,13,0,0,0,0,47,0,0,6,17,7,4,0,8,0,44,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,11,0,0,0,5,4,3,0,4,3,15,68,201,40,136,105,44,8,62,7,676,3,12,3,3,9,0,3,3,0,43,5,36,20,14,13,15,19,20,9,147,17,35,59,8,10,6,24,20,0,185,3,5,40,3,8,0,4,8,3,80,0,0,6,3,0,0,0,5,0,16,8,69,3,27,7,7,3,3,3,136,9,51,0,22,3,5,0,5,0,102,46,52,25,31,69,32,18,37,4,322,27,57,6,50,23,8,5,19,0,188,12,28,8,16,17,3,4,9,0,94
SAL20022,4,33,0,23,3,3,0,0,0,83,8,34,0,10,5,0,0,5,0,61,16,3,4,8,34,10,0,0,0,70,3,11,9,36,20,0,0,0,0,82,0,3,3,0,4,0,0,0,0,9,5,0,8,8,3,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,42,99,31,93,82,27,4,11,5,384,5,8,0,5,4,0,0,0,0,11,4,3,0,0,0,0,0,0,0,7,13,4,55,0,3,4,18,8,0,106,14,0,43,3,0,3,0,7,0,79,16,11,12,6,7,3,3,3,0,53,4,48,0,29,4,3,0,3,0,100,11,49,0,18,5,4,0,0,0,91,25,10,5,8,34,12,0,6,0,102,10,17,9,43,20,0,5,3,0,100,0,3,3,4,3,0,0,0,0,22
SAL20023,17,388,13,73,37,14,0,6,0,542,14,211,0,53,19,6,0,9,0,323,71,86,4,39,194,39,4,13,5,450,28,100,3,135,58,24,3,23,4,374,8,24,5,5,13,11,0,6,0,77,17,4,41,20,22,19,0,7,7,129,0,0,0,0,0,0,0,0,0,0,4,7,4,9,0,3,0,3,0,28,0,10,0,3,0,0,0,3,3,26,184,862,96,355,373,127,18,71,20,2102,19,36,13,14,14,3,0,3,5,111,22,56,17,3,15,15,3,8,0,134,83,62,192,13,19,21,51,39,4,486,37,10,131,0,5,4,10,23,0,218,18,14,14,5,10,6,5,3,0,72,25,530,17,102,39,10,3,8,3,747,38,292,4,61,19,9,8,10,0,446,183,198,33,59,236,80,24,29,12,854,44,157,10,185,73,29,10,30,4,534,13,40,9,12,16,13,0,8,0,114
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20025,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20026,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
