POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
201011001,38,16,0,433,310,40,40,4,9,403,335,56,36,4,7,448,270,36,18,7,0,335,199,20,22,7,3,248,66,14,10,7,0,94,12,9,10,3,0,43,4,5,0,0,0,9,3433,319,287,64,29,4135
201011002,93,13,3,2043,1818,158,103,18,9,2106,1791,145,81,12,12,2042,1547,139,93,15,14,1811,1294,115,73,21,14,1521,477,69,48,8,5,612,118,32,20,8,4,183,33,15,10,11,6,78,18258,1018,741,125,119,20261
201011005,19,4,0,329,291,15,15,3,0,332,240,22,27,5,4,292,243,14,20,4,0,285,137,17,24,0,0,180,70,10,15,3,0,94,14,3,13,0,4,30,0,0,4,0,0,8,2534,138,161,29,15,2874
201011006,29,0,3,388,356,56,28,9,6,453,338,56,27,12,0,432,270,43,34,0,3,359,256,42,37,9,3,344,81,23,11,4,0,122,35,17,8,5,0,57,8,4,0,10,0,14,3854,394,297,47,24,4617
201011007,7,7,3,57,19,11,14,4,0,51,23,6,22,3,0,62,20,8,16,0,0,42,17,4,5,7,0,35,9,0,11,0,0,20,0,0,3,3,0,11,0,0,3,3,0,4,299,83,107,34,5,520
201011008,36,5,10,1092,1050,77,48,8,7,1186,963,83,48,11,7,1114,927,80,42,9,12,1072,635,55,35,19,10,748,233,31,28,8,7,310,64,16,12,6,0,101,19,7,8,6,6,34,9506,554,386,99,77,10619
201011481,19,4,0,223,204,32,25,5,4,264,200,32,26,8,0,262,192,23,34,7,0,254,156,20,27,3,5,218,50,12,17,7,4,88,24,4,6,3,0,38,0,4,4,0,0,16,2221,193,231,39,23,2712
201011482,26,6,0,236,172,34,40,10,0,255,175,39,27,6,5,249,185,35,44,9,4,272,135,26,34,8,5,206,44,18,22,4,0,88,17,14,3,5,0,38,7,3,5,3,0,17,1746,249,288,59,15,2365
201011483,24,6,0,308,250,26,35,3,0,314,210,16,18,3,4,254,183,23,20,8,3,232,156,14,30,6,0,204,57,8,13,3,0,81,14,3,6,4,0,28,0,3,5,6,3,16,2309,176,234,46,20,2793
201011484,24,3,3,260,218,20,25,4,0,271,248,22,16,3,0,294,236,17,22,8,4,285,153,17,22,4,4,194,77,4,8,0,0,99,26,0,6,0,3,34,4,0,0,3,0,12,2747,152,179,36,32,3148
201021009,20,6,0,172,114,19,21,7,4,162,147,17,23,0,3,195,143,20,30,10,0,205,104,20,24,13,6,166,48,6,9,11,5,79,9,5,13,8,0,37,5,6,10,10,0,32,1426,163,190,84,24,1882
201021010,26,11,3,199,163,33,41,4,8,246,137,21,26,9,5,197,161,35,29,17,7,250,115,17,57,19,4,217,43,15,28,3,0,95,16,7,17,10,0,54,5,10,15,19,7,50,1363,216,293,130,48,2051
201021011,69,14,7,357,218,43,84,14,5,360,287,69,104,10,12,482,258,62,84,21,6,437,190,55,82,27,7,368,89,35,66,12,4,209,26,28,44,16,6,115,3,10,31,23,5,73,2365,403,690,164,69,3694
201021012,15,10,0,113,61,38,15,9,0,123,44,34,17,7,0,105,63,41,31,11,4,147,38,18,28,13,0,90,15,7,13,10,0,52,6,7,12,9,0,38,8,7,17,10,4,44,634,208,182,98,15,1138
201031013,12,6,0,76,58,12,17,17,4,102,55,12,15,12,4,98,68,8,22,12,0,113,52,12,16,11,3,98,23,7,20,10,0,61,5,5,15,15,5,41,0,9,6,14,3,35,560,89,148,102,20,922
201031014,11,3,0,119,108,18,16,11,0,152,116,10,20,10,3,164,105,10,19,11,6,146,91,21,30,17,6,162,43,9,9,17,3,83,14,12,7,17,0,47,8,0,8,8,4,23,946,125,144,90,25,1327
201031015,14,0,0,75,45,15,16,7,0,81,44,3,10,12,0,67,32,7,9,15,6,63,39,6,13,3,0,62,11,9,17,4,0,43,3,0,8,4,0,16,0,6,8,6,0,26,421,68,124,58,7,675
201031016,18,0,5,283,323,24,30,6,4,386,330,30,25,0,0,386,381,26,15,4,8,438,259,19,24,4,8,318,121,14,17,8,7,163,31,7,11,6,0,58,13,8,4,3,5,28,3117,167,204,33,57,3582
201031017,14,3,0,87,53,12,10,3,7,80,62,19,14,13,0,111,62,11,23,12,6,111,28,16,24,7,5,88,26,10,29,11,3,79,8,8,14,5,0,32,4,5,7,13,0,33,522,115,159,72,22,891
202011018,78,6,11,2330,2140,149,75,16,6,2389,2007,122,71,13,12,2230,1936,95,106,12,22,2171,1451,84,72,9,14,1627,606,54,31,13,3,713,129,22,21,10,4,188,37,15,8,17,11,84,21023,897,677,128,127,22856
202011019,28,0,3,208,176,19,23,0,3,223,165,16,23,8,0,212,158,23,36,6,3,219,140,16,21,3,0,185,56,9,17,3,0,80,9,5,4,5,0,28,3,3,3,0,0,10,1871,129,231,36,24,2294
202011020,32,6,0,632,554,74,38,4,0,671,538,80,44,15,3,686,489,68,39,3,9,614,399,49,39,4,9,496,143,22,33,0,3,204,42,15,11,9,3,81,3,4,5,5,0,23,5870,494,342,66,45,6809
202011021,25,0,0,222,171,15,23,0,0,218,155,25,14,4,5,191,163,17,28,5,0,209,115,5,17,6,4,150,46,5,15,3,5,70,14,5,4,5,0,21,5,0,0,0,0,3,1568,123,176,20,10,1902
202011022,52,9,0,658,566,60,53,9,4,695,572,78,44,4,7,704,526,68,44,11,8,648,450,39,53,8,6,556,172,27,30,4,0,235,42,9,15,0,0,72,13,11,7,0,0,36,6193,450,439,76,44,7199
202011023,16,5,0,80,66,14,13,0,0,92,51,8,22,3,0,79,40,19,12,4,0,67,35,7,7,3,0,56,12,0,8,0,4,26,5,0,3,0,0,14,3,0,0,0,0,9,600,81,107,24,11,818
202011024,25,3,3,177,118,27,25,0,0,178,118,25,18,0,0,161,98,15,13,0,0,132,61,19,25,9,0,113,19,10,18,7,0,49,3,4,9,4,0,26,0,0,5,0,0,11,1106,170,194,37,13,1515
202011025,18,3,0,383,301,25,33,4,5,368,303,20,37,5,3,368,270,20,13,4,3,308,211,14,30,6,0,264,82,12,20,6,4,118,11,3,6,5,6,31,8,4,0,4,0,16,3353,160,246,56,31,3844
202021026,28,0,0,199,127,26,17,9,6,178,118,32,31,6,0,186,111,21,34,9,0,186,75,12,28,11,3,127,24,15,21,3,0,67,8,5,10,4,0,28,6,3,4,14,6,27,1416,159,213,64,29,1876
202021027,66,3,9,571,550,30,96,5,11,685,559,60,98,9,3,730,562,42,65,7,9,694,454,33,79,9,9,589,190,17,56,5,0,277,28,20,25,8,3,95,9,9,15,3,6,43,4889,309,635,80,63,5971
202021028,43,8,3,149,91,24,50,8,6,179,107,35,62,10,6,213,109,32,72,15,3,235,105,30,65,21,7,227,44,28,52,19,5,152,18,17,18,16,0,75,8,6,19,12,4,50,916,220,451,115,41,1747
202021029,11,6,0,121,103,10,15,7,0,137,112,14,22,4,0,149,96,9,19,6,0,136,82,16,31,6,4,135,46,4,10,15,4,78,14,9,9,9,0,37,0,4,8,13,4,29,982,97,152,68,26,1333
202021030,62,7,10,490,439,48,79,20,5,585,423,54,61,9,10,557,384,53,49,11,5,504,300,56,59,17,3,433,110,34,34,23,6,213,41,22,28,17,0,99,12,7,26,16,5,66,3897,374,500,141,54,4974
202021031,38,3,0,244,194,37,51,7,4,294,187,60,42,5,3,294,160,31,41,13,0,237,111,24,19,8,3,160,53,29,22,0,3,111,23,11,12,3,0,56,8,8,14,4,0,38,1698,271,288,51,30,2341
202031032,24,3,0,195,151,18,13,6,0,187,119,10,26,5,4,169,135,6,26,10,8,185,66,12,17,9,0,108,33,17,20,15,0,80,8,3,12,16,0,43,0,0,12,9,7,28,1278,112,171,89,21,1671
202031033,35,16,7,232,153,31,34,11,0,228,199,22,58,26,7,302,174,33,47,25,4,290,187,40,86,36,0,345,72,30,46,26,9,190,25,14,42,28,4,113,5,15,30,38,9,88,1594,260,437,244,61,2594
203011034,25,5,0,211,125,39,17,5,0,190,128,30,23,3,3,185,89,23,11,6,0,133,62,11,11,3,0,86,22,3,5,5,0,34,10,10,0,5,0,26,0,0,9,8,3,22,1384,200,167,43,10,1802
203011035,24,3,0,140,84,21,24,4,0,145,111,36,43,10,5,200,81,27,23,6,3,144,44,13,22,10,0,97,24,13,22,14,0,74,10,8,19,22,0,62,4,4,8,20,0,34,909,202,246,103,25,1494
203011036,31,7,0,146,101,29,26,10,3,172,88,28,31,5,0,150,103,34,42,11,6,191,70,36,50,17,3,182,32,3,25,22,0,86,14,8,34,19,3,76,7,0,16,21,4,53,981,205,306,135,27,1654
203021037,49,10,9,493,380,54,57,5,4,501,390,37,40,5,0,469,392,34,42,7,0,481,293,35,37,7,0,369,108,17,23,0,0,148,21,6,18,0,5,50,4,7,4,3,4,21,4495,333,450,56,26,5356
203021039,137,18,22,3877,3503,239,124,15,11,3893,3235,198,149,31,17,3635,2921,162,107,15,17,3227,2125,122,120,13,16,2398,881,94,60,8,13,1052,223,54,28,14,3,319,80,19,15,8,9,129,33173,1417,1125,174,179,36060
203021040,65,6,7,579,455,86,76,6,3,624,374,75,64,9,3,520,352,64,59,9,6,481,253,38,55,7,0,350,112,29,21,7,0,176,22,18,10,0,3,53,14,4,11,0,6,35,4706,529,572,77,42,5930
203021042,65,7,4,848,665,64,53,11,5,807,575,54,41,4,9,689,513,52,68,3,3,642,327,36,49,14,3,424,132,32,37,10,0,206,48,18,22,10,3,107,11,6,17,9,0,35,6070,426,484,81,41,7105
203021043,39,15,9,841,745,64,56,15,7,880,704,59,46,8,6,822,587,60,55,9,5,714,365,34,48,11,3,462,136,29,20,6,7,199,33,5,20,5,0,69,6,8,7,4,0,26,6934,417,444,95,66,7956
203021044,27,0,0,147,127,21,40,0,0,191,118,15,30,7,3,170,127,16,12,4,6,169,97,11,28,5,0,136,37,4,13,5,4,63,18,7,6,8,0,32,0,0,3,6,0,9,1659,149,238,46,17,2112
203021045,33,11,0,490,410,69,33,11,5,521,444,68,49,11,10,586,409,51,44,11,6,523,292,47,38,14,8,399,143,24,37,11,0,212,29,13,17,7,5,65,12,7,4,0,5,29,4436,435,378,87,46,5383
203021046,56,4,8,526,412,75,53,11,4,553,367,67,57,8,3,504,320,50,37,0,10,425,259,49,34,7,4,353,106,27,23,7,0,155,24,13,9,4,3,55,12,12,12,5,0,40,3999,488,421,48,36,4992
203021047,48,9,4,1235,1163,94,43,9,0,1316,1009,96,47,11,9,1174,975,89,55,9,4,1137,677,69,53,7,5,813,274,39,34,4,6,358,77,32,20,7,5,136,23,12,3,6,6,46,10768,708,466,90,63,12092
203021485,19,0,0,125,86,10,6,3,0,106,94,7,10,5,0,111,82,5,12,0,0,94,52,6,10,0,0,73,37,0,5,5,0,42,7,0,0,0,0,9,0,0,0,0,0,3,908,94,145,18,9,1177
203021486,26,4,3,675,564,39,21,7,6,629,597,38,24,4,6,668,522,36,25,8,6,585,375,24,23,5,4,424,130,14,14,0,0,163,36,4,12,0,0,53,7,3,0,4,3,25,5701,276,235,34,49,6297
203021487,73,13,4,584,448,74,51,11,0,591,425,63,59,9,3,549,403,46,46,12,5,509,299,30,40,0,0,372,120,23,24,6,3,170,29,5,12,5,5,57,16,0,3,0,6,22,6067,458,504,73,32,7139
203021488,12,0,3,330,357,18,7,0,0,384,318,22,16,4,4,363,286,19,21,4,0,331,194,14,15,0,0,227,86,6,7,0,0,99,22,0,3,0,3,29,4,3,0,0,0,13,3199,154,146,23,25,3542
203031048,42,8,4,314,242,34,41,6,0,325,192,39,43,5,0,277,231,36,47,6,0,313,164,27,45,7,0,250,68,13,24,6,0,116,23,15,18,11,0,66,6,4,5,12,3,30,2390,261,379,71,11,3117
203031049,30,5,5,160,138,39,31,11,0,215,112,42,36,5,5,202,145,51,47,4,0,248,173,41,40,10,0,270,63,28,36,11,4,136,28,9,24,3,0,55,4,6,6,5,0,27,1585,291,317,57,23,2284
203031051,13,3,0,145,96,13,35,3,6,156,109,27,23,3,3,171,95,25,32,8,3,156,99,34,49,11,0,192,54,21,28,8,0,114,17,7,17,4,0,43,4,0,7,4,5,19,1173,168,248,58,25,1676
203031052,20,8,3,179,149,18,25,5,6,202,155,26,27,4,0,214,177,29,29,14,0,246,140,22,28,9,8,211,63,34,28,9,4,138,25,12,16,8,0,57,12,10,9,6,0,34,1530,215,231,59,26,2057
203031053,138,25,9,869,513,145,124,25,8,805,463,123,124,10,4,723,354,107,89,15,8,572,260,64,71,14,0,406,113,41,47,10,0,208,28,35,21,4,0,83,17,9,15,9,0,48,5756,930,905,162,37,7788
203031489,45,5,7,246,130,36,37,7,4,212,97,32,32,5,0,167,102,33,23,5,0,159,69,35,18,3,5,130,31,14,13,8,0,69,9,4,12,4,0,26,4,5,3,4,0,16,1720,253,302,57,28,2354
203031490,69,12,12,472,373,78,110,16,7,582,319,92,64,11,10,493,298,55,55,13,7,435,233,53,53,15,16,364,116,40,34,21,0,212,30,19,22,12,0,84,18,16,7,12,0,53,3887,557,577,111,79,5213
204011054,20,3,10,247,231,17,31,5,0,289,194,34,43,9,3,289,218,32,29,15,5,299,204,37,40,17,5,309,84,20,36,10,5,159,28,18,31,22,4,100,12,10,26,20,4,76,2052,238,325,121,45,2777
204011055,19,8,10,193,125,24,23,11,4,182,147,25,26,10,7,209,155,25,54,16,6,256,150,23,41,22,4,240,96,16,52,49,4,216,25,8,39,38,0,119,5,3,35,35,5,82,1494,202,352,195,45,2281
204011056,43,9,7,465,416,42,50,9,6,527,408,47,42,12,0,514,352,50,49,13,6,467,249,45,22,8,0,332,99,18,24,14,4,157,38,13,13,9,6,83,10,11,13,7,0,33,3889,352,356,106,41,4740
204011057,44,17,3,410,291,61,53,14,9,430,315,67,55,18,13,466,314,63,54,18,8,462,312,50,61,32,8,461,148,34,72,28,6,272,51,10,26,38,0,124,15,0,23,22,3,64,3495,398,499,189,62,4652
204011058,18,7,0,137,134,18,10,10,0,175,130,16,22,4,0,181,128,23,21,10,3,177,118,24,27,11,7,185,60,15,15,12,3,101,21,15,16,5,0,55,6,5,21,19,0,54,1357,156,170,81,20,1796
204011059,20,3,5,266,281,15,21,3,3,338,277,30,22,6,0,333,291,15,15,0,0,324,220,13,27,0,0,269,105,16,14,5,7,146,28,8,8,4,0,47,11,5,0,4,0,13,2709,148,176,41,23,3100
204011060,3,3,0,172,170,14,15,12,3,211,179,14,9,5,5,211,179,9,9,9,4,210,108,16,20,11,6,151,47,3,27,12,0,93,13,7,20,15,0,52,4,4,10,12,0,30,1848,99,139,94,26,2213
204011061,0,0,0,5,4,0,0,0,0,8,0,0,3,0,0,4,6,0,4,0,0,11,4,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,10,0,0,38
204011062,17,6,0,93,74,12,22,3,5,114,86,23,28,12,9,149,88,10,40,12,3,148,67,21,21,11,3,121,31,11,13,10,0,70,15,9,16,5,0,46,6,0,23,23,3,58,729,117,207,93,22,1163
204021063,25,5,7,447,412,22,36,3,3,476,493,44,43,8,4,594,517,50,39,14,5,628,429,42,43,9,10,539,174,26,41,14,3,255,68,11,22,7,0,114,19,5,12,14,6,59,4406,279,352,86,57,5182
204021064,12,6,0,55,45,9,11,12,0,78,43,21,16,9,0,87,45,24,26,12,4,104,33,10,41,23,8,110,18,9,41,26,0,103,6,9,31,28,0,72,4,0,21,21,4,48,375,97,231,137,26,867
204021065,9,3,0,144,146,20,17,4,0,191,165,21,18,10,0,211,147,12,11,0,3,174,120,14,13,8,0,164,43,6,17,11,3,78,9,4,9,5,5,33,11,6,3,13,4,33,1209,102,139,69,18,1544
204021066,81,9,3,1070,1042,73,67,13,9,1206,1026,92,60,13,14,1211,974,69,62,11,7,1127,794,84,67,12,7,974,320,52,37,8,9,427,67,16,24,13,0,122,16,6,7,8,0,42,9504,622,574,111,81,10898
204021067,34,11,0,214,125,31,34,15,4,215,154,49,57,20,10,296,150,49,56,32,7,298,127,46,81,24,8,284,64,26,56,36,11,205,20,15,69,31,4,141,7,8,56,43,18,128,1505,316,518,247,72,2658
204031068,26,3,0,173,156,27,29,0,0,219,154,29,20,8,3,214,162,29,36,12,0,244,142,24,35,10,0,208,76,13,24,8,4,121,26,6,9,7,4,54,7,0,4,9,0,22,1418,163,224,66,16,1888
204031069,50,9,0,372,321,75,58,11,4,470,250,61,68,17,3,403,259,58,54,20,7,398,237,55,69,22,11,395,128,30,44,20,6,223,33,7,29,11,8,82,11,5,11,16,4,47,3566,406,474,149,54,4658
204031070,8,7,0,53,41,12,16,3,0,77,47,7,9,3,0,60,45,3,8,3,3,71,40,7,22,10,0,81,14,7,13,12,0,47,4,0,11,7,5,25,0,0,13,9,6,28,415,46,118,48,14,646
204031071,12,3,0,165,157,21,15,10,3,195,187,22,35,10,4,253,223,23,19,12,8,292,178,21,24,12,4,236,87,15,32,8,5,140,22,6,10,12,4,54,9,7,6,6,3,34,1623,155,183,79,35,2069
204031072,22,13,3,171,125,25,21,11,3,190,145,30,48,6,0,228,162,32,42,23,0,260,156,32,57,18,7,265,62,24,65,26,10,181,21,17,48,29,4,118,6,14,38,25,14,96,1433,204,403,168,46,2251
204031073,31,9,4,579,499,28,25,3,4,562,491,33,31,8,3,560,433,29,30,3,9,504,307,18,36,7,4,380,127,13,20,8,4,170,25,9,10,0,0,50,12,8,7,6,0,32,4655,219,269,50,35,5226
204031075,19,0,0,135,87,19,11,3,0,127,94,30,18,15,0,159,87,22,18,10,4,146,54,23,38,6,0,128,26,21,21,10,0,74,12,0,17,20,0,56,5,3,24,11,4,42,843,180,214,85,26,1347
204031491,19,3,0,361,322,23,26,3,5,376,301,27,22,5,3,363,273,28,20,6,0,330,195,10,22,6,0,233,62,6,17,8,0,100,15,4,13,8,0,39,3,5,6,6,6,26,3564,178,232,52,23,4052
204031492,41,6,7,1212,1027,95,74,8,5,1204,1091,97,71,4,7,1265,910,72,66,8,12,1065,725,69,67,8,3,875,312,27,38,4,8,394,75,18,17,5,0,121,25,11,11,11,7,60,10568,619,554,72,74,11885
205011076,55,4,0,398,300,52,58,16,4,422,303,54,54,19,0,424,271,52,63,18,7,414,204,26,60,15,4,306,92,32,50,20,0,188,35,12,19,14,4,85,14,8,21,16,5,58,3385,417,543,153,38,4537
205011077,25,8,4,172,105,25,36,8,5,179,114,29,35,17,5,199,104,36,40,15,9,195,79,23,43,12,0,169,42,15,36,18,0,115,10,9,29,17,3,73,3,9,21,15,3,52,1184,207,313,127,43,1882
205011078,32,7,7,206,146,33,36,8,15,239,154,33,35,6,6,238,126,24,33,15,4,204,130,26,42,21,7,221,62,14,36,17,4,128,10,16,23,14,3,61,5,0,19,20,3,50,1577,224,319,127,44,2294
205011079,56,18,4,967,886,110,88,14,7,1107,927,111,92,10,8,1143,836,89,82,8,6,1028,669,56,90,32,14,864,265,56,71,15,9,408,64,22,36,24,3,145,30,15,43,35,14,128,9248,751,793,185,92,11059
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,44,12,10,869,861,54,62,18,7,1003,912,88,61,9,15,1083,927,68,70,5,10,1080,741,76,73,12,12,912,330,43,44,9,11,435,117,23,26,6,4,177,20,10,18,8,12,62,8420,517,557,106,124,9720
205021082,33,5,5,156,98,11,26,9,5,150,131,26,48,7,5,223,132,28,44,21,7,235,119,30,52,20,3,230,54,17,49,30,8,158,15,20,37,17,4,88,7,8,30,43,8,93,1206,188,395,164,61,2008
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,30,10,0,266,206,36,30,10,4,284,237,34,26,5,4,310,242,27,36,8,5,315,227,21,47,20,6,325,95,19,30,19,3,178,23,13,11,17,3,77,6,11,6,18,5,47,2184,198,288,137,44,2854
205021085,21,4,6,199,160,8,23,10,0,202,173,29,37,14,8,260,214,26,47,20,6,309,170,28,55,26,7,294,80,15,30,33,3,160,23,11,27,14,0,78,5,9,19,17,0,58,1567,179,299,163,56,2257
205021086,10,0,3,57,59,13,20,0,5,93,59,11,11,0,5,89,62,12,26,10,0,108,57,24,26,7,6,117,35,7,12,6,5,70,7,3,7,4,0,29,3,11,13,0,3,37,612,112,166,39,36,956
205031087,49,12,4,273,159,37,61,8,11,272,231,36,79,11,7,366,202,42,97,17,11,370,185,39,99,11,8,347,78,31,70,35,12,235,25,22,49,29,7,134,4,7,21,25,3,65,1935,317,646,178,79,3164
205031088,0,0,0,4,3,0,5,0,0,5,4,4,0,0,0,7,0,0,0,0,0,5,0,3,0,0,0,4,7,0,3,3,0,11,0,0,0,0,0,0,0,0,0,4,0,4,26,8,9,13,0,64
205031089,35,4,5,244,194,31,50,23,16,315,210,43,56,15,16,335,175,28,54,18,3,283,171,36,71,23,7,303,67,17,59,29,5,174,24,13,33,22,7,95,7,11,23,17,9,59,1987,278,469,157,79,2971
