POW_SA2_CODE_2021,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
201011001,0,0,0,110,78,0,5,0,0,89,53,4,3,0,0,66,74,4,8,0,0,89,69,0,11,0,0,78,91,7,3,0,0,105,69,0,0,0,0,71,34,7,0,0,0,43,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,680,28,39,9,0,761,138,0,0,0,0,138,97,0,5,0,0,105,90,0,4,0,0,93,98,0,13,4,0,117,111,12,10,3,0,134,97,8,5,8,0,122,90,9,7,0,0,102,83,13,3,3,0,100,74,6,6,0,0,88,69,4,7,0,0,81,22,0,5,0,0,25,6,0,0,0,0,14,4,0,0,0,0,4,967,41,72,24,3,1109,99,4,3,5,0,106,12,0,0,0,4,16,1760,80,116,34,10,1999,67,0,6,0,0,67,220,5,11,0,0,235,283,12,9,0,0,314,222,16,18,0,0,260,186,31,19,0
201011002,12,0,3,761,566,10,12,4,0,590,491,20,13,0,0,529,528,23,21,7,0,578,610,40,29,3,3,682,617,27,23,0,5,669,497,25,12,5,4,542,335,22,8,0,0,368,91,4,3,3,0,103,12,6,4,0,0,19,0,3,0,0,0,8,5021,184,149,20,17,5393,531,0,0,0,0,536,690,0,0,0,0,697,530,0,13,0,0,548,613,7,19,0,0,643,722,20,32,3,3,781,655,21,28,6,0,708,591,30,32,9,3,659,562,15,24,0,0,612,520,12,22,8,4,564,486,16,24,5,6,539,176,12,12,0,4,203,47,6,3,0,0,56,10,0,0,3,0,12,6127,152,218,41,30,6562,918,10,20,6,7,965,107,5,4,7,12,137,12177,357,391,72,58,13048,137,0,0,0,0,142,755,4,10,0,6,772,1260,25,25,5,3,1316,1110,47,37,4,0,1201,1001,79,39,4
201011005,0,0,0,89,88,0,0,0,0,84,85,4,0,0,0,92,92,0,5,3,0,101,108,0,6,0,0,113,89,3,6,0,0,104,81,0,4,0,0,86,42,0,8,0,0,50,8,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,740,18,26,7,0,785,48,0,0,0,0,49,42,0,0,0,0,44,56,0,0,0,0,55,73,0,0,0,0,69,78,4,4,0,0,84,64,0,0,0,0,70,63,0,0,0,0,76,46,0,4,0,0,60,59,3,6,3,0,72,36,3,4,0,0,45,24,0,5,0,0,31,5,0,0,0,0,5,0,0,0,0,0,4,598,19,39,9,5,665,101,7,6,5,0,115,19,0,0,0,0,28,1457,36,70,18,4,1595,6,0,0,0,0,6,100,0,0,0,0,105,201,0,0,0,0,201,210,15,10,0,0,223,207,17,3,0
201011006,0,0,0,112,51,4,5,0,0,63,60,6,0,0,0,66,55,3,4,0,0,62,67,8,6,0,0,77,67,16,3,4,0,83,51,3,5,0,0,62,36,3,0,3,0,36,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,595,42,29,10,0,680,173,0,0,0,0,172,120,0,0,0,0,120,78,5,3,0,0,87,72,0,15,0,0,83,59,7,5,4,0,72,68,5,5,0,0,74,66,11,5,0,0,83,47,9,3,5,0,65,45,5,5,0,0,55,42,5,3,4,0,59,25,3,4,0,0,31,9,0,0,0,0,14,0,0,0,0,0,4,794,44,54,16,0,914,89,3,3,0,0,104,19,0,0,0,4,25,1498,96,92,26,9,1721,84,0,0,0,0,84,293,4,7,0,0,306,339,21,15,0,0,380,286,33,21,0,6,337,256,39,22,4
201011007,0,0,0,6,10,0,0,0,0,9,9,0,0,0,0,10,3,3,0,3,0,10,12,0,0,0,0,10,5,0,3,0,0,11,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,51,6,8,5,0,70,9,0,0,0,0,5,7,0,4,0,0,7,3,0,0,0,0,9,11,0,3,0,0,12,7,4,4,0,0,17,4,0,4,3,0,10,5,0,6,0,0,16,6,0,3,3,0,15,5,4,5,0,0,13,5,0,0,3,0,9,4,0,0,0,0,5,0,0,0,4,0,4,0,0,0,0,0,0,66,7,26,18,0,117,5,0,3,0,0,10,0,0,0,0,0,0,121,15,39,23,0,196,7,0,0,0,0,7,24,0,0,0,0,24,37,6,5,0,0,42,31,9,4,0,0,45,15,11,4,0
201011008,4,0,0,237,144,6,7,0,0,156,147,6,7,0,0,159,199,9,7,0,4,215,219,3,7,0,0,232,196,12,5,0,4,218,154,5,5,0,0,165,104,5,3,0,0,115,15,0,0,3,0,22,8,0,0,0,0,8,0,0,0,0,0,0,1615,53,44,10,9,1734,234,0,0,3,0,237,208,0,7,0,0,219,146,0,11,0,0,164,137,3,11,0,0,152,185,0,8,7,0,199,174,9,12,0,0,200,164,8,13,0,0,186,160,6,6,3,0,179,167,14,11,3,0,191,128,6,4,0,4,137,42,6,3,5,0,55,11,0,4,6,0,17,9,0,0,0,0,9,1766,51,82,30,13,1942,233,10,6,4,3,257,45,0,6,7,12,65,3660,108,147,41,32,3993,168,0,0,0,0,172,585,0,3,0,0,591,732,23,22,0,0,778,686,35,23,0,0,743,620,68,23,0
201011481,0,0,0,62,59,3,7,0,0,71,57,3,7,0,0,67,32,5,0,0,0,43,43,4,7,0,0,58,60,6,0,0,0,73,38,9,3,0,0,48,36,3,6,0,0,41,8,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,450,31,32,0,0,520,83,0,0,0,0,83,90,0,9,0,0,97,59,0,0,0,0,58,71,0,6,0,0,80,69,0,5,4,0,78,68,0,6,0,0,85,76,4,9,0,0,86,64,4,7,0,0,76,70,9,7,0,0,83,66,0,4,5,0,76,22,0,13,0,0,33,13,0,0,0,0,18,0,0,0,0,0,5,752,24,69,16,5,861,89,3,11,0,0,100,18,0,0,0,0,22,1311,66,106,19,8,1503,40,0,0,0,0,40,109,0,4,0,0,108,151,0,6,0,0,157,137,14,13,0,0,164,134,12,16,0
201011482,0,0,0,44,41,6,6,0,0,46,34,3,0,0,0,33,44,9,4,0,0,56,42,6,8,4,0,58,52,4,8,3,0,68,43,4,0,0,0,47,20,7,3,0,0,26,4,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,352,32,39,7,0,428,74,0,0,0,0,73,40,0,0,0,0,45,36,0,7,0,0,46,45,3,3,3,0,56,45,3,13,0,0,64,50,7,8,3,0,70,47,4,7,0,0,63,48,4,8,0,0,72,44,10,11,6,0,71,40,0,5,0,0,46,15,4,6,4,0,32,4,5,0,3,0,16,4,0,0,3,0,4,488,48,74,29,0,642,68,0,0,0,0,76,12,0,0,0,0,19,925,85,111,35,11,1162,25,0,0,0,0,25,96,0,4,0,0,103,93,0,8,0,0,104,101,18,17,0,0,134,85,20,22,6
201011483,3,0,0,52,42,0,0,0,0,48,38,5,0,0,0,53,68,5,4,0,0,76,60,0,5,0,0,70,54,3,3,0,0,58,45,5,4,0,0,53,30,0,6,0,0,40,3,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,444,27,30,9,0,507,58,0,0,0,0,57,84,0,0,0,0,83,61,3,0,0,0,65,54,6,10,7,0,75,68,3,7,4,0,85,67,3,3,0,0,77,67,5,14,0,0,83,57,0,7,0,0,66,56,4,4,3,0,64,38,0,6,0,0,47,21,4,6,5,0,29,0,0,0,0,0,8,0,0,0,0,0,3,637,24,64,21,6,752,96,0,15,0,0,112,16,0,0,6,3,22,1191,49,105,27,11,1388,34,0,0,0,0,34,98,0,3,0,0,101,147,9,16,0,0,167,151,15,11,0,0,178,137,26,14,0
201011484,0,0,0,78,47,0,8,0,0,53,44,0,7,0,0,53,48,0,0,0,0,55,69,4,6,0,0,77,61,3,3,0,0,70,45,0,4,4,0,54,33,0,3,0,0,38,12,0,3,0,0,15,0,0,0,0,0,0,4,0,0,0,0,4,533,14,24,5,4,583,185,0,0,0,0,191,92,0,0,0,0,92,71,0,0,0,0,79,67,4,4,0,0,76,65,0,3,9,0,81,75,3,9,3,0,91,65,4,7,4,0,69,91,4,4,0,0,96,96,0,0,5,6,101,53,3,7,0,0,60,24,0,0,0,0,23,3,0,0,0,3,7,0,0,0,0,0,3,889,18,38,21,4,967,96,0,3,0,0,102,16,0,0,0,4,22,1534,30,65,22,18,1678,70,0,0,0,0,70,132,0,0,0,0,133,173,9,5,0,0,185,117,10,12,0,0,144,119,17,10,3
201021009,0,0,0,37,16,4,0,0,0,21,22,0,5,0,0,22,23,5,3,0,0,33,37,4,3,0,0,44,47,0,0,0,0,51,29,3,10,0,0,45,10,3,5,0,0,23,8,4,3,0,0,16,0,0,0,0,0,5,0,0,3,0,0,4,268,17,36,15,0,344,58,0,0,0,0,60,46,0,3,0,0,54,33,0,0,0,0,41,41,0,0,0,0,44,37,3,10,0,0,55,29,0,7,0,0,42,35,4,3,0,0,42,46,0,0,0,0,48,48,5,3,4,0,57,36,0,4,3,3,50,12,0,0,5,0,18,9,0,6,6,0,11,0,0,0,0,0,6,433,21,38,20,5,518,57,8,0,6,0,67,14,0,0,0,5,18,777,49,77,40,13,947,22,0,0,0,0,22,80,0,0,0,0,82,85,7,5,0,0,94,71,8,9,0,0,86,77,16,7,0
201021010,4,0,0,37,18,0,0,0,0,22,18,3,5,0,0,27,25,9,6,0,0,41,36,12,5,0,5,48,33,4,0,0,0,40,32,12,9,9,3,59,23,6,6,4,0,35,4,0,4,0,0,13,0,0,3,0,0,3,0,0,0,4,0,4,247,40,35,21,8,360,43,0,0,4,0,42,31,0,0,0,0,28,41,0,0,0,0,42,41,3,5,0,0,47,35,3,6,0,0,50,39,6,10,0,0,55,57,3,14,0,0,76,41,5,7,0,0,54,54,3,4,0,0,64,37,8,12,8,0,62,11,0,3,5,0,20,3,4,6,8,0,16,0,0,0,0,0,0,424,24,67,31,6,550,64,7,0,0,3,72,7,3,6,3,0,17,750,78,114,51,14,999,17,0,0,0,0,17,59,0,0,0,0,67,74,4,11,0,4,98,56,6,10,0,0,79,64,18,7,3
201021011,3,0,0,56,41,3,6,0,0,56,34,4,16,8,0,59,59,5,5,0,0,76,48,14,16,4,0,77,80,18,24,0,0,122,42,15,6,3,0,72,27,8,10,4,0,50,13,4,6,0,0,24,5,0,3,3,0,7,0,0,0,3,0,5,423,80,99,28,12,637,64,0,0,4,0,64,73,0,0,0,0,71,65,0,4,0,0,70,62,3,9,0,0,81,63,7,20,3,0,90,77,5,22,4,0,107,77,3,23,8,3,116,103,11,19,0,0,130,112,9,33,8,0,162,85,9,27,7,0,129,37,9,17,9,0,68,9,11,11,8,0,27,3,4,5,3,0,12,826,60,182,56,11,1134,134,5,32,9,4,177,17,3,4,0,6,33,1402,147,312,87,29,1981,18,0,0,0,0,23,91,0,5,3,0,97,115,3,13,0,0,134,104,17,22,0,0,149,87,24,35,8
201021012,0,0,0,10,14,0,0,0,0,17,11,0,0,0,0,9,9,0,0,0,0,15,12,8,0,0,0,23,7,4,0,4,0,18,7,7,5,0,0,24,11,4,4,0,0,14,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,91,20,21,15,0,138,11,0,0,0,0,11,5,0,4,0,0,11,13,0,0,0,0,17,21,0,0,0,0,28,11,4,7,0,0,25,14,6,3,0,0,20,8,6,3,0,0,21,12,4,6,0,0,21,14,8,6,0,0,33,12,3,7,6,0,16,7,4,0,3,0,16,4,0,4,4,0,10,0,0,4,0,0,5,137,30,32,18,0,230,21,0,4,0,0,33,11,0,0,0,0,9,256,53,57,40,4,415,17,0,0,0,0,15,40,0,6,0,0,42,46,3,4,0,0,55,50,15,4,0,0,76,41,8,4,0
201031013,0,0,0,9,4,0,5,0,0,8,6,0,0,0,0,12,3,6,0,0,0,15,13,0,0,3,0,15,11,0,0,0,0,19,14,0,4,0,0,18,3,6,0,0,0,10,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,70,10,20,12,0,119,14,0,0,0,0,14,7,0,0,0,0,7,21,0,0,0,0,21,10,0,3,0,0,12,12,0,0,0,0,11,11,0,0,3,0,15,11,6,3,5,0,22,20,3,4,0,0,23,16,0,6,3,0,24,18,0,3,4,0,29,11,0,3,4,0,16,3,0,0,0,0,4,0,0,4,3,0,7,157,17,24,20,0,216,17,0,0,0,0,16,12,0,0,0,0,16,256,25,43,40,7,362,11,0,0,0,0,11,33,0,0,0,0,38,31,0,4,0,0,39,26,6,5,6,0,43,35,6,3,4
201031014,0,0,0,21,14,0,3,0,0,17,24,3,0,4,0,27,24,0,0,0,0,25,31,6,0,0,0,37,33,4,7,9,0,51,24,0,0,7,0,28,19,0,3,7,0,31,5,0,4,0,0,10,0,0,0,0,0,3,0,0,0,5,0,5,213,17,23,28,0,278,16,0,0,0,0,16,17,0,0,0,0,17,11,0,0,0,0,5,14,0,0,0,0,17,21,4,0,4,0,29,30,0,3,0,0,33,17,7,0,3,0,31,35,0,8,0,0,44,26,3,4,0,0,30,28,0,3,4,0,32,11,0,4,3,0,17,3,4,3,4,0,13,0,0,0,0,0,4,222,21,20,23,5,287,34,0,0,0,0,30,9,0,0,0,0,13,472,39,47,52,8,617,9,0,0,0,0,13,45,0,0,0,0,48,52,0,0,0,0,59,58,7,3,0,0,65,57,13,5,4
201031015,0,0,0,9,7,0,0,0,0,8,3,0,5,0,0,11,12,0,0,0,0,14,5,3,3,0,0,16,14,0,0,3,0,20,8,0,0,3,0,10,6,0,4,0,0,11,0,0,3,0,0,8,0,0,0,0,0,4,0,0,0,0,0,6,77,3,25,11,0,113,6,0,0,0,0,8,3,0,0,0,0,6,4,0,0,0,0,6,12,0,0,0,0,13,8,0,4,0,0,16,7,5,0,0,0,12,13,0,0,5,0,17,7,0,0,5,0,16,8,0,0,0,0,13,4,0,0,0,0,10,0,4,8,0,0,14,0,0,0,0,0,0,0,3,0,0,0,7,85,12,19,16,0,141,12,0,5,5,0,17,3,0,0,0,0,5,182,19,48,31,0,277,12,0,0,0,0,12,40,0,0,0,0,38,24,6,5,0,0,37,21,6,9,0,0,29,25,0,9,0
201031016,3,0,0,105,64,0,4,0,0,68,64,3,3,0,0,73,64,5,0,0,0,71,101,5,3,0,0,105,89,5,0,0,0,94,104,4,3,0,0,113,43,3,0,0,0,49,18,5,0,0,3,29,0,0,8,0,0,9,0,0,0,0,0,0,713,34,29,6,5,784,117,0,0,0,4,117,84,0,0,0,0,87,71,0,5,0,0,74,79,0,12,0,0,86,96,3,4,0,0,97,66,5,4,0,0,75,91,5,6,0,0,109,94,3,7,0,0,108,111,8,11,0,8,133,99,0,4,0,3,109,46,5,4,0,0,59,13,3,5,0,0,22,3,0,0,0,0,8,968,29,59,8,18,1087,126,4,7,6,8,141,40,0,0,5,3,50,1851,64,99,25,30,2061,33,0,0,0,0,40,151,0,0,0,0,148,179,0,9,0,0,185,143,5,7,0,0,157,132,0,8,0
201031017,6,0,0,9,4,0,0,0,0,7,9,0,0,0,0,11,18,0,4,0,0,18,4,0,0,0,0,7,15,0,0,0,0,14,8,0,0,3,0,16,6,0,3,0,0,15,3,0,0,3,0,7,0,0,0,0,0,3,0,0,0,0,0,5,75,11,15,9,0,111,4,0,0,0,0,4,10,0,0,0,0,12,6,0,0,0,0,8,14,4,0,0,0,17,10,0,0,0,0,11,10,0,5,0,0,20,15,0,0,0,0,20,12,3,5,0,0,22,22,0,4,5,0,32,8,0,5,0,0,16,4,0,4,4,0,10,0,0,0,3,0,6,0,0,0,0,0,5,126,16,22,12,0,180,14,3,3,4,0,26,3,0,0,0,0,7,228,28,41,26,6,323,12,0,0,0,0,15,24,3,0,0,0,26,30,8,9,0,0,35,32,6,4,3,0,46,28,0,10,3
202011018,11,4,0,815,615,13,10,0,0,636,526,25,11,0,0,567,621,24,19,0,3,667,733,30,17,6,3,791,633,25,16,8,3,681,568,26,15,0,4,609,317,12,11,0,0,333,97,7,0,0,0,107,13,4,0,0,0,19,4,0,0,0,0,5,5498,175,112,20,18,5816,588,6,4,4,0,596,675,0,9,0,0,680,581,3,14,0,0,601,657,8,15,0,0,688,797,18,20,4,3,840,641,17,21,0,0,688,584,19,24,5,0,622,559,7,14,4,0,586,587,8,23,5,7,622,528,13,20,3,3,565,217,5,8,4,0,238,44,0,4,0,0,57,14,0,0,3,4,23,6465,115,170,37,21,6805,993,9,23,11,12,1042,133,9,8,10,19,178,13087,310,305,71,71,13845,156,0,0,0,0,156,929,8,7,0,3,950,1464,11,28,4,4,1513,1302,49,35,4,0,1388,1245,88,43,4
202011019,6,0,0,60,29,0,5,0,0,36,41,0,0,0,0,41,31,0,3,0,0,30,46,3,0,0,0,50,46,3,4,0,0,62,42,7,0,0,0,53,30,0,6,0,0,34,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,368,18,26,4,3,413,86,0,6,0,0,89,50,0,0,0,0,52,33,0,0,0,0,32,42,0,4,3,0,49,51,0,8,4,0,59,43,0,3,0,0,49,57,0,0,0,0,61,37,3,6,0,0,49,50,0,6,3,0,60,44,4,6,0,0,56,17,5,8,4,0,28,0,0,0,0,0,10,0,0,0,0,0,4,511,20,50,15,7,598,65,4,8,5,0,79,17,0,4,0,0,19,958,43,84,22,8,1112,34,0,0,0,0,34,117,0,8,0,0,127,134,5,13,0,0,153,114,6,4,0,4,126,85,13,7,0
202011020,0,0,0,155,134,0,0,0,0,133,114,13,6,0,3,134,99,9,9,5,0,117,130,13,5,0,0,151,138,7,4,5,0,157,116,6,12,0,0,137,63,5,5,0,0,71,17,0,0,0,0,21,3,0,0,0,0,6,0,0,0,0,0,0,1105,59,54,8,4,1229,200,3,0,0,0,206,143,0,4,0,0,146,120,0,7,0,0,127,143,5,9,0,0,163,138,7,7,0,0,156,146,10,11,0,0,172,110,10,7,3,0,136,128,17,13,3,0,163,132,5,9,4,3,150,118,7,10,0,0,140,50,3,5,0,0,60,8,0,0,0,0,19,0,0,0,0,0,3,1441,75,97,23,8,1635,160,6,13,0,0,176,28,5,0,5,5,35,2730,139,158,33,20,3079,117,0,0,0,0,127,351,0,3,0,0,356,486,13,12,0,0,509,445,20,15,0,0,484,363,57,16,0
202011021,0,0,0,36,47,0,0,0,0,51,39,0,0,0,0,42,55,0,3,0,0,58,64,3,3,0,0,75,63,5,0,0,0,71,50,3,3,0,0,59,29,0,0,0,0,23,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,410,16,20,0,0,442,24,0,0,0,0,24,48,0,5,0,0,48,28,0,3,0,0,31,47,0,8,0,0,53,41,0,6,0,0,51,65,0,6,0,0,71,46,0,4,0,0,54,38,0,3,0,0,41,46,6,12,5,0,63,39,0,4,0,0,48,14,3,4,0,0,25,3,0,0,0,0,11,0,0,0,0,0,0,433,15,52,9,3,524,49,3,3,4,0,59,11,3,0,0,0,13,903,39,76,12,5,1037,10,0,0,0,0,10,63,0,0,0,0,67,108,4,3,0,0,114,104,13,5,0,0,125,105,6,5,0
202011022,0,0,0,152,105,3,3,0,0,114,112,5,0,0,0,118,111,9,9,0,0,122,143,13,10,0,0,168,119,10,0,0,0,126,96,10,7,3,0,113,64,10,5,3,0,81,25,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1056,68,42,6,3,1178,338,0,0,0,0,339,209,0,7,0,0,217,119,4,10,3,0,136,159,9,16,4,0,183,176,8,13,4,0,196,136,7,16,3,0,168,148,3,11,3,0,168,150,11,11,0,3,176,159,9,12,5,4,183,120,6,11,3,0,138,40,0,9,0,0,51,5,0,5,0,0,16,9,4,0,0,0,13,1766,63,118,29,3,1981,205,3,11,0,0,217,43,0,0,0,0,49,3067,132,169,41,12,3426,98,0,0,0,0,98,326,9,4,0,0,344,406,10,16,0,0,430,363,23,18,0,0,408,326,31,20,0
202011023,0,0,0,33,18,0,0,0,0,25,12,0,6,0,0,17,21,3,0,0,0,25,27,0,0,0,0,33,13,0,0,0,0,21,12,3,0,0,0,17,6,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,157,15,6,3,0,174,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,19,0,0,0,0,19,29,5,0,0,0,35,14,3,7,0,0,27,11,5,10,0,0,21,14,0,6,0,0,19,13,0,6,4,0,15,12,0,5,0,0,13,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,173,10,30,10,0,223,19,0,5,0,0,23,6,0,0,0,0,3,346,22,44,12,0,426,16,0,0,0,0,15,45,0,0,0,0,45,52,0,6,0,0,54,58,6,6,0,0,71,33,5,6,0
202011024,0,0,0,37,17,0,0,0,0,22,21,0,10,0,0,34,25,5,3,0,0,32,46,4,4,0,0,54,21,5,3,0,0,31,28,0,0,0,0,25,17,0,7,0,0,20,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,259,24,20,3,0,305,51,0,0,0,0,56,32,0,4,0,0,33,23,0,4,0,0,33,25,3,4,5,0,35,43,4,10,0,0,62,50,0,4,0,0,58,38,3,8,0,0,50,44,3,3,0,0,46,34,0,9,0,0,38,18,3,6,3,0,32,9,4,4,0,0,13,0,0,3,0,0,9,0,0,0,0,0,0,368,22,63,14,0,473,26,3,10,0,0,40,6,0,0,0,0,9,662,52,88,21,6,829,26,0,0,0,0,26,55,0,0,0,0,60,83,3,4,0,0,94,59,7,9,0,0,69,57,15,13,0
