POW_SA2_CODE_2021,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000_3499_A_15_19,MaOpD_3000_3499_A_20_24,MaOpD_3000_3499_A_25_34,MaOpD_3000_3499_A_35_44,MaOpD_3000_3499_A_45_54,MaOpD_3000_3499_A_55_64,MaOpD_3000_3499_A_65_74,MaOpD_3000_3499_A_75ov,MaOpD_3000_3499_Tot,MaOpD_3500mo_A_15_19,MaOpD_3500mo_A_20_24,MaOpD_3500mo_A_25_34,MaOpD_3500mo_A_35_44,MaOpD_3500mo_A_45_54,MaOpD_3500mo_A_55_64,MaOpD_3500mo_A_65_74,MaOpD_3500mo_A_75ov,MaOpD_3500mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19,MaOpD_Tot_A_20_24,MaOpD_Tot_A_25_34,MaOpD_Tot_A_35_44,MaOpD_Tot_A_45_54,MaOpD_Tot_A_55_64,MaOpD_Tot_A_65_74,MaOpD_Tot_A_75ov,MaOpD_Tot_Tot,Lab_NNI_A_15_19,Lab_NNI_A_20_24,Lab_NNI_A_25_34,Lab_NNI_A_35_44,Lab_NNI_A_45_54,Lab_NNI_A_55_64,Lab_NNI_A_65_74,Lab_NNI_A_75ov,Lab_NNI_Tot,Lab_1_149_A_15_19,Lab_1_149_A_20_24,Lab_1_149_A_25_34,Lab_1_149_A_35_44,Lab_1_149_A_45_54,Lab_1_149_A_55_64,Lab_1_149_A_65_74,Lab_1_149_A_75ov,Lab_1_149_Tot,Lab_150_299_A_15_19,Lab_150_299_A_20_24,Lab_150_299_A_25_34,Lab_150_299_A_35_44,Lab_150_299_A_45_54,Lab_150_299_A_55_64,Lab_150_299_A_65_74,Lab_150_299_A_75ov,Lab_150_299_Tot,Lab_300_399_A_15_19,Lab_300_399_A_20_24,Lab_300_399_A_25_34,Lab_300_399_A_35_44,Lab_300_399_A_45_54,Lab_300_399_A_55_64,Lab_300_399_A_65_74,Lab_300_399_A_75ov,Lab_300_399_Tot,Lab_400_499_A_15_19,Lab_400_499_A_20_24,Lab_400_499_A_25_34,Lab_400_499_A_35_44,Lab_400_499_A_45_54,Lab_400_499_A_55_64,Lab_400_499_A_65_74,Lab_400_499_A_75ov,Lab_400_499_Tot,Lab_500_649_A_15_19,Lab_500_649_A_20_24,Lab_500_649_A_25_34,Lab_500_649_A_35_44,Lab_500_649_A_45_54,Lab_500_649_A_55_64,Lab_500_649_A_65_74,Lab_500_649_A_75ov,Lab_500_649_Tot,Lab_650_799_A_15_19,Lab_650_799_A_20_24,Lab_650_799_A_25_34,Lab_650_799_A_35_44,Lab_650_799_A_45_54,Lab_650_799_A_55_64,Lab_650_799_A_65_74,Lab_650_799_A_75ov,Lab_650_799_Tot,Lab_800_999_A_15_19,Lab_800_999_A_20_24,Lab_800_999_A_25_34,Lab_800_999_A_35_44,Lab_800_999_A_45_54,Lab_800_999_A_55_64,Lab_800_999_A_65_74,Lab_800_999_A_75ov,Lab_800_999_Tot,Lab_1000_1249_A_15_19,Lab_1000_1249_A_20_24,Lab_1000_1249_A_25_34,Lab_1000_1249_A_35_44,Lab_1000_1249_A_45_54,Lab_1000_1249_A_55_64,Lab_1000_1249_A_65_74,Lab_1000_1249_A_75ov,Lab_1000_1249_Tot,Lab_1250_1499_A_15_19,Lab_1250_1499_A_20_24,Lab_1250_1499_A_25_34,Lab_1250_1499_A_35_44,Lab_1250_1499_A_45_54,Lab_1250_1499_A_55_64,Lab_1250_1499_A_65_74,Lab_1250_1499_A_75ov,Lab_1250_1499_Tot,Lab_1500_1749_A_15_19,Lab_1500_1749_A_20_24,Lab_1500_1749_A_25_34,Lab_1500_1749_A_35_44,Lab_1500_1749_A_45_54,Lab_1500_1749_A_55_64,Lab_1500_1749_A_65_74,Lab_1500_1749_A_75ov,Lab_1500_1749_Tot,Lab_1750_1999_A_15_19,Lab_1750_1999_A_20_24,Lab_1750_1999_A_25_34,Lab_1750_1999_A_35_44,Lab_1750_1999_A_45_54,Lab_1750_1999_A_55_64,Lab_1750_1999_A_65_74,Lab_1750_1999_A_75ov,Lab_1750_1999_Tot,Lab_2000_2999_A_15_19,Lab_2000_2999_A_20_24,Lab_2000_2999_A_25_34,Lab_2000_2999_A_35_44,Lab_2000_2999_A_45_54,Lab_2000_2999_A_55_64,Lab_2000_2999_A_65_74,Lab_2000_2999_A_75ov,Lab_2000_2999_Tot,Lab_3000_3499_A_15_19,Lab_3000_3499_A_20_24,Lab_3000_3499_A_25_34,Lab_3000_3499_A_35_44,Lab_3000_3499_A_45_54,Lab_3000_3499_A_55_64,Lab_3000_3499_A_65_74,Lab_3000_3499_A_75ov,Lab_3000_3499_Tot,Lab_3500mo_A_15_19,Lab_3500mo_A_20_24,Lab_3500mo_A_25_34
201011001,0,0,9,6,3,0,0,24,0,0,7,6,6,0,0,0,19,0,0,3,4,0,0,0,0,9,0,0,12,7,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,19,61,40,52,45,15,0,232,4,0,0,0,0,0,0,0,6,57,3,0,0,0,0,0,0,62,12,0,3,0,5,4,6,0,28,0,5,7,0,0,5,0,0,24,7,6,13,4,8,4,5,0,44,0,4,8,12,12,14,0,0,57,4,4,8,8,13,10,5,0,44,0,3,15,11,6,15,0,0,55,0,11,23,16,6,7,3,0,61,0,6,5,6,8,5,0,0,31,0,0,4,6,8,3,5,0,22,0,0,5,4,3,9,0,0,15,0,4,3,6,17,8,0,0,38,0,0,0,0,0,0,0,0,6,0,0,0
201011002,0,7,0,4,7,0,0,18,0,0,6,0,5,4,0,0,11,0,0,0,0,0,4,0,0,8,0,0,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,6,14,30,66,33,65,65,25,5,306,3,0,0,0,0,0,0,0,3,127,7,3,5,0,0,0,0,149,50,14,8,7,9,3,6,0,103,14,19,12,16,7,14,4,0,92,13,24,9,14,18,17,9,0,100,5,34,35,13,33,39,13,0,173,6,30,34,21,28,33,8,0,161,5,23,33,30,34,37,9,0,179,0,12,14,20,17,20,7,0,87,0,0,8,8,8,13,0,0,38,0,0,3,3,3,9,0,0,16,0,0,0,9,0,0,0,0,7,0,0,0,5,3,5,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0
201011005,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,9,4,4,0,31,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,6,0,0,0,4,0,0,0,12,0,3,0,0,0,0,0,0,5,0,0,0,0,4,5,0,0,13,0,0,5,0,5,3,0,0,14,0,0,7,0,0,8,0,0,18,0,7,3,0,6,0,0,0,8,0,0,3,0,0,0,0,0,7,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011006,3,17,11,31,18,3,0,88,0,0,8,10,22,12,3,0,59,0,0,8,11,12,9,0,0,37,0,0,7,5,7,3,0,0,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,9,31,105,96,157,148,38,0,592,0,0,0,0,0,0,0,0,3,41,0,0,0,0,0,0,0,48,11,0,3,4,4,0,0,0,25,6,3,3,0,3,7,3,0,19,0,8,7,0,0,0,0,0,20,6,3,5,11,3,4,5,0,43,3,19,19,13,11,12,8,0,87,0,24,37,19,19,14,0,0,112,0,8,33,26,18,15,3,0,106,0,0,18,20,8,3,0,0,53,0,0,9,7,11,5,0,0,28,0,0,0,0,6,5,0,0,7,0,0,6,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
201011007,0,4,0,0,0,0,0,8,0,0,4,3,0,0,0,0,6,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,8,12,11,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,11,0,0,6,3,3,0,0,0,12,0,6,10,3,4,0,0,0,20,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
201011008,5,21,42,48,50,9,0,170,0,0,15,16,24,39,4,0,98,0,0,15,23,28,16,5,0,77,0,0,17,21,20,11,3,0,74,0,0,0,0,4,0,0,0,4,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,4,24,77,190,207,248,264,75,0,1082,3,0,0,0,5,0,0,0,13,66,3,3,3,0,3,0,0,77,27,12,3,7,4,8,3,0,71,10,16,9,8,11,17,0,0,66,12,18,6,9,9,19,14,0,85,11,13,30,17,25,22,9,3,131,9,35,40,27,42,30,3,0,187,7,43,68,54,61,50,11,0,298,4,30,58,66,80,50,8,0,299,0,6,40,30,39,36,5,0,160,4,4,22,34,25,19,6,0,122,0,0,12,27,26,14,3,0,79,0,4,23,20,38,25,3,0,98,0,0,4,4,0,0,0,0,5,0,0,0
201011481,0,4,6,0,4,0,0,11,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,0,0,3,7,0,5,0,0,11,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,11,26,23,16,28,8,0,124,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,20,11,3,0,0,4,4,3,0,34,0,0,0,0,5,3,6,0,16,0,0,7,3,0,0,0,0,17,4,5,5,8,4,11,0,0,39,4,0,5,0,6,3,0,0,32,0,6,6,4,7,11,0,0,39,3,4,3,3,14,7,3,0,30,0,5,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
201011482,0,3,9,16,7,5,0,30,0,0,3,11,9,25,4,0,45,0,0,0,3,4,6,0,0,16,0,0,0,4,0,8,5,0,20,0,0,0,3,5,0,0,0,8,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,4,34,51,57,74,15,0,231,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,26,6,3,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,14,3,3,8,4,0,0,0,0,18,0,3,4,0,0,10,0,0,24,0,5,3,3,8,6,0,0,25,0,0,0,0,4,8,0,0,12,0,0,3,0,6,6,4,0,15,0,0,0,4,0,0,0,0,6,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
201011483,5,4,3,5,0,3,0,16,0,0,10,3,4,0,0,0,18,0,0,8,5,4,3,0,0,21,0,0,13,12,7,0,0,0,39,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,9,11,52,50,41,37,8,0,201,0,0,0,0,0,0,0,0,3,17,0,0,0,0,4,0,0,22,9,4,3,3,4,0,0,0,29,0,9,4,0,4,3,0,0,25,0,5,7,3,8,11,5,0,34,0,17,12,8,7,8,5,0,55,3,5,14,9,10,7,5,0,52,0,4,10,9,8,3,0,0,36,0,0,9,7,8,6,0,0,24,0,0,10,5,9,3,0,0,18,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
201011484,0,3,0,4,0,0,0,11,0,0,0,0,5,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,11,29,18,33,30,17,0,144,0,0,0,0,0,0,0,0,0,63,6,0,0,0,0,0,0,73,39,7,0,4,6,5,6,0,58,9,9,3,3,4,0,0,0,40,4,9,9,9,12,12,0,0,51,4,9,10,16,8,7,4,0,69,0,7,9,10,10,16,3,0,65,4,6,8,9,14,13,0,0,56,0,0,8,7,7,11,0,0,29,0,0,0,3,6,0,0,0,8,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201021009,5,7,6,4,0,0,0,21,0,0,3,3,3,4,0,0,7,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,16,20,36,25,0,4,102,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,36,18,4,3,0,0,3,0,0,35,5,0,0,4,0,0,4,0,14,5,0,3,0,7,5,4,0,20,3,5,4,0,10,6,0,0,27,0,7,14,5,15,17,3,0,55,0,7,10,9,15,8,0,0,48,0,4,3,8,6,0,0,0,27,0,0,0,3,0,6,0,0,12,0,0,0,5,0,0,0,0,7,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201021010,0,3,3,5,5,0,0,16,0,0,0,5,5,5,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,18,28,29,9,0,104,6,0,0,4,0,0,0,0,5,9,3,0,0,0,4,4,0,19,6,4,0,0,4,5,5,0,21,0,0,0,5,0,11,0,0,15,0,9,8,4,11,0,0,0,26,6,4,9,7,6,9,0,0,40,0,6,6,5,7,12,3,0,36,0,3,10,15,10,9,0,0,49,0,3,9,3,8,4,0,0,36,0,0,6,4,0,3,0,0,16,0,0,4,4,0,4,0,0,11,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201021011,0,0,5,4,3,0,0,13,0,0,3,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,16,12,28,19,13,0,101,3,0,0,0,0,0,0,0,4,24,0,0,5,0,0,0,0,35,9,3,0,7,0,3,0,0,28,7,0,4,3,6,13,0,0,40,3,5,3,8,9,5,4,0,35,4,4,8,3,11,13,6,3,61,0,7,14,15,12,12,6,0,69,0,6,12,9,11,12,0,0,54,0,0,8,15,7,5,0,0,36,0,0,0,0,4,5,0,0,7,0,0,0,8,0,5,0,0,14,0,0,0,4,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201021012,0,4,5,5,8,0,0,20,0,0,0,3,3,8,0,0,16,0,0,5,8,6,3,0,0,22,0,0,6,5,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,26,27,22,31,8,0,121,0,0,0,0,0,0,0,0,6,12,0,4,0,0,0,0,0,17,0,0,0,0,3,0,0,0,9,0,0,0,3,0,3,0,0,9,0,0,0,3,0,4,0,0,15,4,0,6,9,3,0,3,0,16,0,0,0,0,0,3,0,0,8,0,4,0,0,11,4,0,0,20,0,0,4,0,3,3,0,0,15,0,0,0,4,0,0,0,0,7,0,0,0,0,6,0,0,0,4,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
201031013,0,5,0,3,0,0,0,12,0,0,0,0,5,0,0,0,12,0,0,0,0,0,6,0,0,6,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,15,12,20,4,0,67,0,0,4,0,0,0,0,0,5,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,0,9,0,0,0,0,0,0,5,0,15,0,0,0,0,0,11,3,0,26,0,3,4,0,0,3,3,0,17,3,6,4,3,6,9,0,0,35,0,5,7,0,5,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
201031014,5,5,5,3,4,0,0,19,0,0,0,0,0,0,4,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,16,17,6,0,63,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,4,0,6,0,4,0,0,0,10,0,5,0,0,4,3,0,0,12,0,5,3,5,0,0,0,0,14,0,0,3,6,4,4,4,0,19,6,8,3,6,4,0,4,0,29,0,0,3,3,3,5,0,0,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201031015,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,6,8,19,3,0,57,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,3,0,0,9,0,0,4,4,4,7,0,0,12,0,5,5,0,0,0,3,0,10,0,0,0,0,7,4,0,0,19,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201031016,0,7,8,6,15,0,0,30,0,0,0,4,0,0,0,0,7,0,0,0,0,0,3,0,0,4,0,0,5,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,25,27,49,60,17,0,196,4,0,0,0,0,3,0,0,3,38,0,0,0,0,0,0,0,43,11,5,6,0,0,8,0,0,32,4,6,6,9,11,7,3,0,33,0,9,7,4,3,13,0,0,35,0,9,12,15,6,20,4,3,66,0,4,19,20,20,24,8,0,98,0,14,22,11,27,30,3,0,109,0,4,9,12,14,24,0,0,62,0,7,4,8,10,4,0,0,24,0,0,7,3,4,0,0,0,14,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
201031017,0,4,0,3,5,0,0,18,0,0,3,4,4,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,21,15,23,22,13,4,93,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,6,0,0,0,4,0,7,7,0,16,0,0,3,3,0,0,0,0,12,0,5,5,0,4,7,0,0,18,0,0,6,9,7,10,0,0,29,0,0,6,8,3,0,0,0,12,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011018,0,8,9,9,15,5,0,53,0,3,8,10,16,10,3,0,53,0,0,3,4,6,3,0,0,15,0,0,9,7,5,13,6,0,40,0,0,0,0,0,3,0,0,7,0,0,0,0,3,4,0,0,5,0,0,0,3,6,0,0,0,7,16,56,105,117,146,171,47,0,660,9,0,3,0,0,0,0,0,16,153,5,5,0,0,3,0,0,183,78,14,5,4,0,16,6,0,134,30,20,15,11,10,15,10,3,102,14,38,23,25,21,31,11,0,163,9,43,43,42,33,51,7,0,237,12,46,47,41,54,60,17,4,272,3,37,57,49,42,59,13,0,255,5,17,41,45,45,41,7,0,205,0,10,22,14,28,17,3,0,92,0,0,15,20,11,14,3,0,54,0,0,9,11,5,5,0,0,29,0,0,11,0,5,4,0,0,26,0,0,0,0,0,0,0,0,3,0,0,0
202011019,0,5,4,0,6,0,0,18,0,0,4,0,8,12,0,0,22,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,9,37,31,39,50,14,0,189,0,0,0,0,0,0,0,0,4,39,0,0,0,0,5,0,0,43,20,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,15,0,4,0,5,3,7,3,0,18,4,5,4,3,3,5,0,0,28,0,4,4,3,8,3,0,0,36,0,6,10,0,6,8,0,0,29,0,3,9,4,8,14,0,0,49,0,0,5,3,0,0,0,0,19,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011020,4,14,18,27,9,3,0,77,0,0,11,9,12,9,0,0,42,0,0,8,4,0,0,0,0,24,0,0,3,5,9,0,0,0,22,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,7,31,37,117,101,135,137,39,4,597,0,0,0,0,0,0,0,0,5,88,3,0,0,0,0,0,0,98,41,8,5,0,0,3,0,6,63,15,7,5,4,9,8,8,0,59,8,7,6,0,3,15,0,0,46,4,10,22,17,18,29,4,0,113,5,29,44,31,28,22,9,0,165,8,15,35,28,25,21,0,0,130,6,14,23,27,20,12,3,0,107,0,3,13,8,8,5,4,0,38,0,0,4,7,4,5,0,0,24,0,0,4,6,3,0,0,0,9,0,0,4,3,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
202011021,0,0,4,0,5,0,0,9,0,0,0,0,8,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,10,23,6,0,59,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,7,0,0,4,0,6,3,0,0,13,0,0,3,3,0,5,0,0,19,0,5,0,0,5,4,0,0,19,0,0,10,6,3,0,0,0,15,0,0,5,8,4,0,0,0,14,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
202011022,5,8,20,22,26,6,0,86,0,0,7,10,23,19,0,0,57,0,0,4,0,3,7,0,0,23,0,0,7,10,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,39,54,96,108,130,150,39,4,610,3,0,0,0,0,0,0,0,7,83,0,0,0,3,0,0,0,94,38,10,7,6,8,6,3,0,75,12,4,9,6,9,9,0,0,44,12,6,7,4,4,11,7,6,56,4,16,18,17,15,20,7,0,105,4,21,19,17,25,25,14,0,130,0,11,34,27,20,21,8,0,126,0,8,23,22,24,21,0,0,100,0,0,11,9,9,13,0,0,44,0,0,5,4,3,3,0,0,25,0,0,3,3,7,0,0,0,13,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,6,0,0,0
202011023,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,9,9,4,0,42,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,4,3,0,0,0,0,0,8,0,0,0,0,0,7,0,0,5,0,0,0,0,3,3,0,0,4,0,4,0,0,6,0,0,0,10,0,0,3,0,0,0,0,0,3,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
202011024,0,4,3,0,3,0,0,12,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,6,12,6,0,54,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,18,6,0,4,0,0,3,0,0,17,0,3,0,0,4,3,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,6,5,0,0,10,0,0,6,4,3,0,4,0,18,0,4,8,6,4,3,0,0,28,0,0,4,0,0,8,0,0,8,0,0,0,0,5,0,0,0,4,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
