RA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
RA20,133,1011,3676,18117,11307,9171,5487,1604,774,51276,4,33,78,404,284,353,301,214,101,1771,9,70,344,1361,469,266,133,39,6,2703,625,4467,7755,36707,15388,13465,11617,7813,3827,101651,5305,11480,11843,34479,12144,10165,9394,7556,4912,107273,144500,297380,301141,787270,327678,277565,219311,131316,63780,2549938,130,1724,4012,12360,3354,1645,669,195,49,24128,276281,505540,434043,788461,368576,292286,201633,107069,45692,3019577,46,637,868,6056,1275,582,326,50,8,9845,6,33,154,3012,1474,2156,1243,689,179,8948,33,205,356,3877,600,277,119,44,6,5526,59,397,1537,5813,3197,2643,1799,652,199,16302,132,567,578,3907,1614,1014,538,217,51,8617,23,125,183,2335,1634,1402,1320,747,121,7885,591,7351,20581,74535,22443,21375,13439,4784,2310,167413,6,30,76,1563,1402,3043,3428,3321,1111,13984,60,699,1103,3080,1232,2049,2671,1854,707,13453,613,5433,7847,28577,21274,25575,22002,16544,6470,134340,19,209,643,4409,2432,2096,1152,450,120,11531,48,291,462,3468,1037,755,613,294,176,7142
RA21,13,45,81,468,131,71,28,11,8,852,0,13,13,56,72,112,122,70,19,469,0,16,31,148,67,55,36,8,6,362,53,361,428,1889,988,1043,1091,791,321,6966,1530,4071,3562,8819,4952,5652,5312,3804,2118,39823,32076,73131,62701,141617,79943,87260,78929,43175,18943,617778,3,63,178,415,159,82,22,4,0,933,61386,137491,114198,221661,126434,134077,117853,59643,22182,994921,0,26,29,240,49,19,18,3,0,380,0,0,0,52,28,54,50,31,11,223,0,18,5,193,42,15,5,5,0,290,7,39,41,146,53,16,7,5,0,316,18,74,64,510,287,259,211,66,13,1501,0,7,0,86,78,65,48,42,0,328,21,180,316,1615,480,429,231,74,17,3369,0,0,0,61,101,226,317,312,89,1107,5,34,59,135,29,62,132,75,17,549,74,772,917,3538,4262,7802,8901,6040,1939,34244,3,23,46,269,156,106,58,23,7,690,0,34,43,288,111,113,121,51,12,769
RA22,0,26,23,227,59,84,31,7,0,463,0,0,0,7,8,17,19,16,3,68,0,8,0,28,14,13,17,0,0,79,5,51,37,361,196,208,198,126,61,1239,361,1063,929,2248,1332,1577,1456,1044,606,10608,6392,14525,12008,27727,16286,19735,17819,10169,4639,129306,0,23,78,128,53,47,17,3,0,357,11977,26478,21664,41146,25471,31572,28417,14774,5650,207141,3,3,9,36,6,7,6,0,0,62,0,0,0,5,0,6,5,0,0,15,0,4,4,26,8,0,0,0,0,51,0,9,11,56,19,22,14,7,0,134,7,19,18,97,41,65,31,16,0,290,0,0,0,25,11,12,8,8,0,64,0,33,64,312,89,63,40,14,0,614,0,0,0,4,7,31,40,37,28,156,0,11,7,22,3,12,17,9,0,77,8,55,108,472,549,1352,1704,1165,330,5738,0,7,12,70,40,37,28,3,0,201,0,0,11,61,13,27,16,9,3,148
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,17,0,17,8,21,19,23,18,15,15,141,66,175,85,294,166,320,239,158,71,1579,0,0,0,0,0,0,0,0,0,0,120,332,183,506,262,553,463,241,94,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,20,12,6,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,5,7,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,53,15,9,4,0,0,120,64,147,167,608,169,104,55,13,7,1339,189,361,556,1604,479,429,224,58,19,3915,0,0,4,6,0,0,0,0,0,8,251,367,607,1490,623,532,330,73,13,4283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,3,5,0,0,21,0,0,4,5,3,0,0,0,0,18,0,0,10,22,11,4,6,0,0,57,0,0,0,0,0,4,3,0,0,12,0,0,6,0,0,0,3,0,0,5,3,6,7,52,21,42,20,15,0,170,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,12
