POW_SA4_CODE_2021,NS_ArtsR_Bf_91,NS_ArtsR_91_95,NS_ArtsR_96_00,NS_ArtsR_01_05,NS_ArtsR_06_10,NS_ArtsR_11_15,NS_ArtsR_16_20,NS_ArtsR_2021,NS_ArtsR_NS,NS_ArtsR_Tot,NS_OthSvs_Bf_91,NS_OthSvs_91_95,NS_OthSvs_96_00,NS_OthSvs_01_05,NS_OthSvs_06_10,NS_OthSvs_11_15,NS_OthSvs_16_20,NS_OthSvs_2021,NS_OthSvs_NS,NS_OthSvs_Tot,NS_IDNS_Bf_91,NS_IDNS_91_95,NS_IDNS_96_00,NS_IDNS_01_05,NS_IDNS_06_10,NS_IDNS_11_15,NS_IDNS_16_20,NS_IDNS_2021,NS_IDNS_NS,NS_IDNS_Tot,NS_Tot_Bf_91,NS_Tot_91_95,NS_Tot_96_00,NS_Tot_01_05,NS_Tot_06_10,NS_Tot_11_15,NS_Tot_16_20,NS_Tot_2021,NS_Tot_NS,NS_Tot_Tot,Tot_AGFF_Bf_91,Tot_AGFF_91_95,Tot_AGFF_96_00,Tot_AGFF_01_05,Tot_AGFF_06_10,Tot_AGFF_11_15,Tot_AGFF_16_20,Tot_AGFF_2021,Tot_AGFF_NS,Tot_AGFF_Tot,Tot_Min_Bf_91,Tot_Min_91_95,Tot_Min_96_00,Tot_Min_01_05,Tot_Min_06_10,Tot_Min_11_15,Tot_Min_16_20,Tot_Min_2021,Tot_Min_NS,Tot_Min_Tot,Tot_Mnf_Bf_91,Tot_Mnf_91_95,Tot_Mnf_96_00,Tot_Mnf_01_05,Tot_Mnf_06_10,Tot_Mnf_11_15,Tot_Mnf_16_20,Tot_Mnf_2021,Tot_Mnf_NS,Tot_Mnf_Tot,Tot_EGWWS_Bf_91,Tot_EGWWS_91_95,Tot_EGWWS_96_00,Tot_EGWWS_01_05,Tot_EGWWS_06_10,Tot_EGWWS_11_15,Tot_EGWWS_16_20,Tot_EGWWS_2021,Tot_EGWWS_NS,Tot_EGWWS_Tot,Tot_Const_Bf_91,Tot_Const_91_95,Tot_Const_96_00,Tot_Const_01_05,Tot_Const_06_10,Tot_Const_11_15,Tot_Const_16_20,Tot_Const_2021,Tot_Const_NS,Tot_Const_Tot,Tot_WST_Bf_91,Tot_WST_91_95,Tot_WST_96_00,Tot_WST_01_05,Tot_WST_06_10,Tot_WST_11_15,Tot_WST_16_20,Tot_WST_2021,Tot_WST_NS,Tot_WST_Tot,Tot_RetT_Bf_91,Tot_RetT_91_95,Tot_RetT_96_00,Tot_RetT_01_05,Tot_RetT_06_10,Tot_RetT_11_15,Tot_RetT_16_20,Tot_RetT_2021,Tot_RetT_NS,Tot_RetT_Tot,Tot_AcFd_Bf_91,Tot_AcFd_91_95,Tot_AcFd_96_00,Tot_AcFd_01_05,Tot_AcFd_06_10,Tot_AcFd_11_15,Tot_AcFd_16_20,Tot_AcFd_2021,Tot_AcFd_NS,Tot_AcFd_Tot,Tot_TPW_Bf_91,Tot_TPW_91_95,Tot_TPW_96_00,Tot_TPW_01_05,Tot_TPW_06_10,Tot_TPW_11_15,Tot_TPW_16_20,Tot_TPW_2021,Tot_TPW_NS,Tot_TPW_Tot,Tot_IMT_Bf_91,Tot_IMT_91_95,Tot_IMT_96_00,Tot_IMT_01_05,Tot_IMT_06_10,Tot_IMT_11_15,Tot_IMT_16_20,Tot_IMT_2021,Tot_IMT_NS,Tot_IMT_Tot,Tot_FinIns_Bf_91,Tot_FinIns_91_95,Tot_FinIns_96_00,Tot_FinIns_01_05,Tot_FinIns_06_10,Tot_FinIns_11_15,Tot_FinIns_16_20,Tot_FinIns_2021,Tot_FinIns_NS,Tot_FinIns_Tot,Tot_RHRE_Bf_91,Tot_RHRE_91_95,Tot_RHRE_96_00,Tot_RHRE_01_05,Tot_RHRE_06_10,Tot_RHRE_11_15,Tot_RHRE_16_20,Tot_RHRE_2021,Tot_RHRE_NS,Tot_RHRE_Tot,Tot_ProSTS_Bf_91,Tot_ProSTS_91_95,Tot_ProSTS_96_00,Tot_ProSTS_01_05,Tot_ProSTS_06_10,Tot_ProSTS_11_15,Tot_ProSTS_16_20,Tot_ProSTS_2021,Tot_ProSTS_NS,Tot_ProSTS_Tot,Tot_AdSup_Bf_91,Tot_AdSup_91_95,Tot_AdSup_96_00,Tot_AdSup_01_05,Tot_AdSup_06_10,Tot_AdSup_11_15,Tot_AdSup_16_20,Tot_AdSup_2021,Tot_AdSup_NS,Tot_AdSup_Tot,Tot_PubAS_Bf_91,Tot_PubAS_91_95,Tot_PubAS_96_00,Tot_PubAS_01_05,Tot_PubAS_06_10,Tot_PubAS_11_15,Tot_PubAS_16_20,Tot_PubAS_2021,Tot_PubAS_NS,Tot_PubAS_Tot,Tot_EdTrn_Bf_91,Tot_EdTrn_91_95,Tot_EdTrn_96_00,Tot_EdTrn_01_05,Tot_EdTrn_06_10,Tot_EdTrn_11_15,Tot_EdTrn_16_20,Tot_EdTrn_2021,Tot_EdTrn_NS,Tot_EdTrn_Tot
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,6,0,0,5,0,4,0,3,19,99,14,23,9,64,50,62,3,5,322,16,5,6,7,11,4,16,0,0,67,180,16,36,68,100,98,90,3,4,596,23,0,7,8,7,10,11,0,0,74,138,20,27,33,68,67,103,0,9,461,46,0,10,12,8,14,10,0,5,95,186,19,39,62,122,92,135,3,12,673,159,24,44,70,210,230,328,0,20,1090,83,7,18,15,72,38,64,0,4,300,38,8,10,13,13,8,11,0,0,93,39,0,9,7,12,12,15,0,3,96,27,4,3,6,14,11,7,0,0,74,139,25,50,52,96,68,60,0,9,501,62,3,12,20,32,21,65,0,0,227,198,18,34,42,46,72,40,0,4,462,258,47,58,80,117,117,80,0,6,752
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,10,85,10,10,16,55,59,60,8,4,303,26,14,14,16,12,15,17,0,0,116,181,42,68,85,275,246,356,0,25,1266,22,5,11,8,11,12,8,0,0,61,109,15,34,35,56,48,56,0,9,357,28,0,12,9,17,14,10,0,0,96,167,27,40,64,131,93,97,4,12,639,120,22,40,79,162,168,188,0,13,795,71,0,18,20,56,23,27,0,4,224,25,0,7,4,15,8,12,0,0,71,68,7,18,28,25,12,23,0,3,181,20,4,6,7,5,3,0,0,0,46,109,21,26,40,61,44,59,0,5,367,55,10,15,16,39,49,52,0,9,241,176,27,35,45,65,49,30,3,7,423,211,35,42,61,79,65,62,0,5,559
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,11,4,0,0,0,0,8,9,0,9,38,145,21,19,43,74,66,90,4,8,475,13,0,3,4,3,5,3,0,0,29,479,92,117,128,357,398,418,6,36,2033,63,9,16,20,56,42,43,4,4,255,480,73,110,112,270,362,341,6,33,1791,171,25,23,49,96,77,89,0,5,542,532,86,120,213,441,409,534,6,38,2379,264,48,105,205,483,564,868,5,26,2564,268,29,32,53,230,191,241,0,8,1061,52,0,13,20,20,31,42,0,0,181,163,30,31,56,87,74,45,0,6,491,88,13,16,30,35,20,18,0,0,219,439,69,106,134,230,228,251,5,19,1473,203,21,46,54,96,119,200,0,11,743,471,77,88,134,206,179,105,3,12,1283,647,98,150,215,404,409,298,9,22,2244
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,7,0,0,0,0,4,11,0,3,24,245,18,26,31,49,69,107,0,22,563,17,0,3,0,6,0,8,0,0,33,265,33,47,78,110,140,216,16,15,918,17,0,0,7,9,0,5,0,0,34,164,22,31,38,71,89,134,0,18,566,51,0,3,13,17,20,33,0,0,150,220,27,38,66,140,97,118,4,16,723,212,27,65,81,187,165,277,7,29,1045,133,14,17,23,89,61,72,0,9,413,21,3,5,6,3,0,0,0,3,38,28,3,4,9,11,9,3,0,0,65,19,4,6,3,5,6,6,0,3,49,116,18,18,37,39,35,33,0,7,300,85,9,17,16,33,27,71,0,8,259,253,41,35,88,128,73,60,3,23,705,317,35,53,77,94,92,82,6,15,764
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,0,3,0,3,3,0,3,26,377,35,66,66,147,193,405,13,37,1341,42,3,5,9,14,12,11,0,0,106,306,39,59,63,116,149,208,10,25,983,155,9,15,25,36,28,23,3,6,305,301,32,42,66,78,91,73,5,21,703,93,8,13,12,26,22,26,0,5,199,405,36,59,123,215,159,156,0,26,1172,307,38,77,125,273,239,272,0,40,1377,175,19,20,31,55,40,30,0,11,379,44,0,10,12,15,16,17,0,0,112,63,7,21,19,20,24,14,0,4,162,61,5,10,11,13,9,5,0,4,113,253,32,40,45,69,67,57,0,8,569,128,13,23,23,55,57,57,0,7,368,358,42,73,83,133,82,59,0,14,846,437,49,71,111,148,96,83,0,20,1026
206,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,11,8,0,0,0,3,4,15,0,19,57,34,18,14,18,49,43,62,0,33,271,58,18,33,64,56,83,90,3,6,412,151,42,64,89,117,79,86,3,11,646,1955,587,640,949,1521,1459,1643,50,58,8865,848,288,392,808,1197,1083,846,16,30,5512,2415,617,871,1193,2135,2278,2258,45,114,11921,1278,347,446,687,992,985,977,32,40,5773,2937,789,1191,1921,3062,3263,4457,69,177,17861,2133,736,1201,2135,4015,5187,11401,87,265,27151,2499,639,836,1365,2254,1799,2705,43,95,12235,2106,588,888,1568,2112,2259,1966,31,84,11598,7312,2375,3479,5392,7233,7162,5983,148,233,39323,1071,238,404,694,1096,969,789,21,35,5307,9207,2936,4469,6739,9968,12780,15367,411,384,62261,1929,517,766,1095,2028,2441,5691,56,85,14602,5953,1543,1877,2477,3224,2552,1870,35,149,19681,3777,1069,1438,2247,3345,3934,3830,78,106,19832
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,4,0,0,8,16,0,0,9,10,3,11,0,3,57,14,4,7,10,21,16,33,0,0,117,16,6,0,5,10,5,4,0,0,42,395,113,125,173,255,257,249,9,18,1598,35,8,12,23,48,34,33,0,0,192,649,150,237,346,557,642,604,15,25,3236,328,93,126,174,247,300,283,14,13,1578,1207,285,445,751,1188,1090,1310,23,56,6356,519,159,256,506,876,978,1681,4,44,5022,428,88,105,174,269,204,345,3,14,1640,170,39,62,108,145,93,110,5,10,740,567,142,213,368,455,351,282,0,16,2398,351,85,154,255,391,293,146,4,18,1690,1762,406,684,1014,1292,1426,1300,37,55,7975,328,67,142,160,231,297,647,4,16,1903,766,195,228,294,297,203,140,5,12,2141,1685,451,664,977,1329,1230,1106,10,57,7516
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,12,11,0,4,4,16,6,24,0,8,73,47,8,22,17,56,40,78,0,0,266,26,3,8,9,8,0,0,0,0,50,1950,560,570,716,1114,913,1042,13,71,6944,66,21,22,29,47,32,34,0,0,250,1053,255,334,435,732,832,668,10,63,4372,619,135,212,268,344,287,298,6,14,2176,1491,423,545,879,1347,1197,1416,20,68,7388,644,192,295,576,1043,1020,1975,16,52,5813,535,157,158,217,369,230,439,0,17,2124,147,29,50,68,107,99,88,0,7,610,470,109,151,206,250,183,121,0,9,1501,337,78,85,126,159,122,79,3,5,987,1363,361,440,624,752,748,707,18,41,5047,424,81,129,152,252,235,577,9,18,1875,563,108,173,212,287,196,116,6,18,1687,1296,285,466,676,825,785,717,17,49,5113
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,8,19,0,4,0,16,11,13,0,6,74,124,24,43,48,123,105,180,5,5,652,26,3,5,13,25,11,10,0,0,89,1667,503,441,508,959,810,841,13,70,5817,66,16,18,31,43,28,41,0,3,252,987,207,279,388,757,760,877,4,56,4311,519,100,104,150,224,228,210,3,23,1563,1224,296,368,510,1058,835,977,7,56,5336,502,143,194,372,864,689,1215,9,39,4014,672,192,239,302,874,482,716,3,27,3513,93,21,28,53,72,88,55,0,0,414,248,56,85,110,167,112,62,0,5,846,190,27,45,62,91,72,46,0,3,534,767,170,266,344,442,432,368,9,20,2816,393,97,100,174,300,267,576,5,24,1918,714,165,179,249,403,321,175,0,25,2228,1300,304,408,566,938,774,561,11,35,4892
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,5,0,0,8,17,15,3,8,0,16,13,16,0,11,88,102,12,19,30,57,44,57,0,3,319,24,3,3,5,15,4,9,0,0,79,2860,842,797,951,1918,1730,1945,26,118,11175,144,34,48,54,140,89,68,0,9,578,1220,295,438,527,986,904,1036,12,72,5483,629,153,141,198,386,290,308,5,22,2127,1054,246,286,509,912,695,806,4,42,4547,480,135,172,284,728,579,873,6,43,3298,2114,535,609,927,2123,1305,1670,33,103,9415,86,20,30,51,93,85,84,0,3,459,202,38,56,102,131,78,68,4,3,678,152,22,41,56,100,69,58,0,4,510,487,99,151,178,286,348,312,4,15,1875,471,145,164,188,389,326,664,3,30,2381,754,172,219,332,595,406,208,0,25,2710,982,265,344,411,619,484,363,0,36,3511
